Date,Name,NAV
12/11/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10
12/12/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10
12/13/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10
12/14/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,9.99
12/15/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.04
12/16/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.07
12/17/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.12
12/18/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.09
12/19/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.09
12/20/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.09
12/21/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.09
12/22/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.12
12/23/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.16
12/24/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.16
12/25/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.16
12/26/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.16
12/27/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.16
12/28/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.16
12/29/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.16
12/30/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.2
12/31/2015,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.2
01/01/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.2
01/02/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.2
01/03/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.2
01/04/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.15
01/05/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.17
01/06/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.17
01/07/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.13
01/08/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.13
01/09/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.13
01/10/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.13
01/11/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.11
01/12/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.15
01/13/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.16
01/14/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.14
01/15/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.11
01/16/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.11
01/17/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.11
01/18/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.1
01/19/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.18
01/20/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.08
01/21/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.12
01/22/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.16
01/23/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.16
01/24/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.16
01/25/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.18
01/26/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.18
01/27/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.24
01/28/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.19
01/29/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.31
01/30/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.31
01/31/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.31
02/01/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.26
02/02/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.21
02/03/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.14
02/04/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.17
02/05/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.15
02/06/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.15
02/07/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.15
02/08/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.12
02/09/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.09
02/10/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.08
02/11/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.05
02/12/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.07
02/13/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.07
02/14/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.07
02/15/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.07
02/16/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.2
02/17/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.22
02/18/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.26
02/19/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.26
02/20/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.26
02/21/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.26
02/22/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.34
02/23/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.33
02/24/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.31
02/25/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.36
02/26/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.4
02/27/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.4
02/28/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.4
02/29/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.41
03/01/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.42
03/02/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.43
03/03/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.44
03/04/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.42
03/05/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.42
03/06/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.42
03/07/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.4
03/08/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.37
03/09/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.4
03/10/2016,Pyrford Glbl Tot Ret(Sterling)B GBP Acc,10.42
