Date,Name,NAV
02/18/2009,VT Argonaut Absolute Return R GBP Acc,0.867678959
02/19/2009,VT Argonaut Absolute Return R GBP Acc,0.867505423
02/20/2009,VT Argonaut Absolute Return R GBP Acc,0.867678959
02/21/2009,VT Argonaut Absolute Return R GBP Acc,0.867678959
02/22/2009,VT Argonaut Absolute Return R GBP Acc,0.867678959
02/23/2009,VT Argonaut Absolute Return R GBP Acc,0.868720174
02/24/2009,VT Argonaut Absolute Return R GBP Acc,0.870281996
02/25/2009,VT Argonaut Absolute Return R GBP Acc,0.867418655
02/26/2009,VT Argonaut Absolute Return R GBP Acc,0.86967462
02/27/2009,VT Argonaut Absolute Return R GBP Acc,0.869154013
02/28/2009,VT Argonaut Absolute Return R GBP Acc,0.869154013
03/01/2009,VT Argonaut Absolute Return R GBP Acc,0.869154013
03/02/2009,VT Argonaut Absolute Return R GBP Acc,0.877396963
03/03/2009,VT Argonaut Absolute Return R GBP Acc,0.880173536
03/04/2009,VT Argonaut Absolute Return R GBP Acc,0.871670282
03/05/2009,VT Argonaut Absolute Return R GBP Acc,0.876442516
03/06/2009,VT Argonaut Absolute Return R GBP Acc,0.876616052
03/07/2009,VT Argonaut Absolute Return R GBP Acc,0.876616052
03/08/2009,VT Argonaut Absolute Return R GBP Acc,0.876616052
03/09/2009,VT Argonaut Absolute Return R GBP Acc,0.878524946
03/10/2009,VT Argonaut Absolute Return R GBP Acc,0.867158351
03/11/2009,VT Argonaut Absolute Return R GBP Acc,0.857006508
03/12/2009,VT Argonaut Absolute Return R GBP Acc,0.865336226
03/13/2009,VT Argonaut Absolute Return R GBP Acc,0.857960954
03/14/2009,VT Argonaut Absolute Return R GBP Acc,0.857960954
03/15/2009,VT Argonaut Absolute Return R GBP Acc,0.857960954
03/16/2009,VT Argonaut Absolute Return R GBP Acc,0.855097614
03/17/2009,VT Argonaut Absolute Return R GBP Acc,0.856138829
03/18/2009,VT Argonaut Absolute Return R GBP Acc,0.853796095
03/19/2009,VT Argonaut Absolute Return R GBP Acc,0.844859002
03/20/2009,VT Argonaut Absolute Return R GBP Acc,0.84208243
03/21/2009,VT Argonaut Absolute Return R GBP Acc,0.84208243
03/22/2009,VT Argonaut Absolute Return R GBP Acc,0.84208243
03/23/2009,VT Argonaut Absolute Return R GBP Acc,0.839132321
03/24/2009,VT Argonaut Absolute Return R GBP Acc,0.837570499
03/25/2009,VT Argonaut Absolute Return R GBP Acc,0.838698482
03/26/2009,VT Argonaut Absolute Return R GBP Acc,0.837483731
03/27/2009,VT Argonaut Absolute Return R GBP Acc,0.837223427
03/28/2009,VT Argonaut Absolute Return R GBP Acc,0.837223427
03/29/2009,VT Argonaut Absolute Return R GBP Acc,0.837223427
03/30/2009,VT Argonaut Absolute Return R GBP Acc,0.835140998
03/31/2009,VT Argonaut Absolute Return R GBP Acc,0.837657267
04/01/2009,VT Argonaut Absolute Return R GBP Acc,0.839739696
04/02/2009,VT Argonaut Absolute Return R GBP Acc,0.829934924
04/03/2009,VT Argonaut Absolute Return R GBP Acc,0.823600868
04/04/2009,VT Argonaut Absolute Return R GBP Acc,0.823600868
04/05/2009,VT Argonaut Absolute Return R GBP Acc,0.823600868
04/06/2009,VT Argonaut Absolute Return R GBP Acc,0.820650759
04/07/2009,VT Argonaut Absolute Return R GBP Acc,0.825509761
04/08/2009,VT Argonaut Absolute Return R GBP Acc,0.826637744
04/09/2009,VT Argonaut Absolute Return R GBP Acc,0.822819957
04/10/2009,VT Argonaut Absolute Return R GBP Acc,0.822819957
04/11/2009,VT Argonaut Absolute Return R GBP Acc,0.822819957
04/12/2009,VT Argonaut Absolute Return R GBP Acc,0.822819957
04/13/2009,VT Argonaut Absolute Return R GBP Acc,0.822819957
04/14/2009,VT Argonaut Absolute Return R GBP Acc,0.825180043
04/15/2009,VT Argonaut Absolute Return R GBP Acc,0.825856833
04/16/2009,VT Argonaut Absolute Return R GBP Acc,0.826281996
04/17/2009,VT Argonaut Absolute Return R GBP Acc,0.835305857
04/18/2009,VT Argonaut Absolute Return R GBP Acc,0.835305857
04/19/2009,VT Argonaut Absolute Return R GBP Acc,0.835305857
04/20/2009,VT Argonaut Absolute Return R GBP Acc,0.832711497
04/21/2009,VT Argonaut Absolute Return R GBP Acc,0.824989154
04/22/2009,VT Argonaut Absolute Return R GBP Acc,0.831496746
04/23/2009,VT Argonaut Absolute Return R GBP Acc,0.847548807
04/24/2009,VT Argonaut Absolute Return R GBP Acc,0.854056399
04/25/2009,VT Argonaut Absolute Return R GBP Acc,0.854056399
04/26/2009,VT Argonaut Absolute Return R GBP Acc,0.854056399
04/27/2009,VT Argonaut Absolute Return R GBP Acc,0.84867679
04/28/2009,VT Argonaut Absolute Return R GBP Acc,0.838698482
04/29/2009,VT Argonaut Absolute Return R GBP Acc,0.847114967
04/30/2009,VT Argonaut Absolute Return R GBP Acc,0.855704989
05/01/2009,VT Argonaut Absolute Return R GBP Acc,0.856399132
05/02/2009,VT Argonaut Absolute Return R GBP Acc,0.856399132
05/03/2009,VT Argonaut Absolute Return R GBP Acc,0.856399132
05/04/2009,VT Argonaut Absolute Return R GBP Acc,0.856399132
05/05/2009,VT Argonaut Absolute Return R GBP Acc,0.873639913
05/06/2009,VT Argonaut Absolute Return R GBP Acc,0.883496746
05/07/2009,VT Argonaut Absolute Return R GBP Acc,0.893032538
05/08/2009,VT Argonaut Absolute Return R GBP Acc,0.884494577
05/09/2009,VT Argonaut Absolute Return R GBP Acc,0.884494577
05/10/2009,VT Argonaut Absolute Return R GBP Acc,0.884494577
05/11/2009,VT Argonaut Absolute Return R GBP Acc,0.873839479
05/12/2009,VT Argonaut Absolute Return R GBP Acc,0.873926247
05/13/2009,VT Argonaut Absolute Return R GBP Acc,0.843904555
05/14/2009,VT Argonaut Absolute Return R GBP Acc,0.83626898
05/15/2009,VT Argonaut Absolute Return R GBP Acc,0.840086768
05/16/2009,VT Argonaut Absolute Return R GBP Acc,0.840086768
05/17/2009,VT Argonaut Absolute Return R GBP Acc,0.840086768
05/18/2009,VT Argonaut Absolute Return R GBP Acc,0.845813449
05/19/2009,VT Argonaut Absolute Return R GBP Acc,0.855184382
05/20/2009,VT Argonaut Absolute Return R GBP Acc,0.847462039
