Date,Name,NAV
05/19/2004,ASI Global Inflation-Link Bd P1 Acc,0.315544368
05/20/2004,ASI Global Inflation-Link Bd P1 Acc,0.315197269
05/21/2004,ASI Global Inflation-Link Bd P1 Acc,0.315859912
05/22/2004,ASI Global Inflation-Link Bd P1 Acc,0.315859912
05/23/2004,ASI Global Inflation-Link Bd P1 Acc,0.315859912
05/24/2004,ASI Global Inflation-Link Bd P1 Acc,0.315071051
05/25/2004,ASI Global Inflation-Link Bd P1 Acc,0.315859912
05/26/2004,ASI Global Inflation-Link Bd P1 Acc,0.315859912
05/27/2004,ASI Global Inflation-Link Bd P1 Acc,0.316806545
05/28/2004,ASI Global Inflation-Link Bd P1 Acc,0.317437634
05/29/2004,ASI Global Inflation-Link Bd P1 Acc,0.317437634
05/30/2004,ASI Global Inflation-Link Bd P1 Acc,0.317437634
05/31/2004,ASI Global Inflation-Link Bd P1 Acc,0.317122089
06/01/2004,ASI Global Inflation-Link Bd P1 Acc,0.317122089
06/02/2004,ASI Global Inflation-Link Bd P1 Acc,0.317753178
06/03/2004,ASI Global Inflation-Link Bd P1 Acc,0.317122089
06/04/2004,ASI Global Inflation-Link Bd P1 Acc,0.317122089
06/05/2004,ASI Global Inflation-Link Bd P1 Acc,0.317122089
06/06/2004,ASI Global Inflation-Link Bd P1 Acc,0.317122089
06/07/2004,ASI Global Inflation-Link Bd P1 Acc,0.316806545
06/08/2004,ASI Global Inflation-Link Bd P1 Acc,0.316806545
06/09/2004,ASI Global Inflation-Link Bd P1 Acc,0.316491001
06/10/2004,ASI Global Inflation-Link Bd P1 Acc,0.315355041
06/11/2004,ASI Global Inflation-Link Bd P1 Acc,0.315859912
06/12/2004,ASI Global Inflation-Link Bd P1 Acc,0.315859912
06/13/2004,ASI Global Inflation-Link Bd P1 Acc,0.315859912
06/14/2004,ASI Global Inflation-Link Bd P1 Acc,0.315071051
06/15/2004,ASI Global Inflation-Link Bd P1 Acc,0.314471517
06/16/2004,ASI Global Inflation-Link Bd P1 Acc,0.317437634
06/17/2004,ASI Global Inflation-Link Bd P1 Acc,0.316491001
06/18/2004,ASI Global Inflation-Link Bd P1 Acc,0.317122089
06/19/2004,ASI Global Inflation-Link Bd P1 Acc,0.317122089
06/20/2004,ASI Global Inflation-Link Bd P1 Acc,0.317122089
06/21/2004,ASI Global Inflation-Link Bd P1 Acc,0.317753178
06/22/2004,ASI Global Inflation-Link Bd P1 Acc,0.317753178
06/23/2004,ASI Global Inflation-Link Bd P1 Acc,0.317122089
06/24/2004,ASI Global Inflation-Link Bd P1 Acc,0.317122089
06/25/2004,ASI Global Inflation-Link Bd P1 Acc,0.318068722
06/26/2004,ASI Global Inflation-Link Bd P1 Acc,0.318068722
06/27/2004,ASI Global Inflation-Link Bd P1 Acc,0.318068722
06/28/2004,ASI Global Inflation-Link Bd P1 Acc,0.317753178
06/29/2004,ASI Global Inflation-Link Bd P1 Acc,0.316491001
06/30/2004,ASI Global Inflation-Link Bd P1 Acc,0.316806545
07/01/2004,ASI Global Inflation-Link Bd P1 Acc,0.318699811
07/02/2004,ASI Global Inflation-Link Bd P1 Acc,0.319961989
07/03/2004,ASI Global Inflation-Link Bd P1 Acc,0.319961989
07/04/2004,ASI Global Inflation-Link Bd P1 Acc,0.319961989
07/05/2004,ASI Global Inflation-Link Bd P1 Acc,0.321539711
07/06/2004,ASI Global Inflation-Link Bd P1 Acc,0.321539711
07/07/2004,ASI Global Inflation-Link Bd P1 Acc,0.321224166
07/08/2004,ASI Global Inflation-Link Bd P1 Acc,0.321224166
07/09/2004,ASI Global Inflation-Link Bd P1 Acc,0.321224166
07/10/2004,ASI Global Inflation-Link Bd P1 Acc,0.321224166
07/11/2004,ASI Global Inflation-Link Bd P1 Acc,0.321224166
07/12/2004,ASI Global Inflation-Link Bd P1 Acc,0.320908622
07/13/2004,ASI Global Inflation-Link Bd P1 Acc,0.321539711
07/14/2004,ASI Global Inflation-Link Bd P1 Acc,0.320593077
07/15/2004,ASI Global Inflation-Link Bd P1 Acc,0.320593077
07/16/2004,ASI Global Inflation-Link Bd P1 Acc,0.320908622
07/17/2004,ASI Global Inflation-Link Bd P1 Acc,0.320908622
07/18/2004,ASI Global Inflation-Link Bd P1 Acc,0.320908622
07/19/2004,ASI Global Inflation-Link Bd P1 Acc,0.322170799
07/20/2004,ASI Global Inflation-Link Bd P1 Acc,0.322486344
07/21/2004,ASI Global Inflation-Link Bd P1 Acc,0.321224166
07/22/2004,ASI Global Inflation-Link Bd P1 Acc,0.320277533
07/23/2004,ASI Global Inflation-Link Bd P1 Acc,0.320593077
07/24/2004,ASI Global Inflation-Link Bd P1 Acc,0.320593077
07/25/2004,ASI Global Inflation-Link Bd P1 Acc,0.320593077
07/26/2004,ASI Global Inflation-Link Bd P1 Acc,0.321224166
07/27/2004,ASI Global Inflation-Link Bd P1 Acc,0.320593077
07/28/2004,ASI Global Inflation-Link Bd P1 Acc,0.3193309
07/29/2004,ASI Global Inflation-Link Bd P1 Acc,0.319015356
07/30/2004,ASI Global Inflation-Link Bd P1 Acc,0.319646444
07/31/2004,ASI Global Inflation-Link Bd P1 Acc,0.319646444
08/01/2004,ASI Global Inflation-Link Bd P1 Acc,0.319646444
