Date,Name,NAV
10/11/2012,BGF World Mining D2 GBP Hedged,36.27
10/12/2012,BGF World Mining D2 GBP Hedged,36.38
10/13/2012,BGF World Mining D2 GBP Hedged,36.38
10/14/2012,BGF World Mining D2 GBP Hedged,36.38
10/15/2012,BGF World Mining D2 GBP Hedged,35.81
10/16/2012,BGF World Mining D2 GBP Hedged,36.49
10/17/2012,BGF World Mining D2 GBP Hedged,37.3
10/18/2012,BGF World Mining D2 GBP Hedged,37.71
10/19/2012,BGF World Mining D2 GBP Hedged,37.46
10/20/2012,BGF World Mining D2 GBP Hedged,37.46
10/21/2012,BGF World Mining D2 GBP Hedged,37.46
10/22/2012,BGF World Mining D2 GBP Hedged,37.32
10/23/2012,BGF World Mining D2 GBP Hedged,36.31
10/24/2012,BGF World Mining D2 GBP Hedged,36.59
10/25/2012,BGF World Mining D2 GBP Hedged,36.8
10/26/2012,BGF World Mining D2 GBP Hedged,36.62
10/27/2012,BGF World Mining D2 GBP Hedged,36.62
10/28/2012,BGF World Mining D2 GBP Hedged,36.62
10/29/2012,BGF World Mining D2 GBP Hedged,36.35
10/30/2012,BGF World Mining D2 GBP Hedged,36.66
10/31/2012,BGF World Mining D2 GBP Hedged,36.81
11/01/2012,BGF World Mining D2 GBP Hedged,36.81
11/02/2012,BGF World Mining D2 GBP Hedged,37.23
11/03/2012,BGF World Mining D2 GBP Hedged,37.23
11/04/2012,BGF World Mining D2 GBP Hedged,37.23
11/05/2012,BGF World Mining D2 GBP Hedged,36.85
11/06/2012,BGF World Mining D2 GBP Hedged,36.96
11/07/2012,BGF World Mining D2 GBP Hedged,36.81
11/08/2012,BGF World Mining D2 GBP Hedged,36.53
11/09/2012,BGF World Mining D2 GBP Hedged,36.07
11/10/2012,BGF World Mining D2 GBP Hedged,36.07
11/11/2012,BGF World Mining D2 GBP Hedged,36.07
11/12/2012,BGF World Mining D2 GBP Hedged,36.11
11/13/2012,BGF World Mining D2 GBP Hedged,35.73
11/14/2012,BGF World Mining D2 GBP Hedged,35.37
11/15/2012,BGF World Mining D2 GBP Hedged,34.48
11/16/2012,BGF World Mining D2 GBP Hedged,34.36
11/17/2012,BGF World Mining D2 GBP Hedged,34.36
11/18/2012,BGF World Mining D2 GBP Hedged,34.36
11/19/2012,BGF World Mining D2 GBP Hedged,35.1
11/20/2012,BGF World Mining D2 GBP Hedged,35.2
11/21/2012,BGF World Mining D2 GBP Hedged,35.02
11/22/2012,BGF World Mining D2 GBP Hedged,35.4
11/23/2012,BGF World Mining D2 GBP Hedged,35.47
11/24/2012,BGF World Mining D2 GBP Hedged,35.47
11/25/2012,BGF World Mining D2 GBP Hedged,35.47
11/26/2012,BGF World Mining D2 GBP Hedged,35.52
11/27/2012,BGF World Mining D2 GBP Hedged,35.69
11/28/2012,BGF World Mining D2 GBP Hedged,34.83
11/29/2012,BGF World Mining D2 GBP Hedged,35.78
11/30/2012,BGF World Mining D2 GBP Hedged,35.82
12/01/2012,BGF World Mining D2 GBP Hedged,35.82
12/02/2012,BGF World Mining D2 GBP Hedged,35.82
12/03/2012,BGF World Mining D2 GBP Hedged,35.73
12/04/2012,BGF World Mining D2 GBP Hedged,35.49
12/05/2012,BGF World Mining D2 GBP Hedged,35.41
12/06/2012,BGF World Mining D2 GBP Hedged,35.47
12/07/2012,BGF World Mining D2 GBP Hedged,35.67
12/08/2012,BGF World Mining D2 GBP Hedged,35.67
12/09/2012,BGF World Mining D2 GBP Hedged,35.67
12/10/2012,BGF World Mining D2 GBP Hedged,35.88
12/11/2012,BGF World Mining D2 GBP Hedged,36.35
12/12/2012,BGF World Mining D2 GBP Hedged,36.55
12/13/2012,BGF World Mining D2 GBP Hedged,36.49
12/14/2012,BGF World Mining D2 GBP Hedged,36.68
12/15/2012,BGF World Mining D2 GBP Hedged,36.68
12/16/2012,BGF World Mining D2 GBP Hedged,36.68
12/17/2012,BGF World Mining D2 GBP Hedged,36.98
12/18/2012,BGF World Mining D2 GBP Hedged,37.34
12/19/2012,BGF World Mining D2 GBP Hedged,37.41
12/20/2012,BGF World Mining D2 GBP Hedged,37.28
12/21/2012,BGF World Mining D2 GBP Hedged,36.97
12/22/2012,BGF World Mining D2 GBP Hedged,36.97
12/23/2012,BGF World Mining D2 GBP Hedged,36.97
12/24/2012,BGF World Mining D2 GBP Hedged,36.97
12/25/2012,BGF World Mining D2 GBP Hedged,36.97
12/26/2012,BGF World Mining D2 GBP Hedged,36.97
12/27/2012,BGF World Mining D2 GBP Hedged,37.44
12/28/2012,BGF World Mining D2 GBP Hedged,37.33
12/29/2012,BGF World Mining D2 GBP Hedged,37.33
12/30/2012,BGF World Mining D2 GBP Hedged,37.33
12/31/2012,BGF World Mining D2 GBP Hedged,37.36
01/01/2013,BGF World Mining D2 GBP Hedged,37.36
01/02/2013,BGF World Mining D2 GBP Hedged,39.05
01/03/2013,BGF World Mining D2 GBP Hedged,38.8
01/04/2013,BGF World Mining D2 GBP Hedged,38.1
01/05/2013,BGF World Mining D2 GBP Hedged,38.1
01/06/2013,BGF World Mining D2 GBP Hedged,38.1
01/07/2013,BGF World Mining D2 GBP Hedged,37.95
01/08/2013,BGF World Mining D2 GBP Hedged,37.66
01/09/2013,BGF World Mining D2 GBP Hedged,37.79
01/10/2013,BGF World Mining D2 GBP Hedged,38.02
01/11/2013,BGF World Mining D2 GBP Hedged,37.58
01/12/2013,BGF World Mining D2 GBP Hedged,37.58
01/13/2013,BGF World Mining D2 GBP Hedged,37.58
01/14/2013,BGF World Mining D2 GBP Hedged,37.6
01/15/2013,BGF World Mining D2 GBP Hedged,37.51
01/16/2013,BGF World Mining D2 GBP Hedged,37.24
01/17/2013,BGF World Mining D2 GBP Hedged,37.15
01/18/2013,BGF World Mining D2 GBP Hedged,37.27
01/19/2013,BGF World Mining D2 GBP Hedged,37.27
01/20/2013,BGF World Mining D2 GBP Hedged,37.27
01/21/2013,BGF World Mining D2 GBP Hedged,37.23
01/22/2013,BGF World Mining D2 GBP Hedged,37.34
01/23/2013,BGF World Mining D2 GBP Hedged,37.29
01/24/2013,BGF World Mining D2 GBP Hedged,37.08
01/25/2013,BGF World Mining D2 GBP Hedged,36.71
01/26/2013,BGF World Mining D2 GBP Hedged,36.71
01/27/2013,BGF World Mining D2 GBP Hedged,36.71
01/28/2013,BGF World Mining D2 GBP Hedged,36.43
01/29/2013,BGF World Mining D2 GBP Hedged,36.7
01/30/2013,BGF World Mining D2 GBP Hedged,36.7
01/31/2013,BGF World Mining D2 GBP Hedged,36.57
02/01/2013,BGF World Mining D2 GBP Hedged,36.99
02/02/2013,BGF World Mining D2 GBP Hedged,36.99
02/03/2013,BGF World Mining D2 GBP Hedged,36.99
02/04/2013,BGF World Mining D2 GBP Hedged,36.81
02/05/2013,BGF World Mining D2 GBP Hedged,36.73
02/06/2013,BGF World Mining D2 GBP Hedged,36.67
02/07/2013,BGF World Mining D2 GBP Hedged,36.8
02/08/2013,BGF World Mining D2 GBP Hedged,36.77
02/09/2013,BGF World Mining D2 GBP Hedged,36.77
02/10/2013,BGF World Mining D2 GBP Hedged,36.77
02/11/2013,BGF World Mining D2 GBP Hedged,36.36
02/12/2013,BGF World Mining D2 GBP Hedged,36.15
02/13/2013,BGF World Mining D2 GBP Hedged,36.84
02/14/2013,BGF World Mining D2 GBP Hedged,36.63
02/15/2013,BGF World Mining D2 GBP Hedged,36.32
02/16/2013,BGF World Mining D2 GBP Hedged,36.32
02/17/2013,BGF World Mining D2 GBP Hedged,36.32
02/18/2013,BGF World Mining D2 GBP Hedged,35.84
02/19/2013,BGF World Mining D2 GBP Hedged,35.84
02/20/2013,BGF World Mining D2 GBP Hedged,34.94
02/21/2013,BGF World Mining D2 GBP Hedged,33.79
02/22/2013,BGF World Mining D2 GBP Hedged,33.82
02/23/2013,BGF World Mining D2 GBP Hedged,33.82
02/24/2013,BGF World Mining D2 GBP Hedged,33.82
02/25/2013,BGF World Mining D2 GBP Hedged,33.99
02/26/2013,BGF World Mining D2 GBP Hedged,33.67
02/27/2013,BGF World Mining D2 GBP Hedged,33.62
02/28/2013,BGF World Mining D2 GBP Hedged,33.77
03/01/2013,BGF World Mining D2 GBP Hedged,32.99
03/02/2013,BGF World Mining D2 GBP Hedged,32.99
03/03/2013,BGF World Mining D2 GBP Hedged,32.99
03/04/2013,BGF World Mining D2 GBP Hedged,32.44
03/05/2013,BGF World Mining D2 GBP Hedged,33.03
03/06/2013,BGF World Mining D2 GBP Hedged,32.98
03/07/2013,BGF World Mining D2 GBP Hedged,33.46
03/08/2013,BGF World Mining D2 GBP Hedged,33.32
03/09/2013,BGF World Mining D2 GBP Hedged,33.32
03/10/2013,BGF World Mining D2 GBP Hedged,33.32
03/11/2013,BGF World Mining D2 GBP Hedged,33.31
03/12/2013,BGF World Mining D2 GBP Hedged,33.69
03/13/2013,BGF World Mining D2 GBP Hedged,33.16
03/14/2013,BGF World Mining D2 GBP Hedged,32.92
03/15/2013,BGF World Mining D2 GBP Hedged,33.2
03/16/2013,BGF World Mining D2 GBP Hedged,33.2
03/17/2013,BGF World Mining D2 GBP Hedged,33.2
03/18/2013,BGF World Mining D2 GBP Hedged,32.87
03/19/2013,BGF World Mining D2 GBP Hedged,32.3
03/20/2013,BGF World Mining D2 GBP Hedged,32.1
03/21/2013,BGF World Mining D2 GBP Hedged,32.12
03/22/2013,BGF World Mining D2 GBP Hedged,32.04
03/23/2013,BGF World Mining D2 GBP Hedged,32.04
03/24/2013,BGF World Mining D2 GBP Hedged,32.04
03/25/2013,BGF World Mining D2 GBP Hedged,31.69
03/26/2013,BGF World Mining D2 GBP Hedged,31.66
03/27/2013,BGF World Mining D2 GBP Hedged,31.61
03/28/2013,BGF World Mining D2 GBP Hedged,31.7
03/29/2013,BGF World Mining D2 GBP Hedged,31.7
03/30/2013,BGF World Mining D2 GBP Hedged,31.7
03/31/2013,BGF World Mining D2 GBP Hedged,31.7
04/01/2013,BGF World Mining D2 GBP Hedged,31.7
04/02/2013,BGF World Mining D2 GBP Hedged,31.26
04/03/2013,BGF World Mining D2 GBP Hedged,30.67
04/04/2013,BGF World Mining D2 GBP Hedged,30.4
04/05/2013,BGF World Mining D2 GBP Hedged,30.22
04/06/2013,BGF World Mining D2 GBP Hedged,30.22
04/07/2013,BGF World Mining D2 GBP Hedged,30.22
04/08/2013,BGF World Mining D2 GBP Hedged,30.47
04/09/2013,BGF World Mining D2 GBP Hedged,31.29
04/10/2013,BGF World Mining D2 GBP Hedged,31.95
04/11/2013,BGF World Mining D2 GBP Hedged,31.43
