Date,Name,NAV
08/01/1997,Baillie Gifford American B Acc,0.9501,
08/02/1997,Baillie Gifford American B Acc,0.9501,
08/03/1997,Baillie Gifford American B Acc,0.9501,
08/04/1997,Baillie Gifford American B Acc,0.9461,
08/05/1997,Baillie Gifford American B Acc,0.9439,
08/06/1997,Baillie Gifford American B Acc,0.9643,
08/07/1997,Baillie Gifford American B Acc,0.9784,
08/08/1997,Baillie Gifford American B Acc,0.9717,
08/09/1997,Baillie Gifford American B Acc,0.9717,
08/10/1997,Baillie Gifford American B Acc,0.9717,
08/11/1997,Baillie Gifford American B Acc,0.9542,
08/12/1997,Baillie Gifford American B Acc,0.9626,
08/13/1997,Baillie Gifford American B Acc,0.9513,
08/14/1997,Baillie Gifford American B Acc,0.9526,
08/15/1997,Baillie Gifford American B Acc,0.9429,
08/16/1997,Baillie Gifford American B Acc,0.9429,
08/17/1997,Baillie Gifford American B Acc,0.9429,
08/18/1997,Baillie Gifford American B Acc,0.9116,
08/19/1997,Baillie Gifford American B Acc,0.9226,
08/20/1997,Baillie Gifford American B Acc,0.9437,
08/21/1997,Baillie Gifford American B Acc,0.9547,
08/22/1997,Baillie Gifford American B Acc,0.9465,
08/23/1997,Baillie Gifford American B Acc,0.9465,
08/24/1997,Baillie Gifford American B Acc,0.9465,
08/25/1997,Baillie Gifford American B Acc,0.9465,
08/26/1997,Baillie Gifford American B Acc,0.924,
08/27/1997,Baillie Gifford American B Acc,0.9303,
08/28/1997,Baillie Gifford American B Acc,0.9322,
08/29/1997,Baillie Gifford American B Acc,0.9196,
08/30/1997,Baillie Gifford American B Acc,0.9196,
08/31/1997,Baillie Gifford American B Acc,0.9196,
09/01/1997,Baillie Gifford American B Acc,0.9264,
09/02/1997,Baillie Gifford American B Acc,0.9307,
09/03/1997,Baillie Gifford American B Acc,0.9484,
09/04/1997,Baillie Gifford American B Acc,0.9604,
09/05/1997,Baillie Gifford American B Acc,0.9574,
09/06/1997,Baillie Gifford American B Acc,0.9574,
09/07/1997,Baillie Gifford American B Acc,0.9574,
09/08/1997,Baillie Gifford American B Acc,0.9541,
09/09/1997,Baillie Gifford American B Acc,0.9589,
09/10/1997,Baillie Gifford American B Acc,0.9599,
09/11/1997,Baillie Gifford American B Acc,0.9498,
09/12/1997,Baillie Gifford American B Acc,0.9321,
09/13/1997,Baillie Gifford American B Acc,0.9321,
09/14/1997,Baillie Gifford American B Acc,0.9321,
09/15/1997,Baillie Gifford American B Acc,0.9484,
09/16/1997,Baillie Gifford American B Acc,0.9518,
09/17/1997,Baillie Gifford American B Acc,0.9736,
09/18/1997,Baillie Gifford American B Acc,0.9636,
09/19/1997,Baillie Gifford American B Acc,0.9646,
09/20/1997,Baillie Gifford American B Acc,0.9646,
09/21/1997,Baillie Gifford American B Acc,0.9646,
09/22/1997,Baillie Gifford American B Acc,0.9732,
09/23/1997,Baillie Gifford American B Acc,0.973,
09/24/1997,Baillie Gifford American B Acc,0.9618,
09/25/1997,Baillie Gifford American B Acc,0.9608,
09/26/1997,Baillie Gifford American B Acc,0.9577,
09/27/1997,Baillie Gifford American B Acc,0.9577,
09/28/1997,Baillie Gifford American B Acc,0.9577,
09/29/1997,Baillie Gifford American B Acc,0.9678,
09/30/1997,Baillie Gifford American B Acc,0.977,
10/01/1997,Baillie Gifford American B Acc,0.9685,
10/02/1997,Baillie Gifford American B Acc,0.9752,
10/03/1997,Baillie Gifford American B Acc,0.9857,
10/04/1997,Baillie Gifford American B Acc,0.9857,
10/05/1997,Baillie Gifford American B Acc,0.9857,
10/06/1997,Baillie Gifford American B Acc,0.9872,
10/07/1997,Baillie Gifford American B Acc,0.9994,
10/08/1997,Baillie Gifford American B Acc,1.005,
10/09/1997,Baillie Gifford American B Acc,0.9956,
10/10/1997,Baillie Gifford American B Acc,1,
10/11/1997,Baillie Gifford American B Acc,1,
10/12/1997,Baillie Gifford American B Acc,1,
10/13/1997,Baillie Gifford American B Acc,0.9992,
10/14/1997,Baillie Gifford American B Acc,0.9951,
10/15/1997,Baillie Gifford American B Acc,1.002,
10/16/1997,Baillie Gifford American B Acc,0.9982,
10/17/1997,Baillie Gifford American B Acc,0.9929,
10/18/1997,Baillie Gifford American B Acc,0.9929,
10/19/1997,Baillie Gifford American B Acc,0.9929,
10/20/1997,Baillie Gifford American B Acc,0.9743,
10/21/1997,Baillie Gifford American B Acc,0.9875,
10/22/1997,Baillie Gifford American B Acc,1.007,
10/23/1997,Baillie Gifford American B Acc,1.002,
10/24/1997,Baillie Gifford American B Acc,1,
10/25/1997,Baillie Gifford American B Acc,1,
10/26/1997,Baillie Gifford American B Acc,1,
10/27/1997,Baillie Gifford American B Acc,0.9917,
10/28/1997,Baillie Gifford American B Acc,0.9163,
10/29/1997,Baillie Gifford American B Acc,0.9496,
10/30/1997,Baillie Gifford American B Acc,0.9476,
10/31/1997,Baillie Gifford American B Acc,0.9402,
11/01/1997,Baillie Gifford American B Acc,0.9402,
11/02/1997,Baillie Gifford American B Acc,0.9402,
11/03/1997,Baillie Gifford American B Acc,0.9402,
11/04/1997,Baillie Gifford American B Acc,0.9599,
11/05/1997,Baillie Gifford American B Acc,0.9699,
11/06/1997,Baillie Gifford American B Acc,0.9786,
11/07/1997,Baillie Gifford American B Acc,0.968,
11/08/1997,Baillie Gifford American B Acc,0.968,
11/09/1997,Baillie Gifford American B Acc,0.968,
11/10/1997,Baillie Gifford American B Acc,0.959,
11/11/1997,Baillie Gifford American B Acc,0.9442,
11/12/1997,Baillie Gifford American B Acc,0.9406,
11/13/1997,Baillie Gifford American B Acc,0.9269,
11/14/1997,Baillie Gifford American B Acc,0.9352,
11/15/1997,Baillie Gifford American B Acc,0.9352,
11/16/1997,Baillie Gifford American B Acc,0.9352,
11/17/1997,Baillie Gifford American B Acc,0.9438,
11/18/1997,Baillie Gifford American B Acc,0.9562,
11/19/1997,Baillie Gifford American B Acc,0.9446,
11/20/1997,Baillie Gifford American B Acc,0.9409,
11/21/1997,Baillie Gifford American B Acc,0.9532,
11/22/1997,Baillie Gifford American B Acc,0.9532,
11/23/1997,Baillie Gifford American B Acc,0.9532,
11/24/1997,Baillie Gifford American B Acc,0.9515,
11/25/1997,Baillie Gifford American B Acc,0.9405,
11/26/1997,Baillie Gifford American B Acc,0.9539,
11/27/1997,Baillie Gifford American B Acc,0.9587,
11/28/1997,Baillie Gifford American B Acc,0.9553,
11/29/1997,Baillie Gifford American B Acc,0.9553,
11/30/1997,Baillie Gifford American B Acc,0.9553,
12/01/1997,Baillie Gifford American B Acc,0.9536,
12/02/1997,Baillie Gifford American B Acc,0.9536,
12/03/1997,Baillie Gifford American B Acc,0.9656,
12/04/1997,Baillie Gifford American B Acc,0.9721,
12/05/1997,Baillie Gifford American B Acc,0.9806,
12/06/1997,Baillie Gifford American B Acc,0.9806,
12/07/1997,Baillie Gifford American B Acc,0.9806,
12/08/1997,Baillie Gifford American B Acc,0.9961,
12/09/1997,Baillie Gifford American B Acc,0.9961,
12/10/1997,Baillie Gifford American B Acc,0.9939,
12/11/1997,Baillie Gifford American B Acc,0.9809,
12/12/1997,Baillie Gifford American B Acc,0.9632,
12/13/1997,Baillie Gifford American B Acc,0.9632,
12/14/1997,Baillie Gifford American B Acc,0.9632,
12/15/1997,Baillie Gifford American B Acc,0.9714,
12/16/1997,Baillie Gifford American B Acc,0.9836,
12/17/1997,Baillie Gifford American B Acc,0.9791,
12/18/1997,Baillie Gifford American B Acc,0.9774,
12/19/1997,Baillie Gifford American B Acc,0.96,
12/20/1997,Baillie Gifford American B Acc,0.96,
12/21/1997,Baillie Gifford American B Acc,0.96,
12/22/1997,Baillie Gifford American B Acc,0.9534,
12/23/1997,Baillie Gifford American B Acc,0.9587,
12/24/1997,Baillie Gifford American B Acc,0.9437,
12/25/1997,Baillie Gifford American B Acc,0.9437,
12/26/1997,Baillie Gifford American B Acc,0.9437,
12/27/1997,Baillie Gifford American B Acc,0.9437,
12/28/1997,Baillie Gifford American B Acc,0.9437,
12/29/1997,Baillie Gifford American B Acc,0.9417,
12/30/1997,Baillie Gifford American B Acc,0.968,
12/31/1997,Baillie Gifford American B Acc,0.9917,
01/01/1998,Baillie Gifford American B Acc,0.9917,
01/02/1998,Baillie Gifford American B Acc,1.011,
01/03/1998,Baillie Gifford American B Acc,1.011,
01/04/1998,Baillie Gifford American B Acc,1.011,
01/05/1998,Baillie Gifford American B Acc,1.004,
01/06/1998,Baillie Gifford American B Acc,1.004,
01/07/1998,Baillie Gifford American B Acc,0.9979,
01/08/1998,Baillie Gifford American B Acc,0.9958,
01/09/1998,Baillie Gifford American B Acc,0.9806,
01/10/1998,Baillie Gifford American B Acc,0.9806,
01/11/1998,Baillie Gifford American B Acc,0.9806,
01/12/1998,Baillie Gifford American B Acc,0.9546,
01/13/1998,Baillie Gifford American B Acc,0.9495,
01/14/1998,Baillie Gifford American B Acc,0.9667,
01/15/1998,Baillie Gifford American B Acc,0.9781,
01/16/1998,Baillie Gifford American B Acc,0.9736,
01/17/1998,Baillie Gifford American B Acc,0.9736,
01/18/1998,Baillie Gifford American B Acc,0.9736,
01/19/1998,Baillie Gifford American B Acc,0.9851,
01/20/1998,Baillie Gifford American B Acc,0.9845,
01/21/1998,Baillie Gifford American B Acc,1.015,
01/22/1998,Baillie Gifford American B Acc,0.9926,
01/23/1998,Baillie Gifford American B Acc,0.9647,
01/24/1998,Baillie Gifford American B Acc,0.9647,
01/25/1998,Baillie Gifford American B Acc,0.9647,
01/26/1998,Baillie Gifford American B Acc,0.9456,
01/27/1998,Baillie Gifford American B Acc,0.9615,
01/28/1998,Baillie Gifford American B Acc,0.9802,
01/29/1998,Baillie Gifford American B Acc,0.9834,
01/30/1998,Baillie Gifford American B Acc,1.001,
01/31/1998,Baillie Gifford American B Acc,1.001,
02/01/1998,Baillie Gifford American B Acc,1.001,
02/02/1998,Baillie Gifford American B Acc,0.9945,
02/03/1998,Baillie Gifford American B Acc,1.004,
02/04/1998,Baillie Gifford American B Acc,1.005,
02/05/1998,Baillie Gifford American B Acc,1.006,
02/06/1998,Baillie Gifford American B Acc,1.011,
02/07/1998,Baillie Gifford American B Acc,1.011,
02/08/1998,Baillie Gifford American B Acc,1.011,
02/09/1998,Baillie Gifford American B Acc,1.023,
02/10/1998,Baillie Gifford American B Acc,1.028,
02/11/1998,Baillie Gifford American B Acc,1.036,
02/12/1998,Baillie Gifford American B Acc,1.028,
02/13/1998,Baillie Gifford American B Acc,1.026,
02/14/1998,Baillie Gifford American B Acc,1.026,
02/15/1998,Baillie Gifford American B Acc,1.026,
02/16/1998,Baillie Gifford American B Acc,1.025,
02/17/1998,Baillie Gifford American B Acc,1.022,
02/18/1998,Baillie Gifford American B Acc,1.018,
02/19/1998,Baillie Gifford American B Acc,1.026,
02/20/1998,Baillie Gifford American B Acc,1.025,
02/21/1998,Baillie Gifford American B Acc,1.025,
02/22/1998,Baillie Gifford American B Acc,1.025,
02/23/1998,Baillie Gifford American B Acc,1.03,
02/24/1998,Baillie Gifford American B Acc,1.021,
02/25/1998,Baillie Gifford American B Acc,1.012,
02/26/1998,Baillie Gifford American B Acc,1.033,
02/27/1998,Baillie Gifford American B Acc,1.038,
02/28/1998,Baillie Gifford American B Acc,1.038,
03/01/1998,Baillie Gifford American B Acc,1.038,
03/02/1998,Baillie Gifford American B Acc,1.037,
03/03/1998,Baillie Gifford American B Acc,1.047,
03/04/1998,Baillie Gifford American B Acc,1.048,
03/05/1998,Baillie Gifford American B Acc,1.041,
03/06/1998,Baillie Gifford American B Acc,1.043,
03/07/1998,Baillie Gifford American B Acc,1.043,
03/08/1998,Baillie Gifford American B Acc,1.043,
03/09/1998,Baillie Gifford American B Acc,1.058,
03/10/1998,Baillie Gifford American B Acc,1.05,
03/11/1998,Baillie Gifford American B Acc,1.055,
03/12/1998,Baillie Gifford American B Acc,1.05,
03/13/1998,Baillie Gifford American B Acc,1.042,
03/14/1998,Baillie Gifford American B Acc,1.042,
03/15/1998,Baillie Gifford American B Acc,1.042,
03/16/1998,Baillie Gifford American B Acc,1.037,
03/17/1998,Baillie Gifford American B Acc,1.036,
03/18/1998,Baillie Gifford American B Acc,1.035,
03/19/1998,Baillie Gifford American B Acc,1.045,
03/20/1998,Baillie Gifford American B Acc,1.047,
03/21/1998,Baillie Gifford American B Acc,1.047,
03/22/1998,Baillie Gifford American B Acc,1.047,
03/23/1998,Baillie Gifford American B Acc,1.054,
03/24/1998,Baillie Gifford American B Acc,1.054,
03/25/1998,Baillie Gifford American B Acc,1.059,
03/26/1998,Baillie Gifford American B Acc,1.057,
03/27/1998,Baillie Gifford American B Acc,1.049,
03/28/1998,Baillie Gifford American B Acc,1.049,
03/29/1998,Baillie Gifford American B Acc,1.049,
03/30/1998,Baillie Gifford American B Acc,1.049,
03/31/1998,Baillie Gifford American B Acc,1.046,
04/01/1998,Baillie Gifford American B Acc,1.055,
04/02/1998,Baillie Gifford American B Acc,1.062,
04/03/1998,Baillie Gifford American B Acc,1.077,
04/04/1998,Baillie Gifford American B Acc,1.077,
04/05/1998,Baillie Gifford American B Acc,1.077,
04/06/1998,Baillie Gifford American B Acc,1.081,
04/07/1998,Baillie Gifford American B Acc,1.072,
04/08/1998,Baillie Gifford American B Acc,1.058,
04/09/1998,Baillie Gifford American B Acc,1.056,
04/10/1998,Baillie Gifford American B Acc,1.056,
04/11/1998,Baillie Gifford American B Acc,1.056,
04/12/1998,Baillie Gifford American B Acc,1.056,
04/13/1998,Baillie Gifford American B Acc,1.056,
04/14/1998,Baillie Gifford American B Acc,1.055,
04/15/1998,Baillie Gifford American B Acc,1.055,
04/16/1998,Baillie Gifford American B Acc,1.063,
04/17/1998,Baillie Gifford American B Acc,1.053,
04/18/1998,Baillie Gifford American B Acc,1.053,
04/19/1998,Baillie Gifford American B Acc,1.053,
04/20/1998,Baillie Gifford American B Acc,1.08,
04/21/1998,Baillie Gifford American B Acc,1.08,
04/22/1998,Baillie Gifford American B Acc,1.091,
04/23/1998,Baillie Gifford American B Acc,1.096,
04/24/1998,Baillie Gifford American B Acc,1.087,
04/25/1998,Baillie Gifford American B Acc,1.087,
04/26/1998,Baillie Gifford American B Acc,1.087,
04/27/1998,Baillie Gifford American B Acc,1.077,
04/28/1998,Baillie Gifford American B Acc,1.054,
04/29/1998,Baillie Gifford American B Acc,1.063,
04/30/1998,Baillie Gifford American B Acc,1.08,
05/01/1998,Baillie Gifford American B Acc,1.096,
05/02/1998,Baillie Gifford American B Acc,1.096,
05/03/1998,Baillie Gifford American B Acc,1.096,
05/04/1998,Baillie Gifford American B Acc,1.096,
05/05/1998,Baillie Gifford American B Acc,1.11,
05/06/1998,Baillie Gifford American B Acc,1.11,
05/07/1998,Baillie Gifford American B Acc,1.101,
05/08/1998,Baillie Gifford American B Acc,1.103,
05/09/1998,Baillie Gifford American B Acc,1.103,
05/10/1998,Baillie Gifford American B Acc,1.103,
05/11/1998,Baillie Gifford American B Acc,1.115,
05/12/1998,Baillie Gifford American B Acc,1.118,
05/13/1998,Baillie Gifford American B Acc,1.121,
05/14/1998,Baillie Gifford American B Acc,1.134,
05/15/1998,Baillie Gifford American B Acc,1.133,
05/16/1998,Baillie Gifford American B Acc,1.133,
05/17/1998,Baillie Gifford American B Acc,1.133,
05/18/1998,Baillie Gifford American B Acc,1.133,
05/19/1998,Baillie Gifford American B Acc,1.119,
05/20/1998,Baillie Gifford American B Acc,1.125,
05/21/1998,Baillie Gifford American B Acc,1.126,
05/22/1998,Baillie Gifford American B Acc,1.125,
05/23/1998,Baillie Gifford American B Acc,1.125,
05/24/1998,Baillie Gifford American B Acc,1.125,
05/25/1998,Baillie Gifford American B Acc,1.125,
05/26/1998,Baillie Gifford American B Acc,1.117,
05/27/1998,Baillie Gifford American B Acc,1.094,
05/28/1998,Baillie Gifford American B Acc,1.091,
05/29/1998,Baillie Gifford American B Acc,1.099,
05/30/1998,Baillie Gifford American B Acc,1.099,
05/31/1998,Baillie Gifford American B Acc,1.099,
06/01/1998,Baillie Gifford American B Acc,1.1,
06/02/1998,Baillie Gifford American B Acc,1.092,
06/03/1998,Baillie Gifford American B Acc,1.095,
06/04/1998,Baillie Gifford American B Acc,1.084,
06/05/1998,Baillie Gifford American B Acc,1.093,
06/06/1998,Baillie Gifford American B Acc,1.093,
06/07/1998,Baillie Gifford American B Acc,1.093,
06/08/1998,Baillie Gifford American B Acc,1.111,
06/09/1998,Baillie Gifford American B Acc,1.108,
06/10/1998,Baillie Gifford American B Acc,1.107,
06/11/1998,Baillie Gifford American B Acc,1.106,
06/12/1998,Baillie Gifford American B Acc,1.086,
06/13/1998,Baillie Gifford American B Acc,1.086,
06/14/1998,Baillie Gifford American B Acc,1.086,
06/15/1998,Baillie Gifford American B Acc,1.085,
06/16/1998,Baillie Gifford American B Acc,1.056,
06/17/1998,Baillie Gifford American B Acc,1.055,
06/18/1998,Baillie Gifford American B Acc,1.071,
06/19/1998,Baillie Gifford American B Acc,1.071,
06/20/1998,Baillie Gifford American B Acc,1.071,
06/21/1998,Baillie Gifford American B Acc,1.071,
06/22/1998,Baillie Gifford American B Acc,1.073,
06/23/1998,Baillie Gifford American B Acc,1.072,
06/24/1998,Baillie Gifford American B Acc,1.085,
06/25/1998,Baillie Gifford American B Acc,1.092,
06/26/1998,Baillie Gifford American B Acc,1.087,
06/27/1998,Baillie Gifford American B Acc,1.087,
06/28/1998,Baillie Gifford American B Acc,1.087,
06/29/1998,Baillie Gifford American B Acc,1.093,
06/30/1998,Baillie Gifford American B Acc,1.103,
07/01/1998,Baillie Gifford American B Acc,1.102,
07/02/1998,Baillie Gifford American B Acc,1.123,
07/03/1998,Baillie Gifford American B Acc,1.126,
07/04/1998,Baillie Gifford American B Acc,1.126,
07/05/1998,Baillie Gifford American B Acc,1.126,
07/06/1998,Baillie Gifford American B Acc,1.138,
07/07/1998,Baillie Gifford American B Acc,1.145,
07/08/1998,Baillie Gifford American B Acc,1.141,
07/09/1998,Baillie Gifford American B Acc,1.154,
07/10/1998,Baillie Gifford American B Acc,1.148,
07/11/1998,Baillie Gifford American B Acc,1.148,
07/12/1998,Baillie Gifford American B Acc,1.148,
07/13/1998,Baillie Gifford American B Acc,1.153,
07/14/1998,Baillie Gifford American B Acc,1.15,
07/15/1998,Baillie Gifford American B Acc,1.156,
07/16/1998,Baillie Gifford American B Acc,1.156,
07/17/1998,Baillie Gifford American B Acc,1.154,
07/18/1998,Baillie Gifford American B Acc,1.154,
07/19/1998,Baillie Gifford American B Acc,1.154,
07/20/1998,Baillie Gifford American B Acc,1.151,
07/21/1998,Baillie Gifford American B Acc,1.137,
07/22/1998,Baillie Gifford American B Acc,1.125,
07/23/1998,Baillie Gifford American B Acc,1.121,
