Date,Name,NAV
05/03/2011,Baillie Gifford Global Discovery B Acc,4.546,
05/04/2011,Baillie Gifford Global Discovery B Acc,4.571,
05/05/2011,Baillie Gifford Global Discovery B Acc,4.555,
05/06/2011,Baillie Gifford Global Discovery B Acc,4.468,
05/07/2011,Baillie Gifford Global Discovery B Acc,4.468,
05/08/2011,Baillie Gifford Global Discovery B Acc,4.468,
05/09/2011,Baillie Gifford Global Discovery B Acc,4.499,
05/10/2011,Baillie Gifford Global Discovery B Acc,4.505,
05/11/2011,Baillie Gifford Global Discovery B Acc,4.504,
05/12/2011,Baillie Gifford Global Discovery B Acc,4.42,
05/13/2011,Baillie Gifford Global Discovery B Acc,4.526,
05/14/2011,Baillie Gifford Global Discovery B Acc,4.526,
05/15/2011,Baillie Gifford Global Discovery B Acc,4.526,
05/16/2011,Baillie Gifford Global Discovery B Acc,4.487,
05/17/2011,Baillie Gifford Global Discovery B Acc,4.455,
05/18/2011,Baillie Gifford Global Discovery B Acc,4.489,
05/19/2011,Baillie Gifford Global Discovery B Acc,4.505,
05/20/2011,Baillie Gifford Global Discovery B Acc,4.521,
05/21/2011,Baillie Gifford Global Discovery B Acc,4.521,
05/22/2011,Baillie Gifford Global Discovery B Acc,4.521,
05/23/2011,Baillie Gifford Global Discovery B Acc,4.427,
05/24/2011,Baillie Gifford Global Discovery B Acc,4.434,
05/25/2011,Baillie Gifford Global Discovery B Acc,4.409,
05/26/2011,Baillie Gifford Global Discovery B Acc,4.416,
05/27/2011,Baillie Gifford Global Discovery B Acc,4.426,
05/28/2011,Baillie Gifford Global Discovery B Acc,4.426,
05/29/2011,Baillie Gifford Global Discovery B Acc,4.426,
05/30/2011,Baillie Gifford Global Discovery B Acc,4.426,
05/31/2011,Baillie Gifford Global Discovery B Acc,4.491,
06/01/2011,Baillie Gifford Global Discovery B Acc,4.535,
06/02/2011,Baillie Gifford Global Discovery B Acc,4.482,
06/03/2011,Baillie Gifford Global Discovery B Acc,4.523,
06/04/2011,Baillie Gifford Global Discovery B Acc,4.523,
06/05/2011,Baillie Gifford Global Discovery B Acc,4.523,
06/06/2011,Baillie Gifford Global Discovery B Acc,4.519,
06/07/2011,Baillie Gifford Global Discovery B Acc,4.498,
06/08/2011,Baillie Gifford Global Discovery B Acc,4.485,
06/09/2011,Baillie Gifford Global Discovery B Acc,4.389,
06/10/2011,Baillie Gifford Global Discovery B Acc,4.462,
06/11/2011,Baillie Gifford Global Discovery B Acc,4.462,
06/12/2011,Baillie Gifford Global Discovery B Acc,4.462,
06/13/2011,Baillie Gifford Global Discovery B Acc,4.404,
06/14/2011,Baillie Gifford Global Discovery B Acc,4.363,
06/15/2011,Baillie Gifford Global Discovery B Acc,4.42,
06/16/2011,Baillie Gifford Global Discovery B Acc,4.375,
06/17/2011,Baillie Gifford Global Discovery B Acc,4.282,
06/18/2011,Baillie Gifford Global Discovery B Acc,4.282,
06/19/2011,Baillie Gifford Global Discovery B Acc,4.282,
06/20/2011,Baillie Gifford Global Discovery B Acc,4.315,
06/21/2011,Baillie Gifford Global Discovery B Acc,4.347,
06/22/2011,Baillie Gifford Global Discovery B Acc,4.369,
06/23/2011,Baillie Gifford Global Discovery B Acc,4.367,
06/24/2011,Baillie Gifford Global Discovery B Acc,4.36,
06/25/2011,Baillie Gifford Global Discovery B Acc,4.36,
06/26/2011,Baillie Gifford Global Discovery B Acc,4.36,
