Date,Name,NAV
03/16/2010,Baillie Gifford Global Inc Growth B Acc,5.832
03/17/2010,Baillie Gifford Global Inc Growth B Acc,5.815
03/18/2010,Baillie Gifford Global Inc Growth B Acc,5.836
03/19/2010,Baillie Gifford Global Inc Growth B Acc,5.87
03/20/2010,Baillie Gifford Global Inc Growth B Acc,5.87
03/21/2010,Baillie Gifford Global Inc Growth B Acc,5.87
03/22/2010,Baillie Gifford Global Inc Growth B Acc,5.828
03/23/2010,Baillie Gifford Global Inc Growth B Acc,5.91
03/24/2010,Baillie Gifford Global Inc Growth B Acc,5.915
03/25/2010,Baillie Gifford Global Inc Growth B Acc,5.88
03/26/2010,Baillie Gifford Global Inc Growth B Acc,5.952
03/27/2010,Baillie Gifford Global Inc Growth B Acc,5.952
03/28/2010,Baillie Gifford Global Inc Growth B Acc,5.952
03/29/2010,Baillie Gifford Global Inc Growth B Acc,5.944
03/30/2010,Baillie Gifford Global Inc Growth B Acc,5.902
03/31/2010,Baillie Gifford Global Inc Growth B Acc,5.925
04/01/2010,Baillie Gifford Global Inc Growth B Acc,5.934
04/02/2010,Baillie Gifford Global Inc Growth B Acc,5.934
04/03/2010,Baillie Gifford Global Inc Growth B Acc,5.934
04/04/2010,Baillie Gifford Global Inc Growth B Acc,5.934
04/05/2010,Baillie Gifford Global Inc Growth B Acc,5.934
04/06/2010,Baillie Gifford Global Inc Growth B Acc,6.009
04/07/2010,Baillie Gifford Global Inc Growth B Acc,5.997
04/08/2010,Baillie Gifford Global Inc Growth B Acc,5.974
04/09/2010,Baillie Gifford Global Inc Growth B Acc,5.93
04/10/2010,Baillie Gifford Global Inc Growth B Acc,5.93
04/11/2010,Baillie Gifford Global Inc Growth B Acc,5.93
04/12/2010,Baillie Gifford Global Inc Growth B Acc,5.972
04/13/2010,Baillie Gifford Global Inc Growth B Acc,5.956
04/14/2010,Baillie Gifford Global Inc Growth B Acc,6.005
04/15/2010,Baillie Gifford Global Inc Growth B Acc,6.025
04/16/2010,Baillie Gifford Global Inc Growth B Acc,5.965
