Date,Name,NAV
03/31/1989,Baillie Gifford Pacific B Acc,0.477,
04/01/1989,Baillie Gifford Pacific B Acc,0.477,
04/02/1989,Baillie Gifford Pacific B Acc,0.477,
04/03/1989,Baillie Gifford Pacific B Acc,0.477,
04/04/1989,Baillie Gifford Pacific B Acc,0.477,
04/05/1989,Baillie Gifford Pacific B Acc,0.477,
04/06/1989,Baillie Gifford Pacific B Acc,0.477,
04/07/1989,Baillie Gifford Pacific B Acc,0.477,
04/08/1989,Baillie Gifford Pacific B Acc,0.477,
04/09/1989,Baillie Gifford Pacific B Acc,0.477,
04/10/1989,Baillie Gifford Pacific B Acc,0.477,
04/11/1989,Baillie Gifford Pacific B Acc,0.477,
04/12/1989,Baillie Gifford Pacific B Acc,0.477,
04/13/1989,Baillie Gifford Pacific B Acc,0.477,
04/14/1989,Baillie Gifford Pacific B Acc,0.477,
04/15/1989,Baillie Gifford Pacific B Acc,0.477,
04/16/1989,Baillie Gifford Pacific B Acc,0.477,
04/17/1989,Baillie Gifford Pacific B Acc,0.477,
04/18/1989,Baillie Gifford Pacific B Acc,0.477,
04/19/1989,Baillie Gifford Pacific B Acc,0.477,
04/20/1989,Baillie Gifford Pacific B Acc,0.477,
04/21/1989,Baillie Gifford Pacific B Acc,0.477,
04/22/1989,Baillie Gifford Pacific B Acc,0.477,
04/23/1989,Baillie Gifford Pacific B Acc,0.477,
04/24/1989,Baillie Gifford Pacific B Acc,0.477,
04/25/1989,Baillie Gifford Pacific B Acc,0.477,
04/26/1989,Baillie Gifford Pacific B Acc,0.477,
04/27/1989,Baillie Gifford Pacific B Acc,0.477,
04/28/1989,Baillie Gifford Pacific B Acc,0.4996,
04/29/1989,Baillie Gifford Pacific B Acc,0.4996,
04/30/1989,Baillie Gifford Pacific B Acc,0.4996,
05/01/1989,Baillie Gifford Pacific B Acc,0.4996,
05/02/1989,Baillie Gifford Pacific B Acc,0.4996,
05/03/1989,Baillie Gifford Pacific B Acc,0.4996,
05/04/1989,Baillie Gifford Pacific B Acc,0.4996,
05/05/1989,Baillie Gifford Pacific B Acc,0.4996,
05/06/1989,Baillie Gifford Pacific B Acc,0.4996,
05/07/1989,Baillie Gifford Pacific B Acc,0.4996,
05/08/1989,Baillie Gifford Pacific B Acc,0.4996,
05/09/1989,Baillie Gifford Pacific B Acc,0.4996,
05/10/1989,Baillie Gifford Pacific B Acc,0.4996,
05/11/1989,Baillie Gifford Pacific B Acc,0.4996,
05/12/1989,Baillie Gifford Pacific B Acc,0.4996,
05/13/1989,Baillie Gifford Pacific B Acc,0.4996,
05/14/1989,Baillie Gifford Pacific B Acc,0.4996,
05/15/1989,Baillie Gifford Pacific B Acc,0.4996,
05/16/1989,Baillie Gifford Pacific B Acc,0.4996,
05/17/1989,Baillie Gifford Pacific B Acc,0.4996,
05/18/1989,Baillie Gifford Pacific B Acc,0.4996,
05/19/1989,Baillie Gifford Pacific B Acc,0.4996,
05/20/1989,Baillie Gifford Pacific B Acc,0.4996,
05/21/1989,Baillie Gifford Pacific B Acc,0.4996,
05/22/1989,Baillie Gifford Pacific B Acc,0.4996,
05/23/1989,Baillie Gifford Pacific B Acc,0.4996,
05/24/1989,Baillie Gifford Pacific B Acc,0.4996,
05/25/1989,Baillie Gifford Pacific B Acc,0.4996,
05/26/1989,Baillie Gifford Pacific B Acc,0.4996,
05/27/1989,Baillie Gifford Pacific B Acc,0.4996,
05/28/1989,Baillie Gifford Pacific B Acc,0.4996,
05/29/1989,Baillie Gifford Pacific B Acc,0.4996,
05/30/1989,Baillie Gifford Pacific B Acc,0.4996,
05/31/1989,Baillie Gifford Pacific B Acc,0.5266,
06/01/1989,Baillie Gifford Pacific B Acc,0.5266,
06/02/1989,Baillie Gifford Pacific B Acc,0.5266,
06/03/1989,Baillie Gifford Pacific B Acc,0.5266,
06/04/1989,Baillie Gifford Pacific B Acc,0.5266,
06/05/1989,Baillie Gifford Pacific B Acc,0.5266,
06/06/1989,Baillie Gifford Pacific B Acc,0.5266,
06/07/1989,Baillie Gifford Pacific B Acc,0.5266,
06/08/1989,Baillie Gifford Pacific B Acc,0.5266,
06/09/1989,Baillie Gifford Pacific B Acc,0.5266,
06/10/1989,Baillie Gifford Pacific B Acc,0.5266,
06/11/1989,Baillie Gifford Pacific B Acc,0.5266,
06/12/1989,Baillie Gifford Pacific B Acc,0.5266,
06/13/1989,Baillie Gifford Pacific B Acc,0.5266,
06/14/1989,Baillie Gifford Pacific B Acc,0.5266,
06/15/1989,Baillie Gifford Pacific B Acc,0.5266,
06/16/1989,Baillie Gifford Pacific B Acc,0.5266,
06/17/1989,Baillie Gifford Pacific B Acc,0.5266,
06/18/1989,Baillie Gifford Pacific B Acc,0.5266,
06/19/1989,Baillie Gifford Pacific B Acc,0.5266,
06/20/1989,Baillie Gifford Pacific B Acc,0.5266,
06/21/1989,Baillie Gifford Pacific B Acc,0.5266,
06/22/1989,Baillie Gifford Pacific B Acc,0.5266,
06/23/1989,Baillie Gifford Pacific B Acc,0.5266,
06/24/1989,Baillie Gifford Pacific B Acc,0.5266,
06/25/1989,Baillie Gifford Pacific B Acc,0.5266,
06/26/1989,Baillie Gifford Pacific B Acc,0.5266,
06/27/1989,Baillie Gifford Pacific B Acc,0.5266,
06/28/1989,Baillie Gifford Pacific B Acc,0.5266,
06/29/1989,Baillie Gifford Pacific B Acc,0.5266,
06/30/1989,Baillie Gifford Pacific B Acc,0.5148,
07/01/1989,Baillie Gifford Pacific B Acc,0.5148,
07/02/1989,Baillie Gifford Pacific B Acc,0.5148,
07/03/1989,Baillie Gifford Pacific B Acc,0.5148,
