Date,Name,NAV
01/03/2017,Baillie Gifford Positive Change B Acc,1,
01/04/2017,Baillie Gifford Positive Change B Acc,1,
01/05/2017,Baillie Gifford Positive Change B Acc,1.005,
01/06/2017,Baillie Gifford Positive Change B Acc,1.004,
01/07/2017,Baillie Gifford Positive Change B Acc,1.004,
01/08/2017,Baillie Gifford Positive Change B Acc,1.004,
01/09/2017,Baillie Gifford Positive Change B Acc,1.027,
01/10/2017,Baillie Gifford Positive Change B Acc,1.042,
01/11/2017,Baillie Gifford Positive Change B Acc,1.045,
01/12/2017,Baillie Gifford Positive Change B Acc,1.036,
01/13/2017,Baillie Gifford Positive Change B Acc,1.042,
01/14/2017,Baillie Gifford Positive Change B Acc,1.042,
01/15/2017,Baillie Gifford Positive Change B Acc,1.042,
01/16/2017,Baillie Gifford Positive Change B Acc,1.066,
01/17/2017,Baillie Gifford Positive Change B Acc,1.052,
01/18/2017,Baillie Gifford Positive Change B Acc,1.041,
01/19/2017,Baillie Gifford Positive Change B Acc,1.033,
01/20/2017,Baillie Gifford Positive Change B Acc,1.034,
01/21/2017,Baillie Gifford Positive Change B Acc,1.034,
01/22/2017,Baillie Gifford Positive Change B Acc,1.034,
01/23/2017,Baillie Gifford Positive Change B Acc,1.023,
01/24/2017,Baillie Gifford Positive Change B Acc,1.023,
01/25/2017,Baillie Gifford Positive Change B Acc,1.018,
01/26/2017,Baillie Gifford Positive Change B Acc,1.022,
01/27/2017,Baillie Gifford Positive Change B Acc,1.028,
01/28/2017,Baillie Gifford Positive Change B Acc,1.028,
01/29/2017,Baillie Gifford Positive Change B Acc,1.028,
01/30/2017,Baillie Gifford Positive Change B Acc,1.029,
01/31/2017,Baillie Gifford Positive Change B Acc,1.033,
02/01/2017,Baillie Gifford Positive Change B Acc,1.031,
02/02/2017,Baillie Gifford Positive Change B Acc,1.024,
02/03/2017,Baillie Gifford Positive Change B Acc,1.039,
02/04/2017,Baillie Gifford Positive Change B Acc,1.039,
02/05/2017,Baillie Gifford Positive Change B Acc,1.039,
02/06/2017,Baillie Gifford Positive Change B Acc,1.043,
02/07/2017,Baillie Gifford Positive Change B Acc,1.047,
02/08/2017,Baillie Gifford Positive Change B Acc,1.038,
02/09/2017,Baillie Gifford Positive Change B Acc,1.036,
02/10/2017,Baillie Gifford Positive Change B Acc,1.046,
02/11/2017,Baillie Gifford Positive Change B Acc,1.046,
02/12/2017,Baillie Gifford Positive Change B Acc,1.046,
02/13/2017,Baillie Gifford Positive Change B Acc,1.05,
02/14/2017,Baillie Gifford Positive Change B Acc,1.056,
02/15/2017,Baillie Gifford Positive Change B Acc,1.061,
02/16/2017,Baillie Gifford Positive Change B Acc,1.061,
02/17/2017,Baillie Gifford Positive Change B Acc,1.066,
02/18/2017,Baillie Gifford Positive Change B Acc,1.066,
