Date,Name,NAV
03/31/2009,BlackRock European Absolute Alpha D Acc,0.9524
04/01/2009,BlackRock European Absolute Alpha D Acc,0.9524
04/02/2009,BlackRock European Absolute Alpha D Acc,0.951
04/03/2009,BlackRock European Absolute Alpha D Acc,0.9513
04/04/2009,BlackRock European Absolute Alpha D Acc,0.9513
04/05/2009,BlackRock European Absolute Alpha D Acc,0.9513
04/06/2009,BlackRock European Absolute Alpha D Acc,0.9539
04/07/2009,BlackRock European Absolute Alpha D Acc,0.9523
04/08/2009,BlackRock European Absolute Alpha D Acc,0.9533
04/09/2009,BlackRock European Absolute Alpha D Acc,0.954
04/10/2009,BlackRock European Absolute Alpha D Acc,0.954
04/11/2009,BlackRock European Absolute Alpha D Acc,0.954
04/12/2009,BlackRock European Absolute Alpha D Acc,0.954
04/13/2009,BlackRock European Absolute Alpha D Acc,0.954
04/14/2009,BlackRock European Absolute Alpha D Acc,0.9552
04/15/2009,BlackRock European Absolute Alpha D Acc,0.9548
04/16/2009,BlackRock European Absolute Alpha D Acc,0.9574
04/17/2009,BlackRock European Absolute Alpha D Acc,0.9566
04/18/2009,BlackRock European Absolute Alpha D Acc,0.9566
04/19/2009,BlackRock European Absolute Alpha D Acc,0.9566
04/20/2009,BlackRock European Absolute Alpha D Acc,0.9557
04/21/2009,BlackRock European Absolute Alpha D Acc,0.9541
04/22/2009,BlackRock European Absolute Alpha D Acc,0.9555
04/23/2009,BlackRock European Absolute Alpha D Acc,0.9566
04/24/2009,BlackRock European Absolute Alpha D Acc,0.9579
04/25/2009,BlackRock European Absolute Alpha D Acc,0.9579
04/26/2009,BlackRock European Absolute Alpha D Acc,0.9579
04/27/2009,BlackRock European Absolute Alpha D Acc,0.9584
04/28/2009,BlackRock European Absolute Alpha D Acc,0.9589
04/29/2009,BlackRock European Absolute Alpha D Acc,0.9593
04/30/2009,BlackRock European Absolute Alpha D Acc,0.9603
05/01/2009,BlackRock European Absolute Alpha D Acc,0.9589
05/02/2009,BlackRock European Absolute Alpha D Acc,0.9589
05/03/2009,BlackRock European Absolute Alpha D Acc,0.9589
05/04/2009,BlackRock European Absolute Alpha D Acc,0.9589
05/05/2009,BlackRock European Absolute Alpha D Acc,0.9641
05/06/2009,BlackRock European Absolute Alpha D Acc,0.9635
05/07/2009,BlackRock European Absolute Alpha D Acc,0.9646
05/08/2009,BlackRock European Absolute Alpha D Acc,0.9653
05/09/2009,BlackRock European Absolute Alpha D Acc,0.9653
