Date,Name,NAV
09/15/2006,Fidelity Global Special Sits W Acc,14.3542435424354,
09/16/2006,Fidelity Global Special Sits W Acc,14.3542435424354,
09/17/2006,Fidelity Global Special Sits W Acc,14.3542435424354,
09/18/2006,Fidelity Global Special Sits W Acc,14.409594095941,
09/19/2006,Fidelity Global Special Sits W Acc,14.3265682656827,
09/20/2006,Fidelity Global Special Sits W Acc,14.3081180811808,
09/21/2006,Fidelity Global Special Sits W Acc,14.3173431734317,
09/22/2006,Fidelity Global Special Sits W Acc,14.2619926199262,
09/23/2006,Fidelity Global Special Sits W Acc,14.2619926199262,
09/24/2006,Fidelity Global Special Sits W Acc,14.2619926199262,
09/25/2006,Fidelity Global Special Sits W Acc,14.1789667896679,
09/26/2006,Fidelity Global Special Sits W Acc,14.2066420664207,
09/27/2006,Fidelity Global Special Sits W Acc,14.40036900369,
09/28/2006,Fidelity Global Special Sits W Acc,14.529520295203,
09/29/2006,Fidelity Global Special Sits W Acc,14.5018450184502,
09/30/2006,Fidelity Global Special Sits W Acc,14.5018450184502,
10/01/2006,Fidelity Global Special Sits W Acc,14.5018450184502,
10/02/2006,Fidelity Global Special Sits W Acc,14.4280442804428,
10/03/2006,Fidelity Global Special Sits W Acc,14.2712177121771,
10/04/2006,Fidelity Global Special Sits W Acc,14.280442804428,
10/05/2006,Fidelity Global Special Sits W Acc,14.3911439114391,
10/06/2006,Fidelity Global Special Sits W Acc,14.4649446494465,
10/07/2006,Fidelity Global Special Sits W Acc,14.4649446494465,
10/08/2006,Fidelity Global Special Sits W Acc,14.4649446494465,
10/09/2006,Fidelity Global Special Sits W Acc,14.5018450184502,
10/10/2006,Fidelity Global Special Sits W Acc,14.5479704797048,
10/11/2006,Fidelity Global Special Sits W Acc,14.5664206642066,
10/12/2006,Fidelity Global Special Sits W Acc,14.6033210332103,
10/13/2006,Fidelity Global Special Sits W Acc,14.7232472324723,
10/14/2006,Fidelity Global Special Sits W Acc,14.7232472324723,
10/15/2006,Fidelity Global Special Sits W Acc,14.7232472324723,
10/16/2006,Fidelity Global Special Sits W Acc,14.8062730627306,
10/17/2006,Fidelity Global Special Sits W Acc,14.7878228782288,
10/18/2006,Fidelity Global Special Sits W Acc,14.7416974169742,
10/19/2006,Fidelity Global Special Sits W Acc,14.8062730627306,
10/20/2006,Fidelity Global Special Sits W Acc,14.8892988929889,
10/21/2006,Fidelity Global Special Sits W Acc,14.8892988929889,
10/22/2006,Fidelity Global Special Sits W Acc,14.8892988929889,
10/23/2006,Fidelity Global Special Sits W Acc,14.8523985239852,
10/24/2006,Fidelity Global Special Sits W Acc,14.8985239852399,
10/25/2006,Fidelity Global Special Sits W Acc,14.9723247232472,
10/26/2006,Fidelity Global Special Sits W Acc,15.0461254612546,
10/27/2006,Fidelity Global Special Sits W Acc,14.8892988929889,
10/28/2006,Fidelity Global Special Sits W Acc,14.8892988929889,
10/29/2006,Fidelity Global Special Sits W Acc,14.8892988929889,
10/30/2006,Fidelity Global Special Sits W Acc,14.7693726937269,
10/31/2006,Fidelity Global Special Sits W Acc,14.7693726937269,
11/01/2006,Fidelity Global Special Sits W Acc,14.8062730627306,
11/02/2006,Fidelity Global Special Sits W Acc,14.8154981549815,
11/03/2006,Fidelity Global Special Sits W Acc,14.8062730627306,
11/04/2006,Fidelity Global Special Sits W Acc,14.8062730627306,
11/05/2006,Fidelity Global Special Sits W Acc,14.8062730627306,
11/06/2006,Fidelity Global Special Sits W Acc,14.9261992619926,
11/07/2006,Fidelity Global Special Sits W Acc,15.0092250922509,
11/08/2006,Fidelity Global Special Sits W Acc,14.9630996309963,
11/09/2006,Fidelity Global Special Sits W Acc,15.0276752767528,
11/10/2006,Fidelity Global Special Sits W Acc,15.0276752767528,
11/11/2006,Fidelity Global Special Sits W Acc,15.0276752767528,
11/12/2006,Fidelity Global Special Sits W Acc,15.0276752767528,
