Date,Name,NAV
10/02/2000,Fidelity Global Technology W-Acc-GBP,1.295336788
10/03/2000,Fidelity Global Technology W-Acc-GBP,1.284974093
10/04/2000,Fidelity Global Technology W-Acc-GBP,1.248704663
10/05/2000,Fidelity Global Technology W-Acc-GBP,1.259067358
10/06/2000,Fidelity Global Technology W-Acc-GBP,1.248704663
10/07/2000,Fidelity Global Technology W-Acc-GBP,1.248704663
10/08/2000,Fidelity Global Technology W-Acc-GBP,1.248704663
10/09/2000,Fidelity Global Technology W-Acc-GBP,1.212435233
10/10/2000,Fidelity Global Technology W-Acc-GBP,1.207253886
10/11/2000,Fidelity Global Technology W-Acc-GBP,1.150259067
10/12/2000,Fidelity Global Technology W-Acc-GBP,1.134715026
10/13/2000,Fidelity Global Technology W-Acc-GBP,1.165803109
10/14/2000,Fidelity Global Technology W-Acc-GBP,1.165803109
10/15/2000,Fidelity Global Technology W-Acc-GBP,1.165803109
10/16/2000,Fidelity Global Technology W-Acc-GBP,1.196891192
10/17/2000,Fidelity Global Technology W-Acc-GBP,1.18134715
10/18/2000,Fidelity Global Technology W-Acc-GBP,1.155440415
10/19/2000,Fidelity Global Technology W-Acc-GBP,1.207253886
10/20/2000,Fidelity Global Technology W-Acc-GBP,1.25388601
10/21/2000,Fidelity Global Technology W-Acc-GBP,1.25388601
10/22/2000,Fidelity Global Technology W-Acc-GBP,1.25388601
10/23/2000,Fidelity Global Technology W-Acc-GBP,1.233160622
10/24/2000,Fidelity Global Technology W-Acc-GBP,1.248704663
10/25/2000,Fidelity Global Technology W-Acc-GBP,1.196891192
10/26/2000,Fidelity Global Technology W-Acc-GBP,1.14507772
10/27/2000,Fidelity Global Technology W-Acc-GBP,1.176165803
10/28/2000,Fidelity Global Technology W-Acc-GBP,1.176165803
10/29/2000,Fidelity Global Technology W-Acc-GBP,1.176165803
10/30/2000,Fidelity Global Technology W-Acc-GBP,1.134715026
10/31/2000,Fidelity Global Technology W-Acc-GBP,1.18134715
11/01/2000,Fidelity Global Technology W-Acc-GBP,1.202072539
11/02/2000,Fidelity Global Technology W-Acc-GBP,1.21761658
11/03/2000,Fidelity Global Technology W-Acc-GBP,1.233160622
11/04/2000,Fidelity Global Technology W-Acc-GBP,1.233160622
11/05/2000,Fidelity Global Technology W-Acc-GBP,1.233160622
11/06/2000,Fidelity Global Technology W-Acc-GBP,1.25388601
11/07/2000,Fidelity Global Technology W-Acc-GBP,1.248704663
11/08/2000,Fidelity Global Technology W-Acc-GBP,1.227979275
11/09/2000,Fidelity Global Technology W-Acc-GBP,1.186528497
11/10/2000,Fidelity Global Technology W-Acc-GBP,1.139896373
11/11/2000,Fidelity Global Technology W-Acc-GBP,1.139896373
11/12/2000,Fidelity Global Technology W-Acc-GBP,1.139896373
11/13/2000,Fidelity Global Technology W-Acc-GBP,1.077720207
11/14/2000,Fidelity Global Technology W-Acc-GBP,1.14507772
11/15/2000,Fidelity Global Technology W-Acc-GBP,1.170984456
11/16/2000,Fidelity Global Technology W-Acc-GBP,1.160621762
11/17/2000,Fidelity Global Technology W-Acc-GBP,1.124352332
11/18/2000,Fidelity Global Technology W-Acc-GBP,1.124352332
11/19/2000,Fidelity Global Technology W-Acc-GBP,1.124352332
11/20/2000,Fidelity Global Technology W-Acc-GBP,1.098445596
11/21/2000,Fidelity Global Technology W-Acc-GBP,1.098445596
11/22/2000,Fidelity Global Technology W-Acc-GBP,1.07253886
11/23/2000,Fidelity Global Technology W-Acc-GBP,1.07253886
11/24/2000,Fidelity Global Technology W-Acc-GBP,1.103626943
11/25/2000,Fidelity Global Technology W-Acc-GBP,1.103626943
11/26/2000,Fidelity Global Technology W-Acc-GBP,1.103626943
