Date,Name,NAV
11/01/2010,Fundsmith Equity I Acc,1
11/02/2010,Fundsmith Equity I Acc,0.9992
11/03/2010,Fundsmith Equity I Acc,1.0003
11/04/2010,Fundsmith Equity I Acc,1.0049
11/05/2010,Fundsmith Equity I Acc,1.0085
11/06/2010,Fundsmith Equity I Acc,1.0085
11/07/2010,Fundsmith Equity I Acc,1.0085
11/08/2010,Fundsmith Equity I Acc,1.0118
11/09/2010,Fundsmith Equity I Acc,1.0107
11/10/2010,Fundsmith Equity I Acc,1.0054
11/11/2010,Fundsmith Equity I Acc,1.0054
11/12/2010,Fundsmith Equity I Acc,0.9987
11/13/2010,Fundsmith Equity I Acc,0.9987
11/14/2010,Fundsmith Equity I Acc,0.9987
11/15/2010,Fundsmith Equity I Acc,0.9965
11/16/2010,Fundsmith Equity I Acc,0.9968
11/17/2010,Fundsmith Equity I Acc,0.9899
11/18/2010,Fundsmith Equity I Acc,0.9959
11/19/2010,Fundsmith Equity I Acc,1.0046
11/20/2010,Fundsmith Equity I Acc,1.0046
11/21/2010,Fundsmith Equity I Acc,1.0046
11/22/2010,Fundsmith Equity I Acc,1.016
11/23/2010,Fundsmith Equity I Acc,1.0118
11/24/2010,Fundsmith Equity I Acc,1.0099
11/25/2010,Fundsmith Equity I Acc,1.0211
11/26/2010,Fundsmith Equity I Acc,1.0216
11/27/2010,Fundsmith Equity I Acc,1.0216
11/28/2010,Fundsmith Equity I Acc,1.0216
11/29/2010,Fundsmith Equity I Acc,1.0257
11/30/2010,Fundsmith Equity I Acc,1.0198
12/01/2010,Fundsmith Equity I Acc,1.0166
12/02/2010,Fundsmith Equity I Acc,1.0287
12/03/2010,Fundsmith Equity I Acc,1.0342
12/04/2010,Fundsmith Equity I Acc,1.0342
12/05/2010,Fundsmith Equity I Acc,1.0342
12/06/2010,Fundsmith Equity I Acc,1.0344
12/07/2010,Fundsmith Equity I Acc,1.0331
12/08/2010,Fundsmith Equity I Acc,1.0309
12/09/2010,Fundsmith Equity I Acc,1.0361
12/10/2010,Fundsmith Equity I Acc,1.0331
12/11/2010,Fundsmith Equity I Acc,1.0331
12/12/2010,Fundsmith Equity I Acc,1.0331
12/13/2010,Fundsmith Equity I Acc,1.0395
12/14/2010,Fundsmith Equity I Acc,1.0374
12/15/2010,Fundsmith Equity I Acc,1.0509
12/16/2010,Fundsmith Equity I Acc,1.0545
12/17/2010,Fundsmith Equity I Acc,1.0604
12/18/2010,Fundsmith Equity I Acc,1.0604
12/19/2010,Fundsmith Equity I Acc,1.0604
12/20/2010,Fundsmith Equity I Acc,1.0663
12/21/2010,Fundsmith Equity I Acc,1.0723
12/22/2010,Fundsmith Equity I Acc,1.0712
12/23/2010,Fundsmith Equity I Acc,1.0753
12/24/2010,Fundsmith Equity I Acc,1.0725
12/25/2010,Fundsmith Equity I Acc,1.0725
12/26/2010,Fundsmith Equity I Acc,1.0725
12/27/2010,Fundsmith Equity I Acc,1.0725
12/28/2010,Fundsmith Equity I Acc,1.0725
12/29/2010,Fundsmith Equity I Acc,1.0738
12/30/2010,Fundsmith Equity I Acc,1.0706
12/31/2010,Fundsmith Equity I Acc,1.0615
01/01/2011,Fundsmith Equity I Acc,1.0615
01/02/2011,Fundsmith Equity I Acc,1.0615
01/03/2011,Fundsmith Equity I Acc,1.0615
01/04/2011,Fundsmith Equity I Acc,1.0609
01/05/2011,Fundsmith Equity I Acc,1.0549
01/06/2011,Fundsmith Equity I Acc,1.0645
01/07/2011,Fundsmith Equity I Acc,1.064
01/08/2011,Fundsmith Equity I Acc,1.064
01/09/2011,Fundsmith Equity I Acc,1.064
01/10/2011,Fundsmith Equity I Acc,1.0511
01/11/2011,Fundsmith Equity I Acc,1.0556
01/12/2011,Fundsmith Equity I Acc,1.054
01/13/2011,Fundsmith Equity I Acc,1.048
01/14/2011,Fundsmith Equity I Acc,1.0417
01/15/2011,Fundsmith Equity I Acc,1.0417
01/16/2011,Fundsmith Equity I Acc,1.0417
