Date,Name,NAV
02/15/2013,JPM Global Macro Opportunities C Net Acc,1
02/16/2013,JPM Global Macro Opportunities C Net Acc,1
02/17/2013,JPM Global Macro Opportunities C Net Acc,1
02/18/2013,JPM Global Macro Opportunities C Net Acc,1.005
02/19/2013,JPM Global Macro Opportunities C Net Acc,1.006
02/20/2013,JPM Global Macro Opportunities C Net Acc,1.006
02/21/2013,JPM Global Macro Opportunities C Net Acc,1.006
02/22/2013,JPM Global Macro Opportunities C Net Acc,1.006
02/23/2013,JPM Global Macro Opportunities C Net Acc,1.006
02/24/2013,JPM Global Macro Opportunities C Net Acc,1.006
02/25/2013,JPM Global Macro Opportunities C Net Acc,1.007
02/26/2013,JPM Global Macro Opportunities C Net Acc,1.006
02/27/2013,JPM Global Macro Opportunities C Net Acc,1.006
02/28/2013,JPM Global Macro Opportunities C Net Acc,1.007
03/01/2013,JPM Global Macro Opportunities C Net Acc,1.008
03/02/2013,JPM Global Macro Opportunities C Net Acc,1.008
03/03/2013,JPM Global Macro Opportunities C Net Acc,1.008
03/04/2013,JPM Global Macro Opportunities C Net Acc,1.01
03/05/2013,JPM Global Macro Opportunities C Net Acc,1.01
03/06/2013,JPM Global Macro Opportunities C Net Acc,1.01
03/07/2013,JPM Global Macro Opportunities C Net Acc,1.011
03/08/2013,JPM Global Macro Opportunities C Net Acc,1.011
03/09/2013,JPM Global Macro Opportunities C Net Acc,1.011
03/10/2013,JPM Global Macro Opportunities C Net Acc,1.011
03/11/2013,JPM Global Macro Opportunities C Net Acc,1.012
03/12/2013,JPM Global Macro Opportunities C Net Acc,1.013
03/13/2013,JPM Global Macro Opportunities C Net Acc,1.014
03/14/2013,JPM Global Macro Opportunities C Net Acc,1.014
03/15/2013,JPM Global Macro Opportunities C Net Acc,1.014
03/16/2013,JPM Global Macro Opportunities C Net Acc,1.014
03/17/2013,JPM Global Macro Opportunities C Net Acc,1.014
03/18/2013,JPM Global Macro Opportunities C Net Acc,1.014
03/19/2013,JPM Global Macro Opportunities C Net Acc,1.017
03/20/2013,JPM Global Macro Opportunities C Net Acc,1.016
03/21/2013,JPM Global Macro Opportunities C Net Acc,1.018
03/22/2013,JPM Global Macro Opportunities C Net Acc,1.014
03/23/2013,JPM Global Macro Opportunities C Net Acc,1.014
03/24/2013,JPM Global Macro Opportunities C Net Acc,1.014
03/25/2013,JPM Global Macro Opportunities C Net Acc,1.016
03/26/2013,JPM Global Macro Opportunities C Net Acc,1.016
03/27/2013,JPM Global Macro Opportunities C Net Acc,1.018
03/28/2013,JPM Global Macro Opportunities C Net Acc,1.018
03/29/2013,JPM Global Macro Opportunities C Net Acc,1.018
