Date,Name,NAV
10/31/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.835893355
11/01/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.835893355
11/02/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.835893355
11/03/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.836848388
11/04/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.838440111
11/05/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.840588938
11/06/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.848308794
11/07/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.853004377
11/08/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.853004377
11/09/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.853004377
11/10/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.850378034
11/11/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.855471548
11/12/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.854038997
11/13/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.853402308
11/14/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.852686033
11/15/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.852686033
11/16/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.852686033
11/17/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.853879825
11/18/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.851890171
11/19/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.845125348
11/20/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.841941902
11/21/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.837246319
11/22/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.837246319
11/23/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.837246319
11/24/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.831914047
11/25/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.83247115
11/26/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.837803422
11/27/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.838758456
11/28/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.83867887
11/29/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.83867887
11/30/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.83867887
12/01/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.840111421
12/02/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.842260247
12/03/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.839315559
12/04/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.840827696
12/05/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.840668524
12/06/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.840668524
12/07/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.840668524
12/08/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.838917628
12/09/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.839952248
12/10/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.845841624
12/11/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.84592121
12/12/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.844647831
12/13/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.844647831
12/14/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.844647831
12/15/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.841384799
12/16/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.838201353
12/17/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.834142459
12/18/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.832232392
12/19/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.830481496
12/20/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.830481496
12/21/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.830481496
12/22/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.835097493
12/23/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.83660963
12/24/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.838997214
12/25/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.838997214
12/26/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.838997214
12/27/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.838997214
12/28/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.838997214
12/29/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.843692797
12/30/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.847831277
12/31/2008,Janus Henderson Mlt-Ast AbsRet I Acc,0.846000796
01/01/2009,Janus Henderson Mlt-Ast AbsRet I Acc,0.846000796
01/02/2009,Janus Henderson Mlt-Ast AbsRet I Acc,0.850139276
01/03/2009,Janus Henderson Mlt-Ast AbsRet I Acc,0.850139276
01/04/2009,Janus Henderson Mlt-Ast AbsRet I Acc,0.850139276
01/05/2009,Janus Henderson Mlt-Ast AbsRet I Acc,0.852288102
01/06/2009,Janus Henderson Mlt-Ast AbsRet I Acc,0.855471548
01/07/2009,Janus Henderson Mlt-Ast AbsRet I Acc,0.853322722
01/08/2009,Janus Henderson Mlt-Ast AbsRet I Acc,0.849343414
01/09/2009,Janus Henderson Mlt-Ast AbsRet I Acc,0.848786311
01/10/2009,Janus Henderson Mlt-Ast AbsRet I Acc,0.848786311
01/11/2009,Janus Henderson Mlt-Ast AbsRet I Acc,0.848786311
01/12/2009,Janus Henderson Mlt-Ast AbsRet I Acc,0.851890171
01/13/2009,Janus Henderson Mlt-Ast AbsRet I Acc,0.854914445
01/14/2009,Janus Henderson Mlt-Ast AbsRet I Acc,0.857938719
