Date,Name,NAV
12/01/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.45268929
12/02/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.446072408
12/03/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.430948105
12/04/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.402590037
12/05/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.402590037
12/06/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.402590037
12/07/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.212590982
12/08/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.245675395
12/09/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.217317327
12/10/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.191795066
12/11/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.15303904
12/12/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.15303904
12/13/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.15303904
12/14/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.115228282
12/15/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.086870215
12/16/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.101994517
12/17/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.032989886
12/18/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.103885055
12/19/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.103885055
12/20/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.103885055
12/21/2009,Jupiter Strategic AbsRt Bd I £ H Acc,9.050004726
12/22/2009,Jupiter Strategic AbsRt Bd I £ H Acc,8.93184611
12/23/2009,Jupiter Strategic AbsRt Bd I £ H Acc,8.864732016
12/24/2009,Jupiter Strategic AbsRt Bd I £ H Acc,8.912940732
12/25/2009,Jupiter Strategic AbsRt Bd I £ H Acc,8.912940732
12/26/2009,Jupiter Strategic AbsRt Bd I £ H Acc,8.912940732
12/27/2009,Jupiter Strategic AbsRt Bd I £ H Acc,8.912940732
12/28/2009,Jupiter Strategic AbsRt Bd I £ H Acc,8.912940732
12/29/2009,Jupiter Strategic AbsRt Bd I £ H Acc,8.912940732
12/30/2009,Jupiter Strategic AbsRt Bd I £ H Acc,8.840155024
12/31/2009,Jupiter Strategic AbsRt Bd I £ H Acc,8.932791379
01/01/2010,Jupiter Strategic AbsRt Bd I £ H Acc,8.932791379
01/02/2010,Jupiter Strategic AbsRt Bd I £ H Acc,8.932791379
