Date,Name,NAV
06/30/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1
07/01/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,0.9993
07/02/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,0.9993
07/03/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,0.9977
07/04/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,0.9977
07/05/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,0.9977
07/06/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,0.9988
07/07/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,0.9972
07/08/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0068
07/09/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0034
07/10/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0011
07/11/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0011
07/12/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0011
07/13/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,0.998
07/14/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0015
07/15/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.002
07/16/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0032
07/17/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0013
07/18/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0013
07/19/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0013
07/20/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0026
07/21/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0039
07/22/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0049
07/23/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0019
07/24/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0011
07/25/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0011
07/26/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0011
07/27/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0053
07/28/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0048
07/29/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0064
07/30/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0091
07/31/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0091
08/01/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0091
08/02/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0091
08/03/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0091
08/04/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0032
08/05/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0011
08/06/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0001
08/07/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,0.999
08/08/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,0.999
08/09/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,0.999
08/10/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,0.9995
08/11/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0032
08/12/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0025
08/13/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0039
08/14/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.007
08/15/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.007
08/16/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.007
08/17/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0057
08/18/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0056
08/19/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0041
08/20/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0081
08/21/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0112
08/22/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0112
08/23/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0112
08/24/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0134
08/25/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0128
08/26/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0121
08/27/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0112
08/28/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0109
08/29/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0109
08/30/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0109
08/31/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0109
09/01/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0088
09/02/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0179
09/03/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0047
09/04/2009,JupiterMerian Glb Eq AbsRt I £ H Acc,1.0035
