Date,Name,NAV
08/11/2006,L&G Global Technology Index I Acc,0.093,
08/12/2006,L&G Global Technology Index I Acc,0.093,
08/13/2006,L&G Global Technology Index I Acc,0.093,
08/14/2006,L&G Global Technology Index I Acc,0.0934,
08/15/2006,L&G Global Technology Index I Acc,0.0946,
08/16/2006,L&G Global Technology Index I Acc,0.0961,
08/17/2006,L&G Global Technology Index I Acc,0.0983,
08/18/2006,L&G Global Technology Index I Acc,0.0982,
08/19/2006,L&G Global Technology Index I Acc,0.0982,
08/20/2006,L&G Global Technology Index I Acc,0.0982,
08/21/2006,L&G Global Technology Index I Acc,0.0973,
08/22/2006,L&G Global Technology Index I Acc,0.0984,
08/23/2006,L&G Global Technology Index I Acc,0.0979,
08/24/2006,L&G Global Technology Index I Acc,0.0973,
08/25/2006,L&G Global Technology Index I Acc,0.0981,
08/26/2006,L&G Global Technology Index I Acc,0.0981,
08/27/2006,L&G Global Technology Index I Acc,0.0981,
08/28/2006,L&G Global Technology Index I Acc,0.0981,
08/29/2006,L&G Global Technology Index I Acc,0.0982,
08/30/2006,L&G Global Technology Index I Acc,0.0986,
08/31/2006,L&G Global Technology Index I Acc,0.0993,
09/01/2006,L&G Global Technology Index I Acc,0.0996,
09/02/2006,L&G Global Technology Index I Acc,0.0996,
09/03/2006,L&G Global Technology Index I Acc,0.0996,
09/04/2006,L&G Global Technology Index I Acc,0.0998,
09/05/2006,L&G Global Technology Index I Acc,0.0998,
09/06/2006,L&G Global Technology Index I Acc,0.1005,
09/07/2006,L&G Global Technology Index I Acc,0.0992,
09/08/2006,L&G Global Technology Index I Acc,0.09997,
09/09/2006,L&G Global Technology Index I Acc,0.09997,
09/10/2006,L&G Global Technology Index I Acc,0.09997,
09/11/2006,L&G Global Technology Index I Acc,0.1002,
09/12/2006,L&G Global Technology Index I Acc,0.101,
09/13/2006,L&G Global Technology Index I Acc,0.1022,
09/14/2006,L&G Global Technology Index I Acc,0.1017,
09/15/2006,L&G Global Technology Index I Acc,0.1033,
09/16/2006,L&G Global Technology Index I Acc,0.1033,
09/17/2006,L&G Global Technology Index I Acc,0.1033,
09/18/2006,L&G Global Technology Index I Acc,0.1033,
09/19/2006,L&G Global Technology Index I Acc,0.1026,
09/20/2006,L&G Global Technology Index I Acc,0.1034,
09/21/2006,L&G Global Technology Index I Acc,0.103,
09/22/2006,L&G Global Technology Index I Acc,0.1014,
09/23/2006,L&G Global Technology Index I Acc,0.1014,
09/24/2006,L&G Global Technology Index I Acc,0.1014,
09/25/2006,L&G Global Technology Index I Acc,0.1016,
09/26/2006,L&G Global Technology Index I Acc,0.1028,
09/27/2006,L&G Global Technology Index I Acc,0.1043,
09/28/2006,L&G Global Technology Index I Acc,0.1046,
09/29/2006,L&G Global Technology Index I Acc,0.1055,
09/30/2006,L&G Global Technology Index I Acc,0.1055,
10/01/2006,L&G Global Technology Index I Acc,0.1055,
10/02/2006,L&G Global Technology Index I Acc,0.1042,
10/03/2006,L&G Global Technology Index I Acc,0.103,
10/04/2006,L&G Global Technology Index I Acc,0.1035,
10/05/2006,L&G Global Technology Index I Acc,0.1061,
10/06/2006,L&G Global Technology Index I Acc,0.1056,
10/07/2006,L&G Global Technology Index I Acc,0.1056,
10/08/2006,L&G Global Technology Index I Acc,0.1056,
10/09/2006,L&G Global Technology Index I Acc,0.1062,
10/10/2006,L&G Global Technology Index I Acc,0.1071,
10/11/2006,L&G Global Technology Index I Acc,0.107,
10/12/2006,L&G Global Technology Index I Acc,0.1075,
10/13/2006,L&G Global Technology Index I Acc,0.1089,
10/14/2006,L&G Global Technology Index I Acc,0.1089,
10/15/2006,L&G Global Technology Index I Acc,0.1089,
10/16/2006,L&G Global Technology Index I Acc,0.1094,
10/17/2006,L&G Global Technology Index I Acc,0.1077,
10/18/2006,L&G Global Technology Index I Acc,0.1082,
10/19/2006,L&G Global Technology Index I Acc,0.1069,
10/20/2006,L&G Global Technology Index I Acc,0.1066,
10/21/2006,L&G Global Technology Index I Acc,0.1066,
10/22/2006,L&G Global Technology Index I Acc,0.1066,
10/23/2006,L&G Global Technology Index I Acc,0.1077,
10/24/2006,L&G Global Technology Index I Acc,0.108,
10/25/2006,L&G Global Technology Index I Acc,0.1075,
10/26/2006,L&G Global Technology Index I Acc,0.1074,
10/27/2006,L&G Global Technology Index I Acc,0.1066,
10/28/2006,L&G Global Technology Index I Acc,0.1066,
10/29/2006,L&G Global Technology Index I Acc,0.1066,
10/30/2006,L&G Global Technology Index I Acc,0.1049,
10/31/2006,L&G Global Technology Index I Acc,0.1062,
11/01/2006,L&G Global Technology Index I Acc,0.106,
11/02/2006,L&G Global Technology Index I Acc,0.1048,
11/03/2006,L&G Global Technology Index I Acc,0.1056,
11/04/2006,L&G Global Technology Index I Acc,0.1056,
11/05/2006,L&G Global Technology Index I Acc,0.1056,
11/06/2006,L&G Global Technology Index I Acc,0.106,
11/07/2006,L&G Global Technology Index I Acc,0.1062,
11/08/2006,L&G Global Technology Index I Acc,0.1065,
11/09/2006,L&G Global Technology Index I Acc,0.1076,
11/10/2006,L&G Global Technology Index I Acc,0.1065,
11/11/2006,L&G Global Technology Index I Acc,0.1065,
11/12/2006,L&G Global Technology Index I Acc,0.1065,
11/13/2006,L&G Global Technology Index I Acc,0.1078,
11/14/2006,L&G Global Technology Index I Acc,0.1087,
11/15/2006,L&G Global Technology Index I Acc,0.1109,
11/16/2006,L&G Global Technology Index I Acc,0.1105,
11/17/2006,L&G Global Technology Index I Acc,0.1105,
11/18/2006,L&G Global Technology Index I Acc,0.1105,
11/19/2006,L&G Global Technology Index I Acc,0.1105,
11/20/2006,L&G Global Technology Index I Acc,0.11,
11/21/2006,L&G Global Technology Index I Acc,0.1105,
11/22/2006,L&G Global Technology Index I Acc,0.1105,
11/23/2006,L&G Global Technology Index I Acc,0.1106,
11/24/2006,L&G Global Technology Index I Acc,0.1092,
11/25/2006,L&G Global Technology Index I Acc,0.1092,
11/26/2006,L&G Global Technology Index I Acc,0.1092,
11/27/2006,L&G Global Technology Index I Acc,0.1085,
11/28/2006,L&G Global Technology Index I Acc,0.106,
11/29/2006,L&G Global Technology Index I Acc,0.1069,
11/30/2006,L&G Global Technology Index I Acc,0.1068,
12/01/2006,L&G Global Technology Index I Acc,0.1056,
12/02/2006,L&G Global Technology Index I Acc,0.1056,
12/03/2006,L&G Global Technology Index I Acc,0.1056,
12/04/2006,L&G Global Technology Index I Acc,0.1057,
12/05/2006,L&G Global Technology Index I Acc,0.1068,
12/06/2006,L&G Global Technology Index I Acc,0.1068,
12/07/2006,L&G Global Technology Index I Acc,0.1072,
12/08/2006,L&G Global Technology Index I Acc,0.1055,
12/09/2006,L&G Global Technology Index I Acc,0.1055,
12/10/2006,L&G Global Technology Index I Acc,0.1055,
12/11/2006,L&G Global Technology Index I Acc,0.1071,
12/12/2006,L&G Global Technology Index I Acc,0.1061,
12/13/2006,L&G Global Technology Index I Acc,0.1062,
12/14/2006,L&G Global Technology Index I Acc,0.107,
12/15/2006,L&G Global Technology Index I Acc,0.1077,
12/16/2006,L&G Global Technology Index I Acc,0.1077,
12/17/2006,L&G Global Technology Index I Acc,0.1077,
12/18/2006,L&G Global Technology Index I Acc,0.1088,
12/19/2006,L&G Global Technology Index I Acc,0.1059,
12/20/2006,L&G Global Technology Index I Acc,0.1067,
12/21/2006,L&G Global Technology Index I Acc,0.1068,
12/22/2006,L&G Global Technology Index I Acc,0.1059,
12/23/2006,L&G Global Technology Index I Acc,0.1059,
12/24/2006,L&G Global Technology Index I Acc,0.1059,
12/25/2006,L&G Global Technology Index I Acc,0.1059,
12/26/2006,L&G Global Technology Index I Acc,0.1059,
12/27/2006,L&G Global Technology Index I Acc,0.1067,
12/28/2006,L&G Global Technology Index I Acc,0.1064,
12/29/2006,L&G Global Technology Index I Acc,0.1072,
12/30/2006,L&G Global Technology Index I Acc,0.1072,
12/31/2006,L&G Global Technology Index I Acc,0.1072,
01/01/2007,L&G Global Technology Index I Acc,0.1072,
01/02/2007,L&G Global Technology Index I Acc,0.1062,
01/03/2007,L&G Global Technology Index I Acc,0.1077,
01/04/2007,L&G Global Technology Index I Acc,0.1079,
01/05/2007,L&G Global Technology Index I Acc,0.1087,
01/06/2007,L&G Global Technology Index I Acc,0.1087,
01/07/2007,L&G Global Technology Index I Acc,0.1087,
01/08/2007,L&G Global Technology Index I Acc,0.1089,
01/09/2007,L&G Global Technology Index I Acc,0.1086,
01/10/2007,L&G Global Technology Index I Acc,0.1086,
01/11/2007,L&G Global Technology Index I Acc,0.1093,
01/12/2007,L&G Global Technology Index I Acc,0.1092,
01/13/2007,L&G Global Technology Index I Acc,0.1092,
01/14/2007,L&G Global Technology Index I Acc,0.1092,
01/15/2007,L&G Global Technology Index I Acc,0.1095,
01/16/2007,L&G Global Technology Index I Acc,0.1094,
01/17/2007,L&G Global Technology Index I Acc,0.1085,
01/18/2007,L&G Global Technology Index I Acc,0.1069,
01/19/2007,L&G Global Technology Index I Acc,0.1055,
01/20/2007,L&G Global Technology Index I Acc,0.1055,
01/21/2007,L&G Global Technology Index I Acc,0.1055,
01/22/2007,L&G Global Technology Index I Acc,0.1053,
01/23/2007,L&G Global Technology Index I Acc,0.1045,
01/24/2007,L&G Global Technology Index I Acc,0.1059,
01/25/2007,L&G Global Technology Index I Acc,0.1071,
01/26/2007,L&G Global Technology Index I Acc,0.1062,
01/27/2007,L&G Global Technology Index I Acc,0.1062,
01/28/2007,L&G Global Technology Index I Acc,0.1062,
01/29/2007,L&G Global Technology Index I Acc,0.1062,
01/30/2007,L&G Global Technology Index I Acc,0.106,
01/31/2007,L&G Global Technology Index I Acc,0.1061,
02/01/2007,L&G Global Technology Index I Acc,0.1064,
