Date,Name,NAV
12/31/2001,Liontrust Global Alpha C Acc GBP,1,
01/01/2002,Liontrust Global Alpha C Acc GBP,1,
01/02/2002,Liontrust Global Alpha C Acc GBP,0.9998,
01/03/2002,Liontrust Global Alpha C Acc GBP,0.9998,
01/04/2002,Liontrust Global Alpha C Acc GBP,0.9998,
01/05/2002,Liontrust Global Alpha C Acc GBP,0.9998,
01/06/2002,Liontrust Global Alpha C Acc GBP,0.9998,
01/07/2002,Liontrust Global Alpha C Acc GBP,0.9996,
01/08/2002,Liontrust Global Alpha C Acc GBP,0.9996,
01/09/2002,Liontrust Global Alpha C Acc GBP,0.9999,
01/10/2002,Liontrust Global Alpha C Acc GBP,0.9999,
01/11/2002,Liontrust Global Alpha C Acc GBP,1,
01/12/2002,Liontrust Global Alpha C Acc GBP,1,
01/13/2002,Liontrust Global Alpha C Acc GBP,1,
01/14/2002,Liontrust Global Alpha C Acc GBP,0.9999,
01/15/2002,Liontrust Global Alpha C Acc GBP,1.0001,
01/16/2002,Liontrust Global Alpha C Acc GBP,1.0001,
01/17/2002,Liontrust Global Alpha C Acc GBP,1.0001,
01/18/2002,Liontrust Global Alpha C Acc GBP,0.9985,
01/19/2002,Liontrust Global Alpha C Acc GBP,0.9985,
01/20/2002,Liontrust Global Alpha C Acc GBP,0.9985,
01/21/2002,Liontrust Global Alpha C Acc GBP,0.9982,
01/22/2002,Liontrust Global Alpha C Acc GBP,0.9998,
01/23/2002,Liontrust Global Alpha C Acc GBP,0.9989,
01/24/2002,Liontrust Global Alpha C Acc GBP,1.0013,
01/25/2002,Liontrust Global Alpha C Acc GBP,0.9989,
01/26/2002,Liontrust Global Alpha C Acc GBP,0.9989,
01/27/2002,Liontrust Global Alpha C Acc GBP,0.9989,
01/28/2002,Liontrust Global Alpha C Acc GBP,0.999,
01/29/2002,Liontrust Global Alpha C Acc GBP,0.9995,
01/30/2002,Liontrust Global Alpha C Acc GBP,0.9972,
01/31/2002,Liontrust Global Alpha C Acc GBP,0.9986,
02/01/2002,Liontrust Global Alpha C Acc GBP,1.0039,
02/02/2002,Liontrust Global Alpha C Acc GBP,1.0039,
02/03/2002,Liontrust Global Alpha C Acc GBP,1.0039,
02/04/2002,Liontrust Global Alpha C Acc GBP,1.0012,
02/05/2002,Liontrust Global Alpha C Acc GBP,0.9993,
02/06/2002,Liontrust Global Alpha C Acc GBP,0.9991,
02/07/2002,Liontrust Global Alpha C Acc GBP,0.9981,
02/08/2002,Liontrust Global Alpha C Acc GBP,0.9984,
02/09/2002,Liontrust Global Alpha C Acc GBP,0.9984,
02/10/2002,Liontrust Global Alpha C Acc GBP,0.9984,
02/11/2002,Liontrust Global Alpha C Acc GBP,0.9994,
02/12/2002,Liontrust Global Alpha C Acc GBP,1.0018,
02/13/2002,Liontrust Global Alpha C Acc GBP,1.0041,
02/14/2002,Liontrust Global Alpha C Acc GBP,1.0095,
02/15/2002,Liontrust Global Alpha C Acc GBP,1.0083,
02/16/2002,Liontrust Global Alpha C Acc GBP,1.0083,
02/17/2002,Liontrust Global Alpha C Acc GBP,1.0083,
02/18/2002,Liontrust Global Alpha C Acc GBP,1.0061,
02/19/2002,Liontrust Global Alpha C Acc GBP,1.0039,
02/20/2002,Liontrust Global Alpha C Acc GBP,1.0014,
02/21/2002,Liontrust Global Alpha C Acc GBP,1.0032,
02/22/2002,Liontrust Global Alpha C Acc GBP,1.0018,
02/23/2002,Liontrust Global Alpha C Acc GBP,1.0018,
02/24/2002,Liontrust Global Alpha C Acc GBP,1.0018,
02/25/2002,Liontrust Global Alpha C Acc GBP,1.0048,
02/26/2002,Liontrust Global Alpha C Acc GBP,1.0078,
02/27/2002,Liontrust Global Alpha C Acc GBP,1.0064,
02/28/2002,Liontrust Global Alpha C Acc GBP,1.0033,
03/01/2002,Liontrust Global Alpha C Acc GBP,1.0078,
03/02/2002,Liontrust Global Alpha C Acc GBP,1.0078,
03/03/2002,Liontrust Global Alpha C Acc GBP,1.0078,
03/04/2002,Liontrust Global Alpha C Acc GBP,1.0098,
03/05/2002,Liontrust Global Alpha C Acc GBP,1.0083,
03/06/2002,Liontrust Global Alpha C Acc GBP,1.0067,
03/07/2002,Liontrust Global Alpha C Acc GBP,1.009,
03/08/2002,Liontrust Global Alpha C Acc GBP,1.0119,
03/09/2002,Liontrust Global Alpha C Acc GBP,1.0119,
03/10/2002,Liontrust Global Alpha C Acc GBP,1.0119,
03/11/2002,Liontrust Global Alpha C Acc GBP,1.0136,
03/12/2002,Liontrust Global Alpha C Acc GBP,1.0093,
03/13/2002,Liontrust Global Alpha C Acc GBP,1.015,
03/14/2002,Liontrust Global Alpha C Acc GBP,1.0148,
03/15/2002,Liontrust Global Alpha C Acc GBP,1.0158,
03/16/2002,Liontrust Global Alpha C Acc GBP,1.0158,
03/17/2002,Liontrust Global Alpha C Acc GBP,1.0158,
03/18/2002,Liontrust Global Alpha C Acc GBP,1.0209,
03/19/2002,Liontrust Global Alpha C Acc GBP,1.022,
03/20/2002,Liontrust Global Alpha C Acc GBP,1.0227,
03/21/2002,Liontrust Global Alpha C Acc GBP,1.0195,
03/22/2002,Liontrust Global Alpha C Acc GBP,1.0199,
03/23/2002,Liontrust Global Alpha C Acc GBP,1.0199,
03/24/2002,Liontrust Global Alpha C Acc GBP,1.0199,
03/25/2002,Liontrust Global Alpha C Acc GBP,1.0221,
03/26/2002,Liontrust Global Alpha C Acc GBP,1.0173,
03/27/2002,Liontrust Global Alpha C Acc GBP,1.0207,
03/28/2002,Liontrust Global Alpha C Acc GBP,1.0293,
03/29/2002,Liontrust Global Alpha C Acc GBP,1.0293,
03/30/2002,Liontrust Global Alpha C Acc GBP,1.0293,
03/31/2002,Liontrust Global Alpha C Acc GBP,1.0293,
04/01/2002,Liontrust Global Alpha C Acc GBP,1.0293,
04/02/2002,Liontrust Global Alpha C Acc GBP,1.0323,
04/03/2002,Liontrust Global Alpha C Acc GBP,1.0319,
04/04/2002,Liontrust Global Alpha C Acc GBP,1.0284,
04/05/2002,Liontrust Global Alpha C Acc GBP,1.0291,
04/06/2002,Liontrust Global Alpha C Acc GBP,1.0291,
04/07/2002,Liontrust Global Alpha C Acc GBP,1.0291,
04/08/2002,Liontrust Global Alpha C Acc GBP,1.0282,
04/09/2002,Liontrust Global Alpha C Acc GBP,1.0301,
04/10/2002,Liontrust Global Alpha C Acc GBP,1.035,
04/11/2002,Liontrust Global Alpha C Acc GBP,1.0351,
04/12/2002,Liontrust Global Alpha C Acc GBP,1.0344,
04/13/2002,Liontrust Global Alpha C Acc GBP,1.0344,
04/14/2002,Liontrust Global Alpha C Acc GBP,1.0344,
04/15/2002,Liontrust Global Alpha C Acc GBP,1.0345,
04/16/2002,Liontrust Global Alpha C Acc GBP,1.0349,
04/17/2002,Liontrust Global Alpha C Acc GBP,1.0374,
04/18/2002,Liontrust Global Alpha C Acc GBP,1.0337,
04/19/2002,Liontrust Global Alpha C Acc GBP,1.0338,
04/20/2002,Liontrust Global Alpha C Acc GBP,1.0338,
04/21/2002,Liontrust Global Alpha C Acc GBP,1.0338,
04/22/2002,Liontrust Global Alpha C Acc GBP,1.0356,
04/23/2002,Liontrust Global Alpha C Acc GBP,1.0377,
04/24/2002,Liontrust Global Alpha C Acc GBP,1.0426,
04/25/2002,Liontrust Global Alpha C Acc GBP,1.0367,
04/26/2002,Liontrust Global Alpha C Acc GBP,1.0362,
04/27/2002,Liontrust Global Alpha C Acc GBP,1.0362,
