Date,Name,NAV
10/20/2014,MI Chelverton UK Equity Growth B Acc,1,
10/21/2014,MI Chelverton UK Equity Growth B Acc,0.998,
10/22/2014,MI Chelverton UK Equity Growth B Acc,1.0002,
10/23/2014,MI Chelverton UK Equity Growth B Acc,0.9949,
10/24/2014,MI Chelverton UK Equity Growth B Acc,1.0034,
10/25/2014,MI Chelverton UK Equity Growth B Acc,1.0034,
10/26/2014,MI Chelverton UK Equity Growth B Acc,1.0034,
10/27/2014,MI Chelverton UK Equity Growth B Acc,1.0015550113,
10/28/2014,MI Chelverton UK Equity Growth B Acc,1.0005961451,
10/29/2014,MI Chelverton UK Equity Growth B Acc,1.0032833786,
10/30/2014,MI Chelverton UK Equity Growth B Acc,1.0028093902,
10/31/2014,MI Chelverton UK Equity Growth B Acc,1.0135840581,
11/01/2014,MI Chelverton UK Equity Growth B Acc,1.0135840581,
11/02/2014,MI Chelverton UK Equity Growth B Acc,1.0135840581,
11/03/2014,MI Chelverton UK Equity Growth B Acc,1.0171964125,
11/04/2014,MI Chelverton UK Equity Growth B Acc,1.0160371925,
11/05/2014,MI Chelverton UK Equity Growth B Acc,1.0167703097,
11/06/2014,MI Chelverton UK Equity Growth B Acc,1.0162332901,
11/07/2014,MI Chelverton UK Equity Growth B Acc,1.0240080897,
11/08/2014,MI Chelverton UK Equity Growth B Acc,1.0240080897,
11/09/2014,MI Chelverton UK Equity Growth B Acc,1.0240080897,
11/10/2014,MI Chelverton UK Equity Growth B Acc,1.0263703006,
11/11/2014,MI Chelverton UK Equity Growth B Acc,1.0285162621,
11/12/2014,MI Chelverton UK Equity Growth B Acc,1.0275088101,
11/13/2014,MI Chelverton UK Equity Growth B Acc,1.0281710895,
11/14/2014,MI Chelverton UK Equity Growth B Acc,1.0265537746,
11/15/2014,MI Chelverton UK Equity Growth B Acc,1.0265537746,
11/16/2014,MI Chelverton UK Equity Growth B Acc,1.0265537746,
11/17/2014,MI Chelverton UK Equity Growth B Acc,1.0206642896,
11/18/2014,MI Chelverton UK Equity Growth B Acc,1.0208351486,
11/19/2014,MI Chelverton UK Equity Growth B Acc,1.0171,
11/20/2014,MI Chelverton UK Equity Growth B Acc,1.0149687961,
11/21/2014,MI Chelverton UK Equity Growth B Acc,1.021038417,
11/22/2014,MI Chelverton UK Equity Growth B Acc,1.021038417,
11/23/2014,MI Chelverton UK Equity Growth B Acc,1.021038417,
11/24/2014,MI Chelverton UK Equity Growth B Acc,1.0239923789,
11/25/2014,MI Chelverton UK Equity Growth B Acc,1.0278330221,
11/26/2014,MI Chelverton UK Equity Growth B Acc,1.0280423315,
11/27/2014,MI Chelverton UK Equity Growth B Acc,1.0323546902,
11/28/2014,MI Chelverton UK Equity Growth B Acc,1.0292499333,
11/29/2014,MI Chelverton UK Equity Growth B Acc,1.0292499333,
11/30/2014,MI Chelverton UK Equity Growth B Acc,1.0292499333,
12/01/2014,MI Chelverton UK Equity Growth B Acc,1.0261018449,
12/02/2014,MI Chelverton UK Equity Growth B Acc,1.0302635316,
12/03/2014,MI Chelverton UK Equity Growth B Acc,1.0283361184,
12/04/2014,MI Chelverton UK Equity Growth B Acc,1.0328887777,
12/05/2014,MI Chelverton UK Equity Growth B Acc,1.0340655258,
12/06/2014,MI Chelverton UK Equity Growth B Acc,1.0340655258,
12/07/2014,MI Chelverton UK Equity Growth B Acc,1.0340655258,
12/08/2014,MI Chelverton UK Equity Growth B Acc,1.0355261167,
12/09/2014,MI Chelverton UK Equity Growth B Acc,1.0272959253,
12/10/2014,MI Chelverton UK Equity Growth B Acc,1.0257735872,
12/11/2014,MI Chelverton UK Equity Growth B Acc,1.0159895891,
12/12/2014,MI Chelverton UK Equity Growth B Acc,1.0128108429,
12/13/2014,MI Chelverton UK Equity Growth B Acc,1.0128108429,
