Date,Name,NAV
11/01/1999,Merian Global Strategic Bond I GBP Acc,0.501706751
11/02/1999,Merian Global Strategic Bond I GBP Acc,0.501706751
11/03/1999,Merian Global Strategic Bond I GBP Acc,0.501706751
11/04/1999,Merian Global Strategic Bond I GBP Acc,0.501706751
11/05/1999,Merian Global Strategic Bond I GBP Acc,0.501706751
11/06/1999,Merian Global Strategic Bond I GBP Acc,0.501706751
11/07/1999,Merian Global Strategic Bond I GBP Acc,0.501706751
11/08/1999,Merian Global Strategic Bond I GBP Acc,0.501706751
11/09/1999,Merian Global Strategic Bond I GBP Acc,0.501706751
11/10/1999,Merian Global Strategic Bond I GBP Acc,0.501706751
11/11/1999,Merian Global Strategic Bond I GBP Acc,0.501706751
11/12/1999,Merian Global Strategic Bond I GBP Acc,0.501706751
11/13/1999,Merian Global Strategic Bond I GBP Acc,0.501706751
11/14/1999,Merian Global Strategic Bond I GBP Acc,0.501706751
11/15/1999,Merian Global Strategic Bond I GBP Acc,0.501706751
11/16/1999,Merian Global Strategic Bond I GBP Acc,0.501706751
11/17/1999,Merian Global Strategic Bond I GBP Acc,0.477147679
11/18/1999,Merian Global Strategic Bond I GBP Acc,0.47539346
11/19/1999,Merian Global Strategic Bond I GBP Acc,0.474340928
11/20/1999,Merian Global Strategic Bond I GBP Acc,0.474340928
11/21/1999,Merian Global Strategic Bond I GBP Acc,0.474340928
11/22/1999,Merian Global Strategic Bond I GBP Acc,0.473288397
11/23/1999,Merian Global Strategic Bond I GBP Acc,0.471534177
11/24/1999,Merian Global Strategic Bond I GBP Acc,0.471534177
11/25/1999,Merian Global Strategic Bond I GBP Acc,0.470481646
11/26/1999,Merian Global Strategic Bond I GBP Acc,0.469429114
11/27/1999,Merian Global Strategic Bond I GBP Acc,0.469429114
11/28/1999,Merian Global Strategic Bond I GBP Acc,0.469429114
11/29/1999,Merian Global Strategic Bond I GBP Acc,0.470130802
11/30/1999,Merian Global Strategic Bond I GBP Acc,0.470481646
12/01/1999,Merian Global Strategic Bond I GBP Acc,0.470832489
12/02/1999,Merian Global Strategic Bond I GBP Acc,0.471183333
12/03/1999,Merian Global Strategic Bond I GBP Acc,0.469779958
12/04/1999,Merian Global Strategic Bond I GBP Acc,0.469779958
12/05/1999,Merian Global Strategic Bond I GBP Acc,0.469779958
12/06/1999,Merian Global Strategic Bond I GBP Acc,0.469429114
12/07/1999,Merian Global Strategic Bond I GBP Acc,0.46907827
12/08/1999,Merian Global Strategic Bond I GBP Acc,0.471183333
12/09/1999,Merian Global Strategic Bond I GBP Acc,0.471183333
12/10/1999,Merian Global Strategic Bond I GBP Acc,0.471885021
12/11/1999,Merian Global Strategic Bond I GBP Acc,0.471885021
12/12/1999,Merian Global Strategic Bond I GBP Acc,0.471885021
12/13/1999,Merian Global Strategic Bond I GBP Acc,0.474340928
12/14/1999,Merian Global Strategic Bond I GBP Acc,0.473990084
12/15/1999,Merian Global Strategic Bond I GBP Acc,0.473288397
12/16/1999,Merian Global Strategic Bond I GBP Acc,0.472586709
12/17/1999,Merian Global Strategic Bond I GBP Acc,0.471885021
12/18/1999,Merian Global Strategic Bond I GBP Acc,0.471885021
12/19/1999,Merian Global Strategic Bond I GBP Acc,0.471885021
12/20/1999,Merian Global Strategic Bond I GBP Acc,0.469779958
12/21/1999,Merian Global Strategic Bond I GBP Acc,0.469779958
12/22/1999,Merian Global Strategic Bond I GBP Acc,0.469779958
12/23/1999,Merian Global Strategic Bond I GBP Acc,0.468376582
12/24/1999,Merian Global Strategic Bond I GBP Acc,0.468025738
12/25/1999,Merian Global Strategic Bond I GBP Acc,0.468025738
12/26/1999,Merian Global Strategic Bond I GBP Acc,0.468025738
12/27/1999,Merian Global Strategic Bond I GBP Acc,0.468025738
12/28/1999,Merian Global Strategic Bond I GBP Acc,0.468025738
12/29/1999,Merian Global Strategic Bond I GBP Acc,0.466973207
12/30/1999,Merian Global Strategic Bond I GBP Acc,0.466973207
12/31/1999,Merian Global Strategic Bond I GBP Acc,0.466973207
01/01/2000,Merian Global Strategic Bond I GBP Acc,0.466973207
01/02/2000,Merian Global Strategic Bond I GBP Acc,0.466973207
01/03/2000,Merian Global Strategic Bond I GBP Acc,0.466973207
01/04/2000,Merian Global Strategic Bond I GBP Acc,0.466973207
01/05/2000,Merian Global Strategic Bond I GBP Acc,0.462061392
01/06/2000,Merian Global Strategic Bond I GBP Acc,0.459956329
01/07/2000,Merian Global Strategic Bond I GBP Acc,0.459605485
01/08/2000,Merian Global Strategic Bond I GBP Acc,0.459605485
01/09/2000,Merian Global Strategic Bond I GBP Acc,0.459605485
01/10/2000,Merian Global Strategic Bond I GBP Acc,0.461359705
01/11/2000,Merian Global Strategic Bond I GBP Acc,0.463113924
01/12/2000,Merian Global Strategic Bond I GBP Acc,0.461359705
01/13/2000,Merian Global Strategic Bond I GBP Acc,0.460307173
01/14/2000,Merian Global Strategic Bond I GBP Acc,0.459956329
01/15/2000,Merian Global Strategic Bond I GBP Acc,0.459956329
01/16/2000,Merian Global Strategic Bond I GBP Acc,0.459956329
01/17/2000,Merian Global Strategic Bond I GBP Acc,0.460307173
01/18/2000,Merian Global Strategic Bond I GBP Acc,0.459254641
01/19/2000,Merian Global Strategic Bond I GBP Acc,0.460307173
01/20/2000,Merian Global Strategic Bond I GBP Acc,0.456097046
01/21/2000,Merian Global Strategic Bond I GBP Acc,0.455044515
01/22/2000,Merian Global Strategic Bond I GBP Acc,0.455044515
01/23/2000,Merian Global Strategic Bond I GBP Acc,0.455044515
01/24/2000,Merian Global Strategic Bond I GBP Acc,0.454342827
01/25/2000,Merian Global Strategic Bond I GBP Acc,0.455746203
01/26/2000,Merian Global Strategic Bond I GBP Acc,0.457149578
01/27/2000,Merian Global Strategic Bond I GBP Acc,0.45820211
01/28/2000,Merian Global Strategic Bond I GBP Acc,0.45644789
01/29/2000,Merian Global Strategic Bond I GBP Acc,0.45644789
01/30/2000,Merian Global Strategic Bond I GBP Acc,0.45644789
01/31/2000,Merian Global Strategic Bond I GBP Acc,0.455044515
02/01/2000,Merian Global Strategic Bond I GBP Acc,0.456097046
02/02/2000,Merian Global Strategic Bond I GBP Acc,0.459605485
02/03/2000,Merian Global Strategic Bond I GBP Acc,0.460307173
02/04/2000,Merian Global Strategic Bond I GBP Acc,0.459956329
02/05/2000,Merian Global Strategic Bond I GBP Acc,0.459956329
02/06/2000,Merian Global Strategic Bond I GBP Acc,0.459956329
02/07/2000,Merian Global Strategic Bond I GBP Acc,0.457851266
02/08/2000,Merian Global Strategic Bond I GBP Acc,0.456798734
02/09/2000,Merian Global Strategic Bond I GBP Acc,0.455746203
02/10/2000,Merian Global Strategic Bond I GBP Acc,0.459254641
02/11/2000,Merian Global Strategic Bond I GBP Acc,0.458903797
02/12/2000,Merian Global Strategic Bond I GBP Acc,0.458903797
02/13/2000,Merian Global Strategic Bond I GBP Acc,0.458903797
02/14/2000,Merian Global Strategic Bond I GBP Acc,0.459956329
02/15/2000,Merian Global Strategic Bond I GBP Acc,0.461359705
02/16/2000,Merian Global Strategic Bond I GBP Acc,0.459956329
02/17/2000,Merian Global Strategic Bond I GBP Acc,0.458552954
02/18/2000,Merian Global Strategic Bond I GBP Acc,0.458552954
02/19/2000,Merian Global Strategic Bond I GBP Acc,0.458552954
02/20/2000,Merian Global Strategic Bond I GBP Acc,0.458552954
02/21/2000,Merian Global Strategic Bond I GBP Acc,0.460307173
02/22/2000,Merian Global Strategic Bond I GBP Acc,0.461710549
02/23/2000,Merian Global Strategic Bond I GBP Acc,0.463815612
02/24/2000,Merian Global Strategic Bond I GBP Acc,0.464166456
02/25/2000,Merian Global Strategic Bond I GBP Acc,0.465569831
02/26/2000,Merian Global Strategic Bond I GBP Acc,0.465569831
02/27/2000,Merian Global Strategic Bond I GBP Acc,0.465569831
02/28/2000,Merian Global Strategic Bond I GBP Acc,0.465218987
02/29/2000,Merian Global Strategic Bond I GBP Acc,0.465218987
03/01/2000,Merian Global Strategic Bond I GBP Acc,0.464868143
03/02/2000,Merian Global Strategic Bond I GBP Acc,0.465218987
03/03/2000,Merian Global Strategic Bond I GBP Acc,0.465218987
03/04/2000,Merian Global Strategic Bond I GBP Acc,0.465218987
03/05/2000,Merian Global Strategic Bond I GBP Acc,0.465218987
03/06/2000,Merian Global Strategic Bond I GBP Acc,0.466271519
03/07/2000,Merian Global Strategic Bond I GBP Acc,0.467324051
03/08/2000,Merian Global Strategic Bond I GBP Acc,0.467674895
03/09/2000,Merian Global Strategic Bond I GBP Acc,0.468025738
03/10/2000,Merian Global Strategic Bond I GBP Acc,0.468727426
03/11/2000,Merian Global Strategic Bond I GBP Acc,0.468727426
03/12/2000,Merian Global Strategic Bond I GBP Acc,0.468727426
03/13/2000,Merian Global Strategic Bond I GBP Acc,0.468727426
03/14/2000,Merian Global Strategic Bond I GBP Acc,0.46907827
03/15/2000,Merian Global Strategic Bond I GBP Acc,0.46907827
03/16/2000,Merian Global Strategic Bond I GBP Acc,0.470130802
03/17/2000,Merian Global Strategic Bond I GBP Acc,0.471885021
03/18/2000,Merian Global Strategic Bond I GBP Acc,0.471885021
03/19/2000,Merian Global Strategic Bond I GBP Acc,0.471885021
03/20/2000,Merian Global Strategic Bond I GBP Acc,0.474340928
03/21/2000,Merian Global Strategic Bond I GBP Acc,0.473639241
03/22/2000,Merian Global Strategic Bond I GBP Acc,0.473288397
03/23/2000,Merian Global Strategic Bond I GBP Acc,0.471534177
03/24/2000,Merian Global Strategic Bond I GBP Acc,0.471885021
03/25/2000,Merian Global Strategic Bond I GBP Acc,0.471885021
03/26/2000,Merian Global Strategic Bond I GBP Acc,0.471885021
03/27/2000,Merian Global Strategic Bond I GBP Acc,0.470130802
03/28/2000,Merian Global Strategic Bond I GBP Acc,0.46907827
03/29/2000,Merian Global Strategic Bond I GBP Acc,0.468376582
03/30/2000,Merian Global Strategic Bond I GBP Acc,0.467674895
03/31/2000,Merian Global Strategic Bond I GBP Acc,0.467674895
04/01/2000,Merian Global Strategic Bond I GBP Acc,0.467674895
04/02/2000,Merian Global Strategic Bond I GBP Acc,0.467674895
04/03/2000,Merian Global Strategic Bond I GBP Acc,0.46907827
04/04/2000,Merian Global Strategic Bond I GBP Acc,0.469429114
04/05/2000,Merian Global Strategic Bond I GBP Acc,0.472235865
04/06/2000,Merian Global Strategic Bond I GBP Acc,0.473288397
04/07/2000,Merian Global Strategic Bond I GBP Acc,0.472586709
04/08/2000,Merian Global Strategic Bond I GBP Acc,0.472586709
04/09/2000,Merian Global Strategic Bond I GBP Acc,0.472586709
04/10/2000,Merian Global Strategic Bond I GBP Acc,0.472937553
04/11/2000,Merian Global Strategic Bond I GBP Acc,0.473288397
04/12/2000,Merian Global Strategic Bond I GBP Acc,0.472937553
04/13/2000,Merian Global Strategic Bond I GBP Acc,0.471534177
04/14/2000,Merian Global Strategic Bond I GBP Acc,0.471183333
04/15/2000,Merian Global Strategic Bond I GBP Acc,0.471183333
04/16/2000,Merian Global Strategic Bond I GBP Acc,0.471183333
04/17/2000,Merian Global Strategic Bond I GBP Acc,0.470832489
04/18/2000,Merian Global Strategic Bond I GBP Acc,0.471183333
04/19/2000,Merian Global Strategic Bond I GBP Acc,0.470481646
04/20/2000,Merian Global Strategic Bond I GBP Acc,0.470481646
04/21/2000,Merian Global Strategic Bond I GBP Acc,0.470481646
04/22/2000,Merian Global Strategic Bond I GBP Acc,0.470481646
04/23/2000,Merian Global Strategic Bond I GBP Acc,0.470481646
04/24/2000,Merian Global Strategic Bond I GBP Acc,0.470481646
04/25/2000,Merian Global Strategic Bond I GBP Acc,0.470832489
04/26/2000,Merian Global Strategic Bond I GBP Acc,0.468727426
04/27/2000,Merian Global Strategic Bond I GBP Acc,0.469429114
04/28/2000,Merian Global Strategic Bond I GBP Acc,0.468727426
04/29/2000,Merian Global Strategic Bond I GBP Acc,0.468727426
04/30/2000,Merian Global Strategic Bond I GBP Acc,0.468727426
05/01/2000,Merian Global Strategic Bond I GBP Acc,0.468727426
05/02/2000,Merian Global Strategic Bond I GBP Acc,0.470130802
05/03/2000,Merian Global Strategic Bond I GBP Acc,0.46907827
05/04/2000,Merian Global Strategic Bond I GBP Acc,0.468376582
05/05/2000,Merian Global Strategic Bond I GBP Acc,0.470832489
05/06/2000,Merian Global Strategic Bond I GBP Acc,0.470832489
05/07/2000,Merian Global Strategic Bond I GBP Acc,0.470832489
05/08/2000,Merian Global Strategic Bond I GBP Acc,0.470832489
05/09/2000,Merian Global Strategic Bond I GBP Acc,0.469779958
05/10/2000,Merian Global Strategic Bond I GBP Acc,0.474691772
05/11/2000,Merian Global Strategic Bond I GBP Acc,0.480656118
05/12/2000,Merian Global Strategic Bond I GBP Acc,0.475744304
05/13/2000,Merian Global Strategic Bond I GBP Acc,0.475744304
05/14/2000,Merian Global Strategic Bond I GBP Acc,0.475744304
05/15/2000,Merian Global Strategic Bond I GBP Acc,0.477147679
05/16/2000,Merian Global Strategic Bond I GBP Acc,0.477849367
05/17/2000,Merian Global Strategic Bond I GBP Acc,0.478901899
05/18/2000,Merian Global Strategic Bond I GBP Acc,0.479252743
05/19/2000,Merian Global Strategic Bond I GBP Acc,0.477147679
05/20/2000,Merian Global Strategic Bond I GBP Acc,0.477147679
05/21/2000,Merian Global Strategic Bond I GBP Acc,0.477147679
05/22/2000,Merian Global Strategic Bond I GBP Acc,0.477849367
05/23/2000,Merian Global Strategic Bond I GBP Acc,0.481357806
05/24/2000,Merian Global Strategic Bond I GBP Acc,0.482761181
05/25/2000,Merian Global Strategic Bond I GBP Acc,0.48170865
05/26/2000,Merian Global Strategic Bond I GBP Acc,0.48626962
05/27/2000,Merian Global Strategic Bond I GBP Acc,0.48626962
05/28/2000,Merian Global Strategic Bond I GBP Acc,0.48626962
05/29/2000,Merian Global Strategic Bond I GBP Acc,0.48626962
05/30/2000,Merian Global Strategic Bond I GBP Acc,0.485918776
05/31/2000,Merian Global Strategic Bond I GBP Acc,0.48626962
06/01/2000,Merian Global Strategic Bond I GBP Acc,0.487322152
06/02/2000,Merian Global Strategic Bond I GBP Acc,0.489427215
06/03/2000,Merian Global Strategic Bond I GBP Acc,0.489427215
06/04/2000,Merian Global Strategic Bond I GBP Acc,0.489427215
06/05/2000,Merian Global Strategic Bond I GBP Acc,0.489427215
06/06/2000,Merian Global Strategic Bond I GBP Acc,0.489427215
06/07/2000,Merian Global Strategic Bond I GBP Acc,0.489076371
06/08/2000,Merian Global Strategic Bond I GBP Acc,0.491181435
06/09/2000,Merian Global Strategic Bond I GBP Acc,0.491883122
06/10/2000,Merian Global Strategic Bond I GBP Acc,0.491883122
06/11/2000,Merian Global Strategic Bond I GBP Acc,0.491883122
06/12/2000,Merian Global Strategic Bond I GBP Acc,0.491532278
06/13/2000,Merian Global Strategic Bond I GBP Acc,0.491883122
06/14/2000,Merian Global Strategic Bond I GBP Acc,0.496093249
06/15/2000,Merian Global Strategic Bond I GBP Acc,0.493286498
06/16/2000,Merian Global Strategic Bond I GBP Acc,0.493988186
06/17/2000,Merian Global Strategic Bond I GBP Acc,0.493988186
06/18/2000,Merian Global Strategic Bond I GBP Acc,0.493988186
06/19/2000,Merian Global Strategic Bond I GBP Acc,0.496093249
06/20/2000,Merian Global Strategic Bond I GBP Acc,0.496093249
06/21/2000,Merian Global Strategic Bond I GBP Acc,0.494689873
06/22/2000,Merian Global Strategic Bond I GBP Acc,0.491181435
06/23/2000,Merian Global Strategic Bond I GBP Acc,0.491181435
06/24/2000,Merian Global Strategic Bond I GBP Acc,0.491181435
06/25/2000,Merian Global Strategic Bond I GBP Acc,0.491181435
