Date,Name,NAV
07/12/2011,Pictet - Global Envir Opps I dy GBP,88.17
07/13/2011,Pictet - Global Envir Opps I dy GBP,88.24
07/14/2011,Pictet - Global Envir Opps I dy GBP,87.28
07/15/2011,Pictet - Global Envir Opps I dy GBP,87.53
07/16/2011,Pictet - Global Envir Opps I dy GBP,87.53
07/17/2011,Pictet - Global Envir Opps I dy GBP,87.53
07/18/2011,Pictet - Global Envir Opps I dy GBP,86.46
07/19/2011,Pictet - Global Envir Opps I dy GBP,87.49
07/20/2011,Pictet - Global Envir Opps I dy GBP,87.62
07/21/2011,Pictet - Global Envir Opps I dy GBP,87.87
07/22/2011,Pictet - Global Envir Opps I dy GBP,88.11
07/23/2011,Pictet - Global Envir Opps I dy GBP,88.11
07/24/2011,Pictet - Global Envir Opps I dy GBP,88.11
07/25/2011,Pictet - Global Envir Opps I dy GBP,87.5
07/26/2011,Pictet - Global Envir Opps I dy GBP,87.15
07/27/2011,Pictet - Global Envir Opps I dy GBP,85.83
07/28/2011,Pictet - Global Envir Opps I dy GBP,85.41
07/29/2011,Pictet - Global Envir Opps I dy GBP,84.59
07/30/2011,Pictet - Global Envir Opps I dy GBP,84.59
07/31/2011,Pictet - Global Envir Opps I dy GBP,84.59
08/01/2011,Pictet - Global Envir Opps I dy GBP,84.49
08/02/2011,Pictet - Global Envir Opps I dy GBP,82.22
08/03/2011,Pictet - Global Envir Opps I dy GBP,82.02
08/04/2011,Pictet - Global Envir Opps I dy GBP,78.39
08/05/2011,Pictet - Global Envir Opps I dy GBP,77.13
08/06/2011,Pictet - Global Envir Opps I dy GBP,77.13
08/07/2011,Pictet - Global Envir Opps I dy GBP,77.13
08/08/2011,Pictet - Global Envir Opps I dy GBP,72.67
08/09/2011,Pictet - Global Envir Opps I dy GBP,76.22
08/10/2011,Pictet - Global Envir Opps I dy GBP,74.8
08/11/2011,Pictet - Global Envir Opps I dy GBP,76.69
08/12/2011,Pictet - Global Envir Opps I dy GBP,76.69
08/13/2011,Pictet - Global Envir Opps I dy GBP,76.69
08/14/2011,Pictet - Global Envir Opps I dy GBP,76.69
08/15/2011,Pictet - Global Envir Opps I dy GBP,78.41
08/16/2011,Pictet - Global Envir Opps I dy GBP,77.32
08/17/2011,Pictet - Global Envir Opps I dy GBP,76.99
08/18/2011,Pictet - Global Envir Opps I dy GBP,73.56
08/19/2011,Pictet - Global Envir Opps I dy GBP,72.82
08/20/2011,Pictet - Global Envir Opps I dy GBP,72.82
08/21/2011,Pictet - Global Envir Opps I dy GBP,72.82
08/22/2011,Pictet - Global Envir Opps I dy GBP,72.9
08/23/2011,Pictet - Global Envir Opps I dy GBP,74.51
08/24/2011,Pictet - Global Envir Opps I dy GBP,76.17
08/25/2011,Pictet - Global Envir Opps I dy GBP,75.56
08/26/2011,Pictet - Global Envir Opps I dy GBP,76.47
08/27/2011,Pictet - Global Envir Opps I dy GBP,76.47
08/28/2011,Pictet - Global Envir Opps I dy GBP,76.47
08/29/2011,Pictet - Global Envir Opps I dy GBP,78.54
08/30/2011,Pictet - Global Envir Opps I dy GBP,79.28
08/31/2011,Pictet - Global Envir Opps I dy GBP,80.29
09/01/2011,Pictet - Global Envir Opps I dy GBP,79.55
09/02/2011,Pictet - Global Envir Opps I dy GBP,77.76
09/03/2011,Pictet - Global Envir Opps I dy GBP,77.76
09/04/2011,Pictet - Global Envir Opps I dy GBP,77.76
09/05/2011,Pictet - Global Envir Opps I dy GBP,77.76
09/06/2011,Pictet - Global Envir Opps I dy GBP,77.17
09/07/2011,Pictet - Global Envir Opps I dy GBP,79.08
09/08/2011,Pictet - Global Envir Opps I dy GBP,78.35
09/09/2011,Pictet - Global Envir Opps I dy GBP,76.48
09/10/2011,Pictet - Global Envir Opps I dy GBP,76.48
09/11/2011,Pictet - Global Envir Opps I dy GBP,76.48
09/12/2011,Pictet - Global Envir Opps I dy GBP,76.21
09/13/2011,Pictet - Global Envir Opps I dy GBP,77.01
09/14/2011,Pictet - Global Envir Opps I dy GBP,78.15
09/15/2011,Pictet - Global Envir Opps I dy GBP,79.26
09/16/2011,Pictet - Global Envir Opps I dy GBP,79.28
09/17/2011,Pictet - Global Envir Opps I dy GBP,79.28
09/18/2011,Pictet - Global Envir Opps I dy GBP,79.28
09/19/2011,Pictet - Global Envir Opps I dy GBP,78.24
09/20/2011,Pictet - Global Envir Opps I dy GBP,78.41
09/21/2011,Pictet - Global Envir Opps I dy GBP,77.27
09/22/2011,Pictet - Global Envir Opps I dy GBP,74.12
09/23/2011,Pictet - Global Envir Opps I dy GBP,73.58
09/24/2011,Pictet - Global Envir Opps I dy GBP,73.58
09/25/2011,Pictet - Global Envir Opps I dy GBP,73.58
09/26/2011,Pictet - Global Envir Opps I dy GBP,74.49
09/27/2011,Pictet - Global Envir Opps I dy GBP,75.74
09/28/2011,Pictet - Global Envir Opps I dy GBP,74.3
09/29/2011,Pictet - Global Envir Opps I dy GBP,74.71
09/30/2011,Pictet - Global Envir Opps I dy GBP,73.07
10/01/2011,Pictet - Global Envir Opps I dy GBP,73.07
10/02/2011,Pictet - Global Envir Opps I dy GBP,73.07
10/03/2011,Pictet - Global Envir Opps I dy GBP,71.58
10/04/2011,Pictet - Global Envir Opps I dy GBP,71.5
10/05/2011,Pictet - Global Envir Opps I dy GBP,72.9
10/06/2011,Pictet - Global Envir Opps I dy GBP,74.81
10/07/2011,Pictet - Global Envir Opps I dy GBP,73.93
10/08/2011,Pictet - Global Envir Opps I dy GBP,73.93
10/09/2011,Pictet - Global Envir Opps I dy GBP,73.93
10/10/2011,Pictet - Global Envir Opps I dy GBP,75.91
10/11/2011,Pictet - Global Envir Opps I dy GBP,75.61
10/12/2011,Pictet - Global Envir Opps I dy GBP,76.97
10/13/2011,Pictet - Global Envir Opps I dy GBP,76.58
10/14/2011,Pictet - Global Envir Opps I dy GBP,77.63
10/15/2011,Pictet - Global Envir Opps I dy GBP,77.63
10/16/2011,Pictet - Global Envir Opps I dy GBP,77.63
10/17/2011,Pictet - Global Envir Opps I dy GBP,76
10/18/2011,Pictet - Global Envir Opps I dy GBP,76.86
10/19/2011,Pictet - Global Envir Opps I dy GBP,76.18
10/20/2011,Pictet - Global Envir Opps I dy GBP,75.64
10/21/2011,Pictet - Global Envir Opps I dy GBP,76.68
10/22/2011,Pictet - Global Envir Opps I dy GBP,76.68
10/23/2011,Pictet - Global Envir Opps I dy GBP,76.68
