Date,Name,NAV
05/13/2002,Rathbone Ethical Bond I Inc,0.945012634
05/14/2002,Rathbone Ethical Bond I Inc,0.942457483
05/15/2002,Rathbone Ethical Bond I Inc,0.940000607
05/16/2002,Rathbone Ethical Bond I Inc,0.942260933
05/17/2002,Rathbone Ethical Bond I Inc,0.941769558
05/18/2002,Rathbone Ethical Bond I Inc,0.941769558
05/19/2002,Rathbone Ethical Bond I Inc,0.941769558
05/20/2002,Rathbone Ethical Bond I Inc,0.941278183
05/21/2002,Rathbone Ethical Bond I Inc,0.942850583
05/22/2002,Rathbone Ethical Bond I Inc,0.943833333
05/23/2002,Rathbone Ethical Bond I Inc,0.943440233
05/24/2002,Rathbone Ethical Bond I Inc,0.943833333
05/25/2002,Rathbone Ethical Bond I Inc,0.943833333
05/26/2002,Rathbone Ethical Bond I Inc,0.943833333
05/27/2002,Rathbone Ethical Bond I Inc,0.943931608
05/28/2002,Rathbone Ethical Bond I Inc,0.943047133
05/29/2002,Rathbone Ethical Bond I Inc,0.943931608
05/30/2002,Rathbone Ethical Bond I Inc,0.945012634
05/31/2002,Rathbone Ethical Bond I Inc,0.945110909
06/01/2002,Rathbone Ethical Bond I Inc,0.945110909
06/02/2002,Rathbone Ethical Bond I Inc,0.945110909
06/03/2002,Rathbone Ethical Bond I Inc,0.945110909
06/04/2002,Rathbone Ethical Bond I Inc,0.945110909
06/05/2002,Rathbone Ethical Bond I Inc,0.945012634
06/06/2002,Rathbone Ethical Bond I Inc,0.945897109
06/07/2002,Rathbone Ethical Bond I Inc,0.946978134
06/08/2002,Rathbone Ethical Bond I Inc,0.946978134
06/09/2002,Rathbone Ethical Bond I Inc,0.946978134
06/10/2002,Rathbone Ethical Bond I Inc,0.947076409
06/11/2002,Rathbone Ethical Bond I Inc,0.947371234
06/12/2002,Rathbone Ethical Bond I Inc,0.947764334
06/13/2002,Rathbone Ethical Bond I Inc,0.947862609
06/14/2002,Rathbone Ethical Bond I Inc,0.952972911
06/15/2002,Rathbone Ethical Bond I Inc,0.952972911
06/16/2002,Rathbone Ethical Bond I Inc,0.952972911
06/17/2002,Rathbone Ethical Bond I Inc,0.953955661
06/18/2002,Rathbone Ethical Bond I Inc,0.955036686
06/19/2002,Rathbone Ethical Bond I Inc,0.955233236
06/20/2002,Rathbone Ethical Bond I Inc,0.955921161
06/21/2002,Rathbone Ethical Bond I Inc,0.953071186
06/22/2002,Rathbone Ethical Bond I Inc,0.953071186
06/23/2002,Rathbone Ethical Bond I Inc,0.953071186
06/24/2002,Rathbone Ethical Bond I Inc,0.954447036
06/25/2002,Rathbone Ethical Bond I Inc,0.95257981
06/26/2002,Rathbone Ethical Bond I Inc,0.952088435
06/27/2002,Rathbone Ethical Bond I Inc,0.95159706
06/28/2002,Rathbone Ethical Bond I Inc,0.95061431
06/29/2002,Rathbone Ethical Bond I Inc,0.95061431
06/30/2002,Rathbone Ethical Bond I Inc,0.95061431
07/01/2002,Rathbone Ethical Bond I Inc,0.95061431
07/02/2002,Rathbone Ethical Bond I Inc,0.950516035
07/03/2002,Rathbone Ethical Bond I Inc,0.95081086
07/04/2002,Rathbone Ethical Bond I Inc,0.947371234
07/05/2002,Rathbone Ethical Bond I Inc,0.946093659
07/06/2002,Rathbone Ethical Bond I Inc,0.946093659
07/07/2002,Rathbone Ethical Bond I Inc,0.946093659
07/08/2002,Rathbone Ethical Bond I Inc,0.944422983
07/09/2002,Rathbone Ethical Bond I Inc,0.942752308
07/10/2002,Rathbone Ethical Bond I Inc,0.944914359
07/11/2002,Rathbone Ethical Bond I Inc,0.948452259
07/12/2002,Rathbone Ethical Bond I Inc,0.950516035
07/13/2002,Rathbone Ethical Bond I Inc,0.950516035
07/14/2002,Rathbone Ethical Bond I Inc,0.950516035
07/15/2002,Rathbone Ethical Bond I Inc,0.952972911
07/16/2002,Rathbone Ethical Bond I Inc,0.956412536
07/17/2002,Rathbone Ethical Bond I Inc,0.953071186
07/18/2002,Rathbone Ethical Bond I Inc,0.951498785
07/19/2002,Rathbone Ethical Bond I Inc,0.953366011
07/20/2002,Rathbone Ethical Bond I Inc,0.953366011
07/21/2002,Rathbone Ethical Bond I Inc,0.953366011
07/22/2002,Rathbone Ethical Bond I Inc,0.955429786
07/23/2002,Rathbone Ethical Bond I Inc,0.955134961
07/24/2002,Rathbone Ethical Bond I Inc,0.956412536
07/25/2002,Rathbone Ethical Bond I Inc,0.956412536
07/26/2002,Rathbone Ethical Bond I Inc,0.955724611
07/27/2002,Rathbone Ethical Bond I Inc,0.955724611
07/28/2002,Rathbone Ethical Bond I Inc,0.955724611
07/29/2002,Rathbone Ethical Bond I Inc,0.953464286
07/30/2002,Rathbone Ethical Bond I Inc,0.950712585
07/31/2002,Rathbone Ethical Bond I Inc,0.94982811
08/01/2002,Rathbone Ethical Bond I Inc,0.945209184
08/02/2002,Rathbone Ethical Bond I Inc,0.94884536
08/03/2002,Rathbone Ethical Bond I Inc,0.94884536
08/04/2002,Rathbone Ethical Bond I Inc,0.94884536
08/05/2002,Rathbone Ethical Bond I Inc,0.953267736
08/06/2002,Rathbone Ethical Bond I Inc,0.953759111
08/07/2002,Rathbone Ethical Bond I Inc,0.95199016
