Date,Name,NAV
05/09/2001,Rathbone Global Opportunities S Acc,0.224751339
05/10/2001,Rathbone Global Opportunities S Acc,0.224751339
05/11/2001,Rathbone Global Opportunities S Acc,0.226520658
05/12/2001,Rathbone Global Opportunities S Acc,0.226520658
05/13/2001,Rathbone Global Opportunities S Acc,0.226520658
05/14/2001,Rathbone Global Opportunities S Acc,0.226233741
05/15/2001,Rathbone Global Opportunities S Acc,0.226185922
05/16/2001,Rathbone Global Opportunities S Acc,0.225755547
05/17/2001,Rathbone Global Opportunities S Acc,0.226711936
05/18/2001,Rathbone Global Opportunities S Acc,0.227429227
05/19/2001,Rathbone Global Opportunities S Acc,0.227429227
05/20/2001,Rathbone Global Opportunities S Acc,0.227429227
05/21/2001,Rathbone Global Opportunities S Acc,0.227716144
05/22/2001,Rathbone Global Opportunities S Acc,0.229150727
05/23/2001,Rathbone Global Opportunities S Acc,0.229198546
05/24/2001,Rathbone Global Opportunities S Acc,0.2263772
05/25/2001,Rathbone Global Opportunities S Acc,0.226616297
05/26/2001,Rathbone Global Opportunities S Acc,0.226616297
05/27/2001,Rathbone Global Opportunities S Acc,0.226616297
05/28/2001,Rathbone Global Opportunities S Acc,0.226616297
05/29/2001,Rathbone Global Opportunities S Acc,0.225086075
05/30/2001,Rathbone Global Opportunities S Acc,0.222312548
05/31/2001,Rathbone Global Opportunities S Acc,0.218486993
06/01/2001,Rathbone Global Opportunities S Acc,0.21963466
06/02/2001,Rathbone Global Opportunities S Acc,0.21963466
06/03/2001,Rathbone Global Opportunities S Acc,0.21963466
06/04/2001,Rathbone Global Opportunities S Acc,0.220925784
06/05/2001,Rathbone Global Opportunities S Acc,0.221834353
06/06/2001,Rathbone Global Opportunities S Acc,0.224320964
06/07/2001,Rathbone Global Opportunities S Acc,0.225086075
06/08/2001,Rathbone Global Opportunities S Acc,0.227524866
06/09/2001,Rathbone Global Opportunities S Acc,0.227524866
06/10/2001,Rathbone Global Opportunities S Acc,0.227524866
06/11/2001,Rathbone Global Opportunities S Acc,0.224607881
06/12/2001,Rathbone Global Opportunities S Acc,0.221786534
06/13/2001,Rathbone Global Opportunities S Acc,0.221643076
06/14/2001,Rathbone Global Opportunities S Acc,0.217148049
06/15/2001,Rathbone Global Opportunities S Acc,0.213896327
06/16/2001,Rathbone Global Opportunities S Acc,0.213896327
06/17/2001,Rathbone Global Opportunities S Acc,0.213896327
06/18/2001,Rathbone Global Opportunities S Acc,0.213035578
06/19/2001,Rathbone Global Opportunities S Acc,0.213418133
06/20/2001,Rathbone Global Opportunities S Acc,0.212605203
06/21/2001,Rathbone Global Opportunities S Acc,0.213226855
