Date,Name,NAV
08/01/2011,Rathbone Multi Asset Enhanced Gr S Acc,1.016466762
08/02/2011,Rathbone Multi Asset Enhanced Gr S Acc,1.017686522
08/03/2011,Rathbone Multi Asset Enhanced Gr S Acc,1.008335027
08/04/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.997357186
08/05/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.983228298
08/06/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.983228298
08/07/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.983228298
08/08/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.957816629
08/09/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.936877414
08/10/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.930981907
08/11/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.937995528
08/12/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.936165887
08/13/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.936165887
08/14/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.936165887
08/15/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.946127262
08/16/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.949481602
08/17/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.950193129
08/18/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.945415735
08/19/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.928948973
08/20/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.928948973
08/21/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.928948973
08/22/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.921528766
08/23/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.922646879
08/24/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.923663346
08/25/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.931591787
08/26/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.930676967
08/27/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.930676967
08/28/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.930676967
08/29/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.930676967
08/30/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.934946127
08/31/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.948160195
09/01/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.956495223
09/02/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.957511689
09/03/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.957511689
09/04/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.957511689
09/05/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.946940435
09/06/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.938707054
09/07/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.942976215
09/08/2011,Rathbone Multi Asset Enhanced Gr S Acc,0.949176662
