Date,Name,NAV
06/08/2009,Rathbone Multi Asset Strategic Gr S Acc,0.773951515
06/09/2009,Rathbone Multi Asset Strategic Gr S Acc,0.773951515
06/10/2009,Rathbone Multi Asset Strategic Gr S Acc,0.770778314
06/11/2009,Rathbone Multi Asset Strategic Gr S Acc,0.770778314
06/12/2009,Rathbone Multi Asset Strategic Gr S Acc,0.770778314
06/13/2009,Rathbone Multi Asset Strategic Gr S Acc,0.770778314
06/14/2009,Rathbone Multi Asset Strategic Gr S Acc,0.770778314
06/15/2009,Rathbone Multi Asset Strategic Gr S Acc,0.770778314
06/16/2009,Rathbone Multi Asset Strategic Gr S Acc,0.770778314
06/17/2009,Rathbone Multi Asset Strategic Gr S Acc,0.76350317
06/18/2009,Rathbone Multi Asset Strategic Gr S Acc,0.76350317
06/19/2009,Rathbone Multi Asset Strategic Gr S Acc,0.76350317
06/20/2009,Rathbone Multi Asset Strategic Gr S Acc,0.76350317
06/21/2009,Rathbone Multi Asset Strategic Gr S Acc,0.76350317
06/22/2009,Rathbone Multi Asset Strategic Gr S Acc,0.76350317
06/23/2009,Rathbone Multi Asset Strategic Gr S Acc,0.76350317
06/24/2009,Rathbone Multi Asset Strategic Gr S Acc,0.750500784
06/25/2009,Rathbone Multi Asset Strategic Gr S Acc,0.750500784
06/26/2009,Rathbone Multi Asset Strategic Gr S Acc,0.750500784
06/27/2009,Rathbone Multi Asset Strategic Gr S Acc,0.750500784
06/28/2009,Rathbone Multi Asset Strategic Gr S Acc,0.750500784
06/29/2009,Rathbone Multi Asset Strategic Gr S Acc,0.750500784
06/30/2009,Rathbone Multi Asset Strategic Gr S Acc,0.759014251
07/01/2009,Rathbone Multi Asset Strategic Gr S Acc,0.761955267
07/02/2009,Rathbone Multi Asset Strategic Gr S Acc,0.761955267
07/03/2009,Rathbone Multi Asset Strategic Gr S Acc,0.761955267
07/04/2009,Rathbone Multi Asset Strategic Gr S Acc,0.761955267
07/05/2009,Rathbone Multi Asset Strategic Gr S Acc,0.761955267
07/06/2009,Rathbone Multi Asset Strategic Gr S Acc,0.761955267
07/07/2009,Rathbone Multi Asset Strategic Gr S Acc,0.761955267
07/08/2009,Rathbone Multi Asset Strategic Gr S Acc,0.759942993
07/09/2009,Rathbone Multi Asset Strategic Gr S Acc,0.759942993
07/10/2009,Rathbone Multi Asset Strategic Gr S Acc,0.759942993
07/11/2009,Rathbone Multi Asset Strategic Gr S Acc,0.759942993
07/12/2009,Rathbone Multi Asset Strategic Gr S Acc,0.759942993
07/13/2009,Rathbone Multi Asset Strategic Gr S Acc,0.759942993
07/14/2009,Rathbone Multi Asset Strategic Gr S Acc,0.759942993
07/15/2009,Rathbone Multi Asset Strategic Gr S Acc,0.758317695
07/16/2009,Rathbone Multi Asset Strategic Gr S Acc,0.758317695
07/17/2009,Rathbone Multi Asset Strategic Gr S Acc,0.758317695
07/18/2009,Rathbone Multi Asset Strategic Gr S Acc,0.758317695
07/19/2009,Rathbone Multi Asset Strategic Gr S Acc,0.758317695
07/20/2009,Rathbone Multi Asset Strategic Gr S Acc,0.758317695
07/21/2009,Rathbone Multi Asset Strategic Gr S Acc,0.758317695
07/22/2009,Rathbone Multi Asset Strategic Gr S Acc,0.781613635
07/23/2009,Rathbone Multi Asset Strategic Gr S Acc,0.781613635
07/24/2009,Rathbone Multi Asset Strategic Gr S Acc,0.781613635
07/25/2009,Rathbone Multi Asset Strategic Gr S Acc,0.781613635
07/26/2009,Rathbone Multi Asset Strategic Gr S Acc,0.781613635
07/27/2009,Rathbone Multi Asset Strategic Gr S Acc,0.781613635
07/28/2009,Rathbone Multi Asset Strategic Gr S Acc,0.781613635
07/29/2009,Rathbone Multi Asset Strategic Gr S Acc,0.794074255
07/30/2009,Rathbone Multi Asset Strategic Gr S Acc,0.794074255
07/31/2009,Rathbone Multi Asset Strategic Gr S Acc,0.794074255
08/01/2009,Rathbone Multi Asset Strategic Gr S Acc,0.794074255
08/02/2009,Rathbone Multi Asset Strategic Gr S Acc,0.794074255
08/03/2009,Rathbone Multi Asset Strategic Gr S Acc,0.794074255
08/04/2009,Rathbone Multi Asset Strategic Gr S Acc,0.794074255
08/05/2009,Rathbone Multi Asset Strategic Gr S Acc,0.799104939
08/06/2009,Rathbone Multi Asset Strategic Gr S Acc,0.799104939
08/07/2009,Rathbone Multi Asset Strategic Gr S Acc,0.799104939
08/08/2009,Rathbone Multi Asset Strategic Gr S Acc,0.799104939
08/09/2009,Rathbone Multi Asset Strategic Gr S Acc,0.799104939
08/10/2009,Rathbone Multi Asset Strategic Gr S Acc,0.799104939
08/11/2009,Rathbone Multi Asset Strategic Gr S Acc,0.799104939
08/12/2009,Rathbone Multi Asset Strategic Gr S Acc,0.814042204
08/13/2009,Rathbone Multi Asset Strategic Gr S Acc,0.814042204
08/14/2009,Rathbone Multi Asset Strategic Gr S Acc,0.814042204
08/15/2009,Rathbone Multi Asset Strategic Gr S Acc,0.814042204
08/16/2009,Rathbone Multi Asset Strategic Gr S Acc,0.814042204
