Date,Name,NAV
02/05/2010,RobecoSAM Sustainable Water Eqs I GBP,119.93
02/06/2010,RobecoSAM Sustainable Water Eqs I GBP,119.93
02/07/2010,RobecoSAM Sustainable Water Eqs I GBP,119.93
02/08/2010,RobecoSAM Sustainable Water Eqs I GBP,119.06
02/09/2010,RobecoSAM Sustainable Water Eqs I GBP,120.07
02/10/2010,RobecoSAM Sustainable Water Eqs I GBP,120.43
02/11/2010,RobecoSAM Sustainable Water Eqs I GBP,120.91
02/12/2010,RobecoSAM Sustainable Water Eqs I GBP,121.15
02/13/2010,RobecoSAM Sustainable Water Eqs I GBP,121.15
02/14/2010,RobecoSAM Sustainable Water Eqs I GBP,121.15
02/15/2010,RobecoSAM Sustainable Water Eqs I GBP,121.16
02/16/2010,RobecoSAM Sustainable Water Eqs I GBP,122.16
02/17/2010,RobecoSAM Sustainable Water Eqs I GBP,122.97
02/18/2010,RobecoSAM Sustainable Water Eqs I GBP,124.39
02/19/2010,RobecoSAM Sustainable Water Eqs I GBP,125.75
02/20/2010,RobecoSAM Sustainable Water Eqs I GBP,125.75
02/21/2010,RobecoSAM Sustainable Water Eqs I GBP,125.75
02/22/2010,RobecoSAM Sustainable Water Eqs I GBP,126.07
02/23/2010,RobecoSAM Sustainable Water Eqs I GBP,125.51
02/24/2010,RobecoSAM Sustainable Water Eqs I GBP,125.42
02/25/2010,RobecoSAM Sustainable Water Eqs I GBP,126.52
02/26/2010,RobecoSAM Sustainable Water Eqs I GBP,127.28
02/27/2010,RobecoSAM Sustainable Water Eqs I GBP,127.28
02/28/2010,RobecoSAM Sustainable Water Eqs I GBP,127.28
03/01/2010,RobecoSAM Sustainable Water Eqs I GBP,130.52
03/02/2010,RobecoSAM Sustainable Water Eqs I GBP,131.99
03/03/2010,RobecoSAM Sustainable Water Eqs I GBP,132.17
03/04/2010,RobecoSAM Sustainable Water Eqs I GBP,131.72
03/05/2010,RobecoSAM Sustainable Water Eqs I GBP,132.48
03/06/2010,RobecoSAM Sustainable Water Eqs I GBP,132.48
03/07/2010,RobecoSAM Sustainable Water Eqs I GBP,132.48
03/08/2010,RobecoSAM Sustainable Water Eqs I GBP,132.98
03/09/2010,RobecoSAM Sustainable Water Eqs I GBP,133.39
03/10/2010,RobecoSAM Sustainable Water Eqs I GBP,133.96
03/11/2010,RobecoSAM Sustainable Water Eqs I GBP,133.55
03/12/2010,RobecoSAM Sustainable Water Eqs I GBP,132.35
03/13/2010,RobecoSAM Sustainable Water Eqs I GBP,132.35
