Date,Name,NAV
12/01/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,1
12/02/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9987
12/03/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0003
12/04/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9967
12/05/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9878
12/06/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9878
12/07/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9878
12/08/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9867
12/09/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9898
12/10/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.989
12/11/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9935
12/12/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9968
12/13/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9968
12/14/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9968
12/15/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0033
12/16/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9941
12/17/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9846
12/18/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9785
12/19/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9838
12/20/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9838
12/21/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9838
12/22/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9967
12/23/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,0.9964
12/24/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0004
12/25/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0004
12/26/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0004
12/27/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0004
12/28/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0004
12/29/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0108
12/30/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0163
12/31/2003,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0172
01/01/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0172
01/02/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0258
01/03/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0258
01/04/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0258
01/05/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0358
01/06/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0252
01/07/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0261
01/08/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0328
01/09/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0317
01/10/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0317
01/11/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0317
01/12/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.027
01/13/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0379
01/14/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0479
01/15/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0414
01/16/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0396
01/17/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0396
01/18/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0396
01/19/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0553
01/20/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0565
01/21/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0508
01/22/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0418
01/23/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0423
01/24/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0423
01/25/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0423
01/26/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0565
01/27/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0677
01/28/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0331
01/29/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0273
01/30/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0332
01/31/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0332
02/01/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0332
02/02/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0193
02/03/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0225
02/04/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0172
02/05/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0175
02/06/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0253
02/07/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0253
02/08/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0253
02/09/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0332
02/10/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0311
02/11/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0324
02/12/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0255
02/13/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0349
02/14/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0349
02/15/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0349
02/16/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0404
02/17/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0391
02/18/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0453
02/19/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0487
02/20/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0512
02/21/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0512
02/22/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0512
02/23/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.055
02/24/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0454
02/25/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0273
02/26/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.04
02/27/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.056
02/28/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.056
02/29/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.056
03/01/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0605
03/02/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0691
03/03/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0673
03/04/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0705
03/05/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0752
03/06/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0752
03/07/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0752
03/08/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0622
03/09/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.063
03/10/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0617
03/11/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0569
03/12/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0537
03/13/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0537
03/14/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0537
03/15/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0473
03/16/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0406
03/17/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0506
03/18/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0541
03/19/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0539
03/20/2004,Stewart Inv APAC Ldrs Sstby B GBP Acc,1.0539
