Date,Name,NAV
03/03/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.3129771
03/04/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.30343511
03/05/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.30343511
03/06/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.30343511
03/07/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.29389313
03/08/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.30343511
03/09/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.29389313
03/10/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.26526718
03/11/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.25572519
03/12/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.25572519
03/13/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.25572519
03/14/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.24618321
03/15/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.21755725
03/16/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.23664122
03/17/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.21755725
03/18/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.24618321
03/19/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.24618321
03/20/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.24618321
03/21/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.26526718
03/22/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.25572519
03/23/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.25572519
03/24/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.25572519
03/25/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.26526718
03/26/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.26526718
03/27/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.26526718
03/28/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.26526718
03/29/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.26526718
03/30/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.28435115
03/31/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.29389313
04/01/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.36068702
04/02/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.36068702
04/03/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.36068702
04/04/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.40839695
04/05/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.40839695
04/06/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.40839695
04/07/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.40839695
04/08/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.41793893
04/09/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.41793893
04/10/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.41793893
04/11/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.39885496
04/12/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.37977099
04/13/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.38931298
04/14/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.37977099
04/15/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.39885496
04/16/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.39885496
04/17/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.39885496
04/18/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.37977099
04/19/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.41793893
04/20/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.46564885
04/21/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.47519084
04/22/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.47519084
04/23/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.47519084
04/24/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.47519084
04/25/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.47519084
04/26/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.49427481
04/27/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.48473282
04/28/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.46564885
04/29/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.47519084
04/30/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.47519084
05/01/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.47519084
05/02/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.48473282
05/03/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.47519084
05/04/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.45610687
05/05/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.4370229
05/06/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.47519084
05/07/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.47519084
05/08/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.47519084
05/09/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.47519084
05/10/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.49427481
05/11/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.50381679
05/12/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.48473282
05/13/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.46564885
05/14/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.46564885
05/15/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.46564885
05/16/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.44656489
05/17/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.4370229
05/18/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.45610687
05/19/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.45610687
05/20/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.44656489
05/21/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.44656489
05/22/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.44656489
05/23/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.4370229
05/24/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.45610687
05/25/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.47519084
05/26/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.45610687
05/27/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.45610687
05/28/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.45610687
05/29/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.45610687
05/30/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.45610687
05/31/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.48473282
06/01/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.51335878
06/02/2011,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,14.51335878
