Date,Name,NAV
12/01/2017,Trojan Fund X Accumulation,1
12/02/2017,Trojan Fund X Accumulation,1
12/03/2017,Trojan Fund X Accumulation,1
12/04/2017,Trojan Fund X Accumulation,1.0009
12/05/2017,Trojan Fund X Accumulation,1.0037
12/06/2017,Trojan Fund X Accumulation,1.0056
12/07/2017,Trojan Fund X Accumulation,1.0086
12/08/2017,Trojan Fund X Accumulation,1.0024
12/09/2017,Trojan Fund X Accumulation,1.0024
12/10/2017,Trojan Fund X Accumulation,1.0024
12/11/2017,Trojan Fund X Accumulation,1.0066
12/12/2017,Trojan Fund X Accumulation,1.0073
12/13/2017,Trojan Fund X Accumulation,1.0077
12/14/2017,Trojan Fund X Accumulation,1.0067
12/15/2017,Trojan Fund X Accumulation,1.0062
12/16/2017,Trojan Fund X Accumulation,1.0062
12/17/2017,Trojan Fund X Accumulation,1.0062
12/18/2017,Trojan Fund X Accumulation,1.0098
12/19/2017,Trojan Fund X Accumulation,1.0103
12/20/2017,Trojan Fund X Accumulation,1.009
12/21/2017,Trojan Fund X Accumulation,1.0081
12/22/2017,Trojan Fund X Accumulation,1.009
12/23/2017,Trojan Fund X Accumulation,1.009
12/24/2017,Trojan Fund X Accumulation,1.009
12/25/2017,Trojan Fund X Accumulation,1.009
12/26/2017,Trojan Fund X Accumulation,1.009
12/27/2017,Trojan Fund X Accumulation,1.0093
12/28/2017,Trojan Fund X Accumulation,1.0111
12/29/2017,Trojan Fund X Accumulation,1.0096
12/30/2017,Trojan Fund X Accumulation,1.0096
12/31/2017,Trojan Fund X Accumulation,1.0096
01/01/2018,Trojan Fund X Accumulation,1.0096
01/02/2018,Trojan Fund X Accumulation,1.0102
01/03/2018,Trojan Fund X Accumulation,1.0081
01/04/2018,Trojan Fund X Accumulation,1.0084
01/05/2018,Trojan Fund X Accumulation,1.0111
01/06/2018,Trojan Fund X Accumulation,1.0111
01/07/2018,Trojan Fund X Accumulation,1.0111
01/08/2018,Trojan Fund X Accumulation,1.0123
01/09/2018,Trojan Fund X Accumulation,1.0123
01/10/2018,Trojan Fund X Accumulation,1.0119
01/11/2018,Trojan Fund X Accumulation,1.0138
01/12/2018,Trojan Fund X Accumulation,1.01
01/13/2018,Trojan Fund X Accumulation,1.01
01/14/2018,Trojan Fund X Accumulation,1.01
01/15/2018,Trojan Fund X Accumulation,1.0093
01/16/2018,Trojan Fund X Accumulation,1.0097
01/17/2018,Trojan Fund X Accumulation,1.0084
01/18/2018,Trojan Fund X Accumulation,1.008
01/19/2018,Trojan Fund X Accumulation,1.0085
01/20/2018,Trojan Fund X Accumulation,1.0085
01/21/2018,Trojan Fund X Accumulation,1.0085
01/22/2018,Trojan Fund X Accumulation,1.0104
01/23/2018,Trojan Fund X Accumulation,1.0116
01/24/2018,Trojan Fund X Accumulation,1.0065
01/25/2018,Trojan Fund X Accumulation,1.0043
01/26/2018,Trojan Fund X Accumulation,1.0012
01/27/2018,Trojan Fund X Accumulation,1.0012
01/28/2018,Trojan Fund X Accumulation,1.0012
01/29/2018,Trojan Fund X Accumulation,1.0058
01/30/2018,Trojan Fund X Accumulation,1.0065
01/31/2018,Trojan Fund X Accumulation,1.0053
02/01/2018,Trojan Fund X Accumulation,1.0045
02/02/2018,Trojan Fund X Accumulation,1.0021
02/03/2018,Trojan Fund X Accumulation,1.0021
02/04/2018,Trojan Fund X Accumulation,1.0021
02/05/2018,Trojan Fund X Accumulation,0.9971
02/06/2018,Trojan Fund X Accumulation,0.9881
02/07/2018,Trojan Fund X Accumulation,0.9907
02/08/2018,Trojan Fund X Accumulation,0.9855
02/09/2018,Trojan Fund X Accumulation,0.9802
02/10/2018,Trojan Fund X Accumulation,0.9802
02/11/2018,Trojan Fund X Accumulation,0.9802
02/12/2018,Trojan Fund X Accumulation,0.9826
02/13/2018,Trojan Fund X Accumulation,0.9849
02/14/2018,Trojan Fund X Accumulation,0.9864
02/15/2018,Trojan Fund X Accumulation,0.9836
02/16/2018,Trojan Fund X Accumulation,0.9877
02/17/2018,Trojan Fund X Accumulation,0.9877
02/18/2018,Trojan Fund X Accumulation,0.9877
02/19/2018,Trojan Fund X Accumulation,0.9879
02/20/2018,Trojan Fund X Accumulation,0.9864
02/21/2018,Trojan Fund X Accumulation,0.9859
02/22/2018,Trojan Fund X Accumulation,0.9832
02/23/2018,Trojan Fund X Accumulation,0.9832
02/24/2018,Trojan Fund X Accumulation,0.9832
02/25/2018,Trojan Fund X Accumulation,0.9832
02/26/2018,Trojan Fund X Accumulation,0.9877
02/27/2018,Trojan Fund X Accumulation,0.9914
02/28/2018,Trojan Fund X Accumulation,0.9882
03/01/2018,Trojan Fund X Accumulation,0.9851
03/02/2018,Trojan Fund X Accumulation,0.983
03/03/2018,Trojan Fund X Accumulation,0.983
03/04/2018,Trojan Fund X Accumulation,0.983
03/05/2018,Trojan Fund X Accumulation,0.9829
03/06/2018,Trojan Fund X Accumulation,0.9851
03/07/2018,Trojan Fund X Accumulation,0.9858
03/08/2018,Trojan Fund X Accumulation,0.9858
03/09/2018,Trojan Fund X Accumulation,0.9895
03/10/2018,Trojan Fund X Accumulation,0.9895
03/11/2018,Trojan Fund X Accumulation,0.9895
03/12/2018,Trojan Fund X Accumulation,0.9919
03/13/2018,Trojan Fund X Accumulation,0.9897
03/14/2018,Trojan Fund X Accumulation,0.9862
03/15/2018,Trojan Fund X Accumulation,0.9842
03/16/2018,Trojan Fund X Accumulation,0.9831
03/17/2018,Trojan Fund X Accumulation,0.9831
03/18/2018,Trojan Fund X Accumulation,0.9831
03/19/2018,Trojan Fund X Accumulation,0.9779
03/20/2018,Trojan Fund X Accumulation,0.9763
03/21/2018,Trojan Fund X Accumulation,0.9733
