Date,Name,NAV
06/23/2009,Vanguard Glb Bd Idx £ H Acc,100
06/24/2009,Vanguard Glb Bd Idx £ H Acc,99.0963
06/25/2009,Vanguard Glb Bd Idx £ H Acc,99.9458
06/26/2009,Vanguard Glb Bd Idx £ H Acc,99.4193
06/27/2009,Vanguard Glb Bd Idx £ H Acc,99.4193
06/28/2009,Vanguard Glb Bd Idx £ H Acc,99.4193
06/29/2009,Vanguard Glb Bd Idx £ H Acc,99.2528
06/30/2009,Vanguard Glb Bd Idx £ H Acc,99.4915
07/01/2009,Vanguard Glb Bd Idx £ H Acc,99.66
07/02/2009,Vanguard Glb Bd Idx £ H Acc,100.3621
07/03/2009,Vanguard Glb Bd Idx £ H Acc,100.3621
07/04/2009,Vanguard Glb Bd Idx £ H Acc,100.3621
07/05/2009,Vanguard Glb Bd Idx £ H Acc,100.3621
07/06/2009,Vanguard Glb Bd Idx £ H Acc,101.4935
07/07/2009,Vanguard Glb Bd Idx £ H Acc,101.7633
07/08/2009,Vanguard Glb Bd Idx £ H Acc,102.5848
07/09/2009,Vanguard Glb Bd Idx £ H Acc,101.9529
07/10/2009,Vanguard Glb Bd Idx £ H Acc,102.3551
07/11/2009,Vanguard Glb Bd Idx £ H Acc,102.3551
07/12/2009,Vanguard Glb Bd Idx £ H Acc,102.3551
07/13/2009,Vanguard Glb Bd Idx £ H Acc,102.8526
07/14/2009,Vanguard Glb Bd Idx £ H Acc,101.6028
07/15/2009,Vanguard Glb Bd Idx £ H Acc,100.7302
07/16/2009,Vanguard Glb Bd Idx £ H Acc,100.9328
07/17/2009,Vanguard Glb Bd Idx £ H Acc,101.3731
07/18/2009,Vanguard Glb Bd Idx £ H Acc,101.3731
07/19/2009,Vanguard Glb Bd Idx £ H Acc,101.3731
07/20/2009,Vanguard Glb Bd Idx £ H Acc,100.8398
07/21/2009,Vanguard Glb Bd Idx £ H Acc,101.3977
07/22/2009,Vanguard Glb Bd Idx £ H Acc,101.3805
07/23/2009,Vanguard Glb Bd Idx £ H Acc,100.4356
07/24/2009,Vanguard Glb Bd Idx £ H Acc,101.1358
07/25/2009,Vanguard Glb Bd Idx £ H Acc,101.1358
07/26/2009,Vanguard Glb Bd Idx £ H Acc,101.1358
07/27/2009,Vanguard Glb Bd Idx £ H Acc,100.6118
07/28/2009,Vanguard Glb Bd Idx £ H Acc,101.0124
07/29/2009,Vanguard Glb Bd Idx £ H Acc,101.0647
07/30/2009,Vanguard Glb Bd Idx £ H Acc,100.6392
07/31/2009,Vanguard Glb Bd Idx £ H Acc,100.9689
08/01/2009,Vanguard Glb Bd Idx £ H Acc,100.9689
08/02/2009,Vanguard Glb Bd Idx £ H Acc,100.9689
08/03/2009,Vanguard Glb Bd Idx £ H Acc,100.9689
08/04/2009,Vanguard Glb Bd Idx £ H Acc,99.3433
08/05/2009,Vanguard Glb Bd Idx £ H Acc,98.9834
08/06/2009,Vanguard Glb Bd Idx £ H Acc,99.8129
08/07/2009,Vanguard Glb Bd Idx £ H Acc,99.5069
08/08/2009,Vanguard Glb Bd Idx £ H Acc,99.5069
08/09/2009,Vanguard Glb Bd Idx £ H Acc,99.5069
08/10/2009,Vanguard Glb Bd Idx £ H Acc,100.4772
08/11/2009,Vanguard Glb Bd Idx £ H Acc,100.9766
08/12/2009,Vanguard Glb Bd Idx £ H Acc,100.9337
08/13/2009,Vanguard Glb Bd Idx £ H Acc,101.2398
08/14/2009,Vanguard Glb Bd Idx £ H Acc,101.8982
08/15/2009,Vanguard Glb Bd Idx £ H Acc,101.8982
08/16/2009,Vanguard Glb Bd Idx £ H Acc,101.8982
08/17/2009,Vanguard Glb Bd Idx £ H Acc,102.9811
08/18/2009,Vanguard Glb Bd Idx £ H Acc,101.6519
08/19/2009,Vanguard Glb Bd Idx £ H Acc,102.409
08/20/2009,Vanguard Glb Bd Idx £ H Acc,102.5006
08/21/2009,Vanguard Glb Bd Idx £ H Acc,102.3099
08/22/2009,Vanguard Glb Bd Idx £ H Acc,102.3099
08/23/2009,Vanguard Glb Bd Idx £ H Acc,102.3099
08/24/2009,Vanguard Glb Bd Idx £ H Acc,103.0206
08/25/2009,Vanguard Glb Bd Idx £ H Acc,103.5437
08/26/2009,Vanguard Glb Bd Idx £ H Acc,104.3178
08/27/2009,Vanguard Glb Bd Idx £ H Acc,104.6825
08/28/2009,Vanguard Glb Bd Idx £ H Acc,104.2864
08/29/2009,Vanguard Glb Bd Idx £ H Acc,104.2864
08/30/2009,Vanguard Glb Bd Idx £ H Acc,104.2864
08/31/2009,Vanguard Glb Bd Idx £ H Acc,104.5303
09/01/2009,Vanguard Glb Bd Idx £ H Acc,104.848
09/02/2009,Vanguard Glb Bd Idx £ H Acc,104.7899
09/03/2009,Vanguard Glb Bd Idx £ H Acc,104.2233
