Date,Name,NAV
01/11/2010,Vanguard Glb Small-Cp Idx £ Acc,100,
01/12/2010,Vanguard Glb Small-Cp Idx £ Acc,98.829,
01/13/2010,Vanguard Glb Small-Cp Idx £ Acc,98.969,
01/14/2010,Vanguard Glb Small-Cp Idx £ Acc,99.168,
01/15/2010,Vanguard Glb Small-Cp Idx £ Acc,98.673,
01/16/2010,Vanguard Glb Small-Cp Idx £ Acc,98.673,
01/17/2010,Vanguard Glb Small-Cp Idx £ Acc,98.673,
01/18/2010,Vanguard Glb Small-Cp Idx £ Acc,98.673,
01/19/2010,Vanguard Glb Small-Cp Idx £ Acc,98.64,
01/20/2010,Vanguard Glb Small-Cp Idx £ Acc,97.891,
01/21/2010,Vanguard Glb Small-Cp Idx £ Acc,97.1441,
01/22/2010,Vanguard Glb Small-Cp Idx £ Acc,96.0089,
01/23/2010,Vanguard Glb Small-Cp Idx £ Acc,96.0089,
01/24/2010,Vanguard Glb Small-Cp Idx £ Acc,96.0089,
01/25/2010,Vanguard Glb Small-Cp Idx £ Acc,95.6212,
01/26/2010,Vanguard Glb Small-Cp Idx £ Acc,95.2589,
01/27/2010,Vanguard Glb Small-Cp Idx £ Acc,94.9627,
01/28/2010,Vanguard Glb Small-Cp Idx £ Acc,94.4762,
01/29/2010,Vanguard Glb Small-Cp Idx £ Acc,94.1831,
01/30/2010,Vanguard Glb Small-Cp Idx £ Acc,94.1831,
01/31/2010,Vanguard Glb Small-Cp Idx £ Acc,94.1831,
02/01/2010,Vanguard Glb Small-Cp Idx £ Acc,95.7349,
02/02/2010,Vanguard Glb Small-Cp Idx £ Acc,96.7458,
02/03/2010,Vanguard Glb Small-Cp Idx £ Acc,96.5091,
02/04/2010,Vanguard Glb Small-Cp Idx £ Acc,94.5706,
02/05/2010,Vanguard Glb Small-Cp Idx £ Acc,94.651,
02/06/2010,Vanguard Glb Small-Cp Idx £ Acc,94.651,
02/07/2010,Vanguard Glb Small-Cp Idx £ Acc,94.651,
02/08/2010,Vanguard Glb Small-Cp Idx £ Acc,93.9232,
02/09/2010,Vanguard Glb Small-Cp Idx £ Acc,94.9877,
02/10/2010,Vanguard Glb Small-Cp Idx £ Acc,95.2492,
02/11/2010,Vanguard Glb Small-Cp Idx £ Acc,96.2293,
02/12/2010,Vanguard Glb Small-Cp Idx £ Acc,96.456,
02/13/2010,Vanguard Glb Small-Cp Idx £ Acc,96.456,
02/14/2010,Vanguard Glb Small-Cp Idx £ Acc,96.456,
02/15/2010,Vanguard Glb Small-Cp Idx £ Acc,96.456,
02/16/2010,Vanguard Glb Small-Cp Idx £ Acc,97.5373,
02/17/2010,Vanguard Glb Small-Cp Idx £ Acc,98.0664,
