Date,Name,NAV
12/07/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,10
12/08/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.923
12/09/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.976
12/10/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.976
12/11/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.976
12/12/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.758
12/13/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.85
12/14/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.721
12/15/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.688
12/16/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.684
12/17/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.684
12/18/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.684
12/19/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.404
12/20/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.477
12/21/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.473
12/22/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.601
12/23/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.717
12/24/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.717
12/25/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.717
12/26/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.694
12/27/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.626
12/28/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.652
12/29/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.792
12/30/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.752
12/31/2011,Fidelity Asian Smaller Coms Y-Acc-GBP,9.752
01/01/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,9.752
01/02/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,9.852
01/03/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,9.835
01/04/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,9.836
01/05/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,9.914
01/06/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,9.948
01/07/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,9.948
01/08/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,9.948
01/09/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,9.902
01/10/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.07
01/11/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.16
01/12/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.2
01/13/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.19
01/14/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.19
01/15/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.19
01/16/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.15
01/17/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.32
01/18/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.33
01/19/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.41
01/20/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.33
01/21/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.33
01/22/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.33
01/23/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.39
01/24/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.35
01/25/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.35
01/26/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.39
01/27/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.4
01/28/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.4
01/29/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.4
01/30/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.29
01/31/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.33
02/01/2012,Fidelity Asian Smaller Coms Y-Acc-GBP,10.43
