Date,Name,NAV
09/27/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
09/28/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
09/29/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
09/30/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/01/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/02/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/03/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/04/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/05/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/06/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/07/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/08/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/09/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/10/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/11/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/12/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/13/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/14/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/15/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/16/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/17/1999,M&G Emerging Markets Bond GBP I Inc,0.672494956
10/18/1999,M&G Emerging Markets Bond GBP I Inc,0.672091459
10/19/1999,M&G Emerging Markets Bond GBP I Inc,0.672091459
10/20/1999,M&G Emerging Markets Bond GBP I Inc,0.669804976
10/21/1999,M&G Emerging Markets Bond GBP I Inc,0.681909886
10/22/1999,M&G Emerging Markets Bond GBP I Inc,0.690921318
10/23/1999,M&G Emerging Markets Bond GBP I Inc,0.690921318
10/24/1999,M&G Emerging Markets Bond GBP I Inc,0.690921318
10/25/1999,M&G Emerging Markets Bond GBP I Inc,0.695897781
10/26/1999,M&G Emerging Markets Bond GBP I Inc,0.699932751
10/27/1999,M&G Emerging Markets Bond GBP I Inc,0.704505716
10/28/1999,M&G Emerging Markets Bond GBP I Inc,0.705985205
10/29/1999,M&G Emerging Markets Bond GBP I Inc,0.712979153
10/30/1999,M&G Emerging Markets Bond GBP I Inc,0.712979153
10/31/1999,M&G Emerging Markets Bond GBP I Inc,0.712979153
11/01/1999,M&G Emerging Markets Bond GBP I Inc,0.710289173
11/02/1999,M&G Emerging Markets Bond GBP I Inc,0.711634163
11/03/1999,M&G Emerging Markets Bond GBP I Inc,0.714055145
11/04/1999,M&G Emerging Markets Bond GBP I Inc,0.720107599
11/05/1999,M&G Emerging Markets Bond GBP I Inc,0.727505044
11/06/1999,M&G Emerging Markets Bond GBP I Inc,0.727505044
11/07/1999,M&G Emerging Markets Bond GBP I Inc,0.727505044
11/08/1999,M&G Emerging Markets Bond GBP I Inc,0.729791527
11/09/1999,M&G Emerging Markets Bond GBP I Inc,0.73463349
11/10/1999,M&G Emerging Markets Bond GBP I Inc,0.73463349
11/11/1999,M&G Emerging Markets Bond GBP I Inc,0.734767989
11/12/1999,M&G Emerging Markets Bond GBP I Inc,0.738264963
11/13/1999,M&G Emerging Markets Bond GBP I Inc,0.738264963
11/14/1999,M&G Emerging Markets Bond GBP I Inc,0.738264963
11/15/1999,M&G Emerging Markets Bond GBP I Inc,0.733019502
11/16/1999,M&G Emerging Markets Bond GBP I Inc,0.730329523
11/17/1999,M&G Emerging Markets Bond GBP I Inc,0.728177539
11/18/1999,M&G Emerging Markets Bond GBP I Inc,0.72535306
11/19/1999,M&G Emerging Markets Bond GBP I Inc,0.730195024
11/20/1999,M&G Emerging Markets Bond GBP I Inc,0.730195024
11/21/1999,M&G Emerging Markets Bond GBP I Inc,0.730195024
11/22/1999,M&G Emerging Markets Bond GBP I Inc,0.725756557
11/23/1999,M&G Emerging Markets Bond GBP I Inc,0.730195024
11/24/1999,M&G Emerging Markets Bond GBP I Inc,0.733422999
11/25/1999,M&G Emerging Markets Bond GBP I Inc,0.732347007
11/26/1999,M&G Emerging Markets Bond GBP I Inc,0.736919973
11/27/1999,M&G Emerging Markets Bond GBP I Inc,0.736919973
11/28/1999,M&G Emerging Markets Bond GBP I Inc,0.736919973
11/29/1999,M&G Emerging Markets Bond GBP I Inc,0.737995965
11/30/1999,M&G Emerging Markets Bond GBP I Inc,0.735709482
12/01/1999,M&G Emerging Markets Bond GBP I Inc,0.731405514
12/02/1999,M&G Emerging Markets Bond GBP I Inc,0.729657028
12/03/1999,M&G Emerging Markets Bond GBP I Inc,0.729253531
12/04/1999,M&G Emerging Markets Bond GBP I Inc,0.729253531
12/05/1999,M&G Emerging Markets Bond GBP I Inc,0.729253531
12/06/1999,M&G Emerging Markets Bond GBP I Inc,0.734229993
12/07/1999,M&G Emerging Markets Bond GBP I Inc,0.732212508
12/08/1999,M&G Emerging Markets Bond GBP I Inc,0.72804304
12/09/1999,M&G Emerging Markets Bond GBP I Inc,0.73073302
12/10/1999,M&G Emerging Markets Bond GBP I Inc,0.732750504
12/11/1999,M&G Emerging Markets Bond GBP I Inc,0.732750504
12/12/1999,M&G Emerging Markets Bond GBP I Inc,0.732750504
12/13/1999,M&G Emerging Markets Bond GBP I Inc,0.73732347
12/14/1999,M&G Emerging Markets Bond GBP I Inc,0.744855414
12/15/1999,M&G Emerging Markets Bond GBP I Inc,0.747141896
12/16/1999,M&G Emerging Markets Bond GBP I Inc,0.744720915
12/17/1999,M&G Emerging Markets Bond GBP I Inc,0.750235373
12/18/1999,M&G Emerging Markets Bond GBP I Inc,0.750235373
12/19/1999,M&G Emerging Markets Bond GBP I Inc,0.750235373
