Date,Name,NAV
04/14/2003,Royal London Sterl Extra Yld Bd A,0.99954
04/15/2003,Royal London Sterl Extra Yld Bd A,1.00178
04/16/2003,Royal London Sterl Extra Yld Bd A,1.00732
04/17/2003,Royal London Sterl Extra Yld Bd A,1.01067
04/18/2003,Royal London Sterl Extra Yld Bd A,1.01067
04/19/2003,Royal London Sterl Extra Yld Bd A,1.01067
04/20/2003,Royal London Sterl Extra Yld Bd A,1.01067
04/21/2003,Royal London Sterl Extra Yld Bd A,1.01067
04/22/2003,Royal London Sterl Extra Yld Bd A,1.0127
04/23/2003,Royal London Sterl Extra Yld Bd A,1.0136
04/24/2003,Royal London Sterl Extra Yld Bd A,1.0183
04/25/2003,Royal London Sterl Extra Yld Bd A,1.0183
04/26/2003,Royal London Sterl Extra Yld Bd A,1.0183
04/27/2003,Royal London Sterl Extra Yld Bd A,1.0183
04/28/2003,Royal London Sterl Extra Yld Bd A,1.02322
04/29/2003,Royal London Sterl Extra Yld Bd A,1.02313
04/30/2003,Royal London Sterl Extra Yld Bd A,1.02554
05/01/2003,Royal London Sterl Extra Yld Bd A,1.02967
05/02/2003,Royal London Sterl Extra Yld Bd A,1.03424
05/03/2003,Royal London Sterl Extra Yld Bd A,1.03424
05/04/2003,Royal London Sterl Extra Yld Bd A,1.03424
05/05/2003,Royal London Sterl Extra Yld Bd A,1.03424
05/06/2003,Royal London Sterl Extra Yld Bd A,1.0348
05/07/2003,Royal London Sterl Extra Yld Bd A,1.03962
05/08/2003,Royal London Sterl Extra Yld Bd A,1.04338
05/09/2003,Royal London Sterl Extra Yld Bd A,1.04494
05/10/2003,Royal London Sterl Extra Yld Bd A,1.04494
05/11/2003,Royal London Sterl Extra Yld Bd A,1.04494
05/12/2003,Royal London Sterl Extra Yld Bd A,1.04573
05/13/2003,Royal London Sterl Extra Yld Bd A,1.04638
05/14/2003,Royal London Sterl Extra Yld Bd A,1.04659
05/15/2003,Royal London Sterl Extra Yld Bd A,1.04558
05/16/2003,Royal London Sterl Extra Yld Bd A,1.04558
05/17/2003,Royal London Sterl Extra Yld Bd A,1.04558
05/18/2003,Royal London Sterl Extra Yld Bd A,1.04558
05/19/2003,Royal London Sterl Extra Yld Bd A,1.05387
05/20/2003,Royal London Sterl Extra Yld Bd A,1.05544
05/21/2003,Royal London Sterl Extra Yld Bd A,1.05934
05/22/2003,Royal London Sterl Extra Yld Bd A,1.06101
05/23/2003,Royal London Sterl Extra Yld Bd A,1.06399
05/24/2003,Royal London Sterl Extra Yld Bd A,1.06399
05/25/2003,Royal London Sterl Extra Yld Bd A,1.06399
05/26/2003,Royal London Sterl Extra Yld Bd A,1.06399
05/27/2003,Royal London Sterl Extra Yld Bd A,1.065
05/28/2003,Royal London Sterl Extra Yld Bd A,1.0603
05/29/2003,Royal London Sterl Extra Yld Bd A,1.0617
05/30/2003,Royal London Sterl Extra Yld Bd A,1.06259
05/31/2003,Royal London Sterl Extra Yld Bd A,1.06259
06/01/2003,Royal London Sterl Extra Yld Bd A,1.06259
06/02/2003,Royal London Sterl Extra Yld Bd A,1.06101
06/03/2003,Royal London Sterl Extra Yld Bd A,1.06269
06/04/2003,Royal London Sterl Extra Yld Bd A,1.06257
06/05/2003,Royal London Sterl Extra Yld Bd A,1.06505
06/06/2003,Royal London Sterl Extra Yld Bd A,1.06384
06/07/2003,Royal London Sterl Extra Yld Bd A,1.06384
