Date,Name,NAV
02/03/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,100
02/04/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.688807
02/05/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.688807
02/06/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.688807
02/07/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.3777
02/08/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.309904
02/09/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.1928
02/10/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.394675
02/11/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.64032
02/12/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.64032
02/13/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.64032
02/14/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.910001
02/15/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.632944
02/16/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.53725
02/17/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.618841
02/18/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.63298
02/19/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.63298
02/20/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,99.63298
02/21/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,100.416651
02/22/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,101.006768
02/23/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,101.377518
02/24/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,101.59339
02/25/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,101.539147
02/26/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,101.539147
02/27/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,101.539147
02/28/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.136094
03/01/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.207135
03/02/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,101.634421
03/03/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,101.214564
03/04/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,101.895805
03/05/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,101.895805
03/06/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,101.895805
03/07/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,101.803102
03/08/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,101.66143
03/09/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,101.885062
03/10/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.324483
03/11/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.144877
03/12/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.144877
03/13/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.144877
03/14/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.551986
03/15/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.168378
03/16/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.143901
03/17/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.515821
03/18/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.156181
03/19/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.156181
03/20/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.156181
03/21/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.860293
03/22/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.71984
03/23/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.885825
03/24/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.509069
03/25/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.886311
03/26/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.886311
03/27/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.886311
03/28/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.014668
03/29/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.5398
03/30/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.773779
03/31/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.892909
04/01/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.198496
04/02/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.198496
04/03/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.198496
04/04/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.422494
04/05/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.057603
04/06/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.895417
04/07/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.168343
04/08/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.570513
04/09/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.570513
04/10/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.570513
04/11/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,102.287627
04/12/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.171263
04/13/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.231074
04/14/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.128743
04/15/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.80679
04/16/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.80679
04/17/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.80679
04/18/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.84074
04/19/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.565563
04/20/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.355599
04/21/2011,Vanguard UK Infl-Lnkd Gilt Idx £ Inc,103.964613
