Date,Name,NAV
09/16/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.5
09/17/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.5001
09/18/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.499
09/19/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4977
09/20/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4977
09/21/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4977
09/22/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4982
09/23/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4984
09/24/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4991
09/25/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4988
09/26/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4995
09/27/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4995
09/28/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4995
09/29/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4987
09/30/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.499
10/01/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4987
10/02/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.5
10/03/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4993
10/04/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4993
10/05/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4993
10/06/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4984
10/07/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4988
10/08/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.4996
10/09/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.5002
10/10/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.5001
10/11/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.5001
10/12/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.5001
10/13/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.5002
10/14/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.5008
10/15/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.5004
10/16/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.5017
10/17/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.501
10/18/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.501
10/19/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.501
10/20/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.5008
10/21/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.5016
10/22/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.5017
10/23/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.5013
10/24/2014,abrdn Short Dur Gbl Infl Lnk P1 Inc,0.5003
