Date,Name,NAV
05/06/2011,BlackRock Natural Res Gr & Inc D Inc,0.9967
05/07/2011,BlackRock Natural Res Gr & Inc D Inc,0.9967
05/08/2011,BlackRock Natural Res Gr & Inc D Inc,0.9967
05/09/2011,BlackRock Natural Res Gr & Inc D Inc,0.9967
05/10/2011,BlackRock Natural Res Gr & Inc D Inc,1.011
05/11/2011,BlackRock Natural Res Gr & Inc D Inc,1.007
05/12/2011,BlackRock Natural Res Gr & Inc D Inc,0.9781
05/13/2011,BlackRock Natural Res Gr & Inc D Inc,0.9846
05/14/2011,BlackRock Natural Res Gr & Inc D Inc,0.9846
05/15/2011,BlackRock Natural Res Gr & Inc D Inc,0.9846
05/16/2011,BlackRock Natural Res Gr & Inc D Inc,0.9717
05/17/2011,BlackRock Natural Res Gr & Inc D Inc,0.9748
05/18/2011,BlackRock Natural Res Gr & Inc D Inc,0.9798
05/19/2011,BlackRock Natural Res Gr & Inc D Inc,0.9961
05/20/2011,BlackRock Natural Res Gr & Inc D Inc,0.9916
05/21/2011,BlackRock Natural Res Gr & Inc D Inc,0.9916
05/22/2011,BlackRock Natural Res Gr & Inc D Inc,0.9916
05/23/2011,BlackRock Natural Res Gr & Inc D Inc,0.9761
05/24/2011,BlackRock Natural Res Gr & Inc D Inc,0.982
05/25/2011,BlackRock Natural Res Gr & Inc D Inc,0.9804
05/26/2011,BlackRock Natural Res Gr & Inc D Inc,0.9899
05/27/2011,BlackRock Natural Res Gr & Inc D Inc,0.9939
05/28/2011,BlackRock Natural Res Gr & Inc D Inc,0.9939
05/29/2011,BlackRock Natural Res Gr & Inc D Inc,0.9939
05/30/2011,BlackRock Natural Res Gr & Inc D Inc,0.9939
05/31/2011,BlackRock Natural Res Gr & Inc D Inc,1.005
06/01/2011,BlackRock Natural Res Gr & Inc D Inc,1.012
06/02/2011,BlackRock Natural Res Gr & Inc D Inc,0.9883
06/03/2011,BlackRock Natural Res Gr & Inc D Inc,0.9884
06/04/2011,BlackRock Natural Res Gr & Inc D Inc,0.9884
06/05/2011,BlackRock Natural Res Gr & Inc D Inc,0.9884
06/06/2011,BlackRock Natural Res Gr & Inc D Inc,0.9832
06/07/2011,BlackRock Natural Res Gr & Inc D Inc,0.9783
06/08/2011,BlackRock Natural Res Gr & Inc D Inc,0.9692
06/09/2011,BlackRock Natural Res Gr & Inc D Inc,0.967
06/10/2011,BlackRock Natural Res Gr & Inc D Inc,0.9831
06/11/2011,BlackRock Natural Res Gr & Inc D Inc,0.9831
06/12/2011,BlackRock Natural Res Gr & Inc D Inc,0.9831
06/13/2011,BlackRock Natural Res Gr & Inc D Inc,0.969
06/14/2011,BlackRock Natural Res Gr & Inc D Inc,0.9611
06/15/2011,BlackRock Natural Res Gr & Inc D Inc,0.9757
06/16/2011,BlackRock Natural Res Gr & Inc D Inc,0.9559
06/17/2011,BlackRock Natural Res Gr & Inc D Inc,0.9546
06/18/2011,BlackRock Natural Res Gr & Inc D Inc,0.9546
06/19/2011,BlackRock Natural Res Gr & Inc D Inc,0.9546
06/20/2011,BlackRock Natural Res Gr & Inc D Inc,0.9428
06/21/2011,BlackRock Natural Res Gr & Inc D Inc,0.9574
06/22/2011,BlackRock Natural Res Gr & Inc D Inc,0.9699
06/23/2011,BlackRock Natural Res Gr & Inc D Inc,0.9672
06/24/2011,BlackRock Natural Res Gr & Inc D Inc,0.968
06/25/2011,BlackRock Natural Res Gr & Inc D Inc,0.968
06/26/2011,BlackRock Natural Res Gr & Inc D Inc,0.968
06/27/2011,BlackRock Natural Res Gr & Inc D Inc,0.9578
06/28/2011,BlackRock Natural Res Gr & Inc D Inc,0.9667
06/29/2011,BlackRock Natural Res Gr & Inc D Inc,0.9928
06/30/2011,BlackRock Natural Res Gr & Inc D Inc,1.002
07/01/2011,BlackRock Natural Res Gr & Inc D Inc,1.01
07/02/2011,BlackRock Natural Res Gr & Inc D Inc,1.01
07/03/2011,BlackRock Natural Res Gr & Inc D Inc,1.01
07/04/2011,BlackRock Natural Res Gr & Inc D Inc,1.015
07/05/2011,BlackRock Natural Res Gr & Inc D Inc,1.013
07/06/2011,BlackRock Natural Res Gr & Inc D Inc,1.02
07/07/2011,BlackRock Natural Res Gr & Inc D Inc,1.026
07/08/2011,BlackRock Natural Res Gr & Inc D Inc,1.037
07/09/2011,BlackRock Natural Res Gr & Inc D Inc,1.037
07/10/2011,BlackRock Natural Res Gr & Inc D Inc,1.037
07/11/2011,BlackRock Natural Res Gr & Inc D Inc,1.021
07/12/2011,BlackRock Natural Res Gr & Inc D Inc,1.005
07/13/2011,BlackRock Natural Res Gr & Inc D Inc,1.017
07/14/2011,BlackRock Natural Res Gr & Inc D Inc,1.01
07/15/2011,BlackRock Natural Res Gr & Inc D Inc,1.003
07/16/2011,BlackRock Natural Res Gr & Inc D Inc,1.003
07/17/2011,BlackRock Natural Res Gr & Inc D Inc,1.003
07/18/2011,BlackRock Natural Res Gr & Inc D Inc,1.004
07/19/2011,BlackRock Natural Res Gr & Inc D Inc,1.008
07/20/2011,BlackRock Natural Res Gr & Inc D Inc,1.02
07/21/2011,BlackRock Natural Res Gr & Inc D Inc,1.014
07/22/2011,BlackRock Natural Res Gr & Inc D Inc,1.027
07/23/2011,BlackRock Natural Res Gr & Inc D Inc,1.027
07/24/2011,BlackRock Natural Res Gr & Inc D Inc,1.027
07/25/2011,BlackRock Natural Res Gr & Inc D Inc,1.022
07/26/2011,BlackRock Natural Res Gr & Inc D Inc,1.024
07/27/2011,BlackRock Natural Res Gr & Inc D Inc,1.021
07/28/2011,BlackRock Natural Res Gr & Inc D Inc,1.002
07/29/2011,BlackRock Natural Res Gr & Inc D Inc,0.9957
07/30/2011,BlackRock Natural Res Gr & Inc D Inc,0.9957
07/31/2011,BlackRock Natural Res Gr & Inc D Inc,0.9957
08/01/2011,BlackRock Natural Res Gr & Inc D Inc,1.001
08/02/2011,BlackRock Natural Res Gr & Inc D Inc,0.9799
08/03/2011,BlackRock Natural Res Gr & Inc D Inc,0.9591
08/04/2011,BlackRock Natural Res Gr & Inc D Inc,0.9381
08/05/2011,BlackRock Natural Res Gr & Inc D Inc,0.8941
08/06/2011,BlackRock Natural Res Gr & Inc D Inc,0.8941
08/07/2011,BlackRock Natural Res Gr & Inc D Inc,0.8941
08/08/2011,BlackRock Natural Res Gr & Inc D Inc,0.8628
08/09/2011,BlackRock Natural Res Gr & Inc D Inc,0.8367
08/10/2011,BlackRock Natural Res Gr & Inc D Inc,0.8789
08/11/2011,BlackRock Natural Res Gr & Inc D Inc,0.8689
08/12/2011,BlackRock Natural Res Gr & Inc D Inc,0.8881
08/13/2011,BlackRock Natural Res Gr & Inc D Inc,0.8881
08/14/2011,BlackRock Natural Res Gr & Inc D Inc,0.8881
08/15/2011,BlackRock Natural Res Gr & Inc D Inc,0.9033
08/16/2011,BlackRock Natural Res Gr & Inc D Inc,0.8933
08/17/2011,BlackRock Natural Res Gr & Inc D Inc,0.8998
08/18/2011,BlackRock Natural Res Gr & Inc D Inc,0.8775
08/19/2011,BlackRock Natural Res Gr & Inc D Inc,0.8352
08/20/2011,BlackRock Natural Res Gr & Inc D Inc,0.8352
08/21/2011,BlackRock Natural Res Gr & Inc D Inc,0.8352
08/22/2011,BlackRock Natural Res Gr & Inc D Inc,0.853
08/23/2011,BlackRock Natural Res Gr & Inc D Inc,0.8533
08/24/2011,BlackRock Natural Res Gr & Inc D Inc,0.8567
08/25/2011,BlackRock Natural Res Gr & Inc D Inc,0.8803
08/26/2011,BlackRock Natural Res Gr & Inc D Inc,0.8706
08/27/2011,BlackRock Natural Res Gr & Inc D Inc,0.8706
08/28/2011,BlackRock Natural Res Gr & Inc D Inc,0.8706
08/29/2011,BlackRock Natural Res Gr & Inc D Inc,0.8706
08/30/2011,BlackRock Natural Res Gr & Inc D Inc,0.9067
08/31/2011,BlackRock Natural Res Gr & Inc D Inc,0.9204
09/01/2011,BlackRock Natural Res Gr & Inc D Inc,0.9277
09/02/2011,BlackRock Natural Res Gr & Inc D Inc,0.9148
09/03/2011,BlackRock Natural Res Gr & Inc D Inc,0.9148
09/04/2011,BlackRock Natural Res Gr & Inc D Inc,0.9148
09/05/2011,BlackRock Natural Res Gr & Inc D Inc,0.89
09/06/2011,BlackRock Natural Res Gr & Inc D Inc,0.8895
09/07/2011,BlackRock Natural Res Gr & Inc D Inc,0.9152
09/08/2011,BlackRock Natural Res Gr & Inc D Inc,0.9295
09/09/2011,BlackRock Natural Res Gr & Inc D Inc,0.9215
09/10/2011,BlackRock Natural Res Gr & Inc D Inc,0.9215
09/11/2011,BlackRock Natural Res Gr & Inc D Inc,0.9215
09/12/2011,BlackRock Natural Res Gr & Inc D Inc,0.8806
09/13/2011,BlackRock Natural Res Gr & Inc D Inc,0.8835
09/14/2011,BlackRock Natural Res Gr & Inc D Inc,0.9048
09/15/2011,BlackRock Natural Res Gr & Inc D Inc,0.9158
09/16/2011,BlackRock Natural Res Gr & Inc D Inc,0.9235
09/17/2011,BlackRock Natural Res Gr & Inc D Inc,0.9235
09/18/2011,BlackRock Natural Res Gr & Inc D Inc,0.9235
09/19/2011,BlackRock Natural Res Gr & Inc D Inc,0.9051
09/20/2011,BlackRock Natural Res Gr & Inc D Inc,0.9114
09/21/2011,BlackRock Natural Res Gr & Inc D Inc,0.9007
09/22/2011,BlackRock Natural Res Gr & Inc D Inc,0.8462
09/23/2011,BlackRock Natural Res Gr & Inc D Inc,0.8167
09/24/2011,BlackRock Natural Res Gr & Inc D Inc,0.8167
09/25/2011,BlackRock Natural Res Gr & Inc D Inc,0.8167
09/26/2011,BlackRock Natural Res Gr & Inc D Inc,0.82
09/27/2011,BlackRock Natural Res Gr & Inc D Inc,0.8447
09/28/2011,BlackRock Natural Res Gr & Inc D Inc,0.8495
09/29/2011,BlackRock Natural Res Gr & Inc D Inc,0.8214
09/30/2011,BlackRock Natural Res Gr & Inc D Inc,0.8085
10/01/2011,BlackRock Natural Res Gr & Inc D Inc,0.8085
10/02/2011,BlackRock Natural Res Gr & Inc D Inc,0.8085
10/03/2011,BlackRock Natural Res Gr & Inc D Inc,0.792
10/04/2011,BlackRock Natural Res Gr & Inc D Inc,0.7638
