Date,Name,NAV
12/04/2012,Royal London Sustainable Div C Acc,1
12/05/2012,Royal London Sustainable Div C Acc,0.9973
12/06/2012,Royal London Sustainable Div C Acc,1
12/07/2012,Royal London Sustainable Div C Acc,1.002
12/08/2012,Royal London Sustainable Div C Acc,1.002
12/09/2012,Royal London Sustainable Div C Acc,1.002
12/10/2012,Royal London Sustainable Div C Acc,1.002
12/11/2012,Royal London Sustainable Div C Acc,1.001
12/12/2012,Royal London Sustainable Div C Acc,1
12/13/2012,Royal London Sustainable Div C Acc,1.002
12/14/2012,Royal London Sustainable Div C Acc,1
12/15/2012,Royal London Sustainable Div C Acc,1
12/16/2012,Royal London Sustainable Div C Acc,1
12/17/2012,Royal London Sustainable Div C Acc,0.9961
12/18/2012,Royal London Sustainable Div C Acc,0.9971
12/19/2012,Royal London Sustainable Div C Acc,0.9975
12/20/2012,Royal London Sustainable Div C Acc,0.9988
12/21/2012,Royal London Sustainable Div C Acc,0.9985
12/22/2012,Royal London Sustainable Div C Acc,0.9985
12/23/2012,Royal London Sustainable Div C Acc,0.9985
12/24/2012,Royal London Sustainable Div C Acc,0.9993
12/25/2012,Royal London Sustainable Div C Acc,0.9993
12/26/2012,Royal London Sustainable Div C Acc,0.9993
12/27/2012,Royal London Sustainable Div C Acc,0.9995
12/28/2012,Royal London Sustainable Div C Acc,1.002
12/29/2012,Royal London Sustainable Div C Acc,1.002
12/30/2012,Royal London Sustainable Div C Acc,1.002
12/31/2012,Royal London Sustainable Div C Acc,0.9999
01/01/2013,Royal London Sustainable Div C Acc,0.9999
01/02/2013,Royal London Sustainable Div C Acc,1.001
01/03/2013,Royal London Sustainable Div C Acc,1.002
01/04/2013,Royal London Sustainable Div C Acc,1
01/05/2013,Royal London Sustainable Div C Acc,1
01/06/2013,Royal London Sustainable Div C Acc,1
01/07/2013,Royal London Sustainable Div C Acc,1.005
01/08/2013,Royal London Sustainable Div C Acc,1.008
01/09/2013,Royal London Sustainable Div C Acc,1.01
01/10/2013,Royal London Sustainable Div C Acc,1.011
01/11/2013,Royal London Sustainable Div C Acc,1.012
01/12/2013,Royal London Sustainable Div C Acc,1.012
01/13/2013,Royal London Sustainable Div C Acc,1.012
01/14/2013,Royal London Sustainable Div C Acc,1.015
01/15/2013,Royal London Sustainable Div C Acc,1.015
01/16/2013,Royal London Sustainable Div C Acc,1.014
01/17/2013,Royal London Sustainable Div C Acc,1.014
01/18/2013,Royal London Sustainable Div C Acc,1.019
01/19/2013,Royal London Sustainable Div C Acc,1.019
01/20/2013,Royal London Sustainable Div C Acc,1.019
01/21/2013,Royal London Sustainable Div C Acc,1.02
01/22/2013,Royal London Sustainable Div C Acc,1.021
01/23/2013,Royal London Sustainable Div C Acc,1.024
