Date,Name,NAV
03/18/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5
03/19/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5
03/20/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5
03/21/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5261
03/22/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5262
03/23/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5262
03/24/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5263
03/25/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5263
03/26/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5263
03/27/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5263
03/28/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5264
03/29/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5264
03/30/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5265
03/31/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5277
04/01/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5278
04/02/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5278
04/03/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5278
04/04/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5279
04/05/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5279
04/06/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.528
04/07/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.528
04/08/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.528
04/09/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.528
04/10/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.528
04/11/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5282
04/12/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5282
04/13/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5282
04/14/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5283
04/15/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5283
04/16/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5283
04/17/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5283
04/18/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5284
04/19/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5284
04/20/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5285
04/21/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5285
04/22/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5286
04/23/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5286
04/24/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5286
04/25/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5287
04/26/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5288
04/27/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5288
04/28/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5288
04/29/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5293
04/30/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5293
05/01/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5293
05/02/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5276
05/03/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5276
05/04/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5276
05/05/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5272
05/06/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5273
05/07/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5273
05/08/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5273
05/09/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5274
05/10/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5274
05/11/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5274
05/12/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5275
05/13/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.501
05/14/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.501
05/15/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.501
05/16/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5011
05/17/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5012
05/18/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.502
05/19/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.502
05/20/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5012
05/21/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5012
05/22/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5012
05/23/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5012
05/24/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5013
05/25/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5013
05/26/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5013
05/27/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5013
05/28/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5013
05/29/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5013
05/30/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5014
05/31/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5013
06/01/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5009
06/02/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5009
06/03/2016,SLI UK Real Estt Accumulation Fdr P1Inc,0.5009
