Date,Name,Close,High,Low,Open,Volume
12/01/1995,Allianz Technology Trust Ord,0.1,,,,
12/02/1995,Allianz Technology Trust Ord,0.1,,,,
12/03/1995,Allianz Technology Trust Ord,0.1,,,,
12/04/1995,Allianz Technology Trust Ord,0.1,,,,
12/05/1995,Allianz Technology Trust Ord,0.1,,,,
12/06/1995,Allianz Technology Trust Ord,0.1,,,,
12/07/1995,Allianz Technology Trust Ord,0.1,,,,
12/08/1995,Allianz Technology Trust Ord,0.1,,,,
12/09/1995,Allianz Technology Trust Ord,0.1,,,,
12/10/1995,Allianz Technology Trust Ord,0.1,,,,
12/11/1995,Allianz Technology Trust Ord,0.102,,,,
12/12/1995,Allianz Technology Trust Ord,0.102,,,,
12/13/1995,Allianz Technology Trust Ord,0.102,,,,
12/14/1995,Allianz Technology Trust Ord,0.102,,,,
12/15/1995,Allianz Technology Trust Ord,0.102,,,,
12/16/1995,Allianz Technology Trust Ord,0.102,,,,
12/17/1995,Allianz Technology Trust Ord,0.102,,,,
12/18/1995,Allianz Technology Trust Ord,0.101,,,,
12/19/1995,Allianz Technology Trust Ord,0.102,,,,
12/20/1995,Allianz Technology Trust Ord,0.102,,,,
12/21/1995,Allianz Technology Trust Ord,0.102,,,,
12/22/1995,Allianz Technology Trust Ord,0.102,,,,
12/23/1995,Allianz Technology Trust Ord,0.102,,,,
12/24/1995,Allianz Technology Trust Ord,0.102,,,,
12/25/1995,Allianz Technology Trust Ord,0.102,,,,
12/26/1995,Allianz Technology Trust Ord,0.103,,,,
12/27/1995,Allianz Technology Trust Ord,0.103,,,,
12/28/1995,Allianz Technology Trust Ord,0.103,,,,
12/29/1995,Allianz Technology Trust Ord,0.103,,,,
12/30/1995,Allianz Technology Trust Ord,0.103,,,,
12/31/1995,Allianz Technology Trust Ord,0.103,,,,
01/01/1996,Allianz Technology Trust Ord,0.103,,,,
01/02/1996,Allianz Technology Trust Ord,0.103,,,,
01/03/1996,Allianz Technology Trust Ord,0.104,,,,
01/04/1996,Allianz Technology Trust Ord,0.106,,,,
01/05/1996,Allianz Technology Trust Ord,0.106,,,,
01/06/1996,Allianz Technology Trust Ord,0.106,,,,
01/07/1996,Allianz Technology Trust Ord,0.106,,,,
01/08/1996,Allianz Technology Trust Ord,0.106,,,,
