Date,Name,Close,High,Low,Open,Volume
12/29/1989,HgCapital Trust Ord,0.103,,,,
12/30/1989,HgCapital Trust Ord,0.103,,,,
12/31/1989,HgCapital Trust Ord,0.103,,,,
01/01/1990,HgCapital Trust Ord,0.103,,,,
01/02/1990,HgCapital Trust Ord,0.103,,,,
01/03/1990,HgCapital Trust Ord,0.103,,,,
01/04/1990,HgCapital Trust Ord,0.103,,,,
01/05/1990,HgCapital Trust Ord,0.103,,,,
01/06/1990,HgCapital Trust Ord,0.103,,,,
01/07/1990,HgCapital Trust Ord,0.103,,,,
01/08/1990,HgCapital Trust Ord,0.103,,,,
01/09/1990,HgCapital Trust Ord,0.103,,,,
01/10/1990,HgCapital Trust Ord,0.103,,,,
01/11/1990,HgCapital Trust Ord,0.103,,,,
01/12/1990,HgCapital Trust Ord,0.103,,,,
01/13/1990,HgCapital Trust Ord,0.103,,,,
01/14/1990,HgCapital Trust Ord,0.103,,,,
01/15/1990,HgCapital Trust Ord,0.103,,,,
01/16/1990,HgCapital Trust Ord,0.103,,,,
01/17/1990,HgCapital Trust Ord,0.103,,,,
01/18/1990,HgCapital Trust Ord,0.103,,,,
01/19/1990,HgCapital Trust Ord,0.103,,,,
01/20/1990,HgCapital Trust Ord,0.103,,,,
01/21/1990,HgCapital Trust Ord,0.103,,,,
01/22/1990,HgCapital Trust Ord,0.103,,,,
01/23/1990,HgCapital Trust Ord,0.103,,,,
01/24/1990,HgCapital Trust Ord,0.103,,,,
01/25/1990,HgCapital Trust Ord,0.103,,,,
01/26/1990,HgCapital Trust Ord,0.103,,,,
01/27/1990,HgCapital Trust Ord,0.103,,,,
01/28/1990,HgCapital Trust Ord,0.103,,,,
01/29/1990,HgCapital Trust Ord,0.103,,,,
01/30/1990,HgCapital Trust Ord,0.103,,,,
01/31/1990,HgCapital Trust Ord,0.107,,,,
02/01/1990,HgCapital Trust Ord,0.107,,,,
02/02/1990,HgCapital Trust Ord,0.107,,,,
02/03/1990,HgCapital Trust Ord,0.107,,,,
02/04/1990,HgCapital Trust Ord,0.107,,,,
02/05/1990,HgCapital Trust Ord,0.107,,,,
02/06/1990,HgCapital Trust Ord,0.107,,,,
02/07/1990,HgCapital Trust Ord,0.107,,,,
02/08/1990,HgCapital Trust Ord,0.107,,,,
