Date,Name,Close,High,Low,Open,Volume
12/15/1993,BlackRock World Mining Trust Ord,0.975,,,,
12/16/1993,BlackRock World Mining Trust Ord,1.005,,,,
12/17/1993,BlackRock World Mining Trust Ord,1.02524,,,,
12/18/1993,BlackRock World Mining Trust Ord,1.02524,,,,
12/19/1993,BlackRock World Mining Trust Ord,1.02524,,,,
12/20/1993,BlackRock World Mining Trust Ord,1.06,,,,
12/21/1993,BlackRock World Mining Trust Ord,1.04,,,,
12/22/1993,BlackRock World Mining Trust Ord,1.04,,,,
12/23/1993,BlackRock World Mining Trust Ord,1.05,,,,
12/24/1993,BlackRock World Mining Trust Ord,1.02524,,,,
12/25/1993,BlackRock World Mining Trust Ord,1.02524,,,,
12/26/1993,BlackRock World Mining Trust Ord,1.02524,,,,
12/27/1993,BlackRock World Mining Trust Ord,1.05,,,,
12/28/1993,BlackRock World Mining Trust Ord,1.05,,,,
12/29/1993,BlackRock World Mining Trust Ord,1.07,,,,
12/30/1993,BlackRock World Mining Trust Ord,1.07,,,,
12/31/1993,BlackRock World Mining Trust Ord,1.04487,,,,
01/01/1994,BlackRock World Mining Trust Ord,1.04487,,,,
01/02/1994,BlackRock World Mining Trust Ord,1.04487,,,,
01/03/1994,BlackRock World Mining Trust Ord,1.07,,,,
01/04/1994,BlackRock World Mining Trust Ord,1.1,,,,
01/05/1994,BlackRock World Mining Trust Ord,1.15,,,,
01/06/1994,BlackRock World Mining Trust Ord,1.15,,,,
01/07/1994,BlackRock World Mining Trust Ord,1.14298,,,,
01/08/1994,BlackRock World Mining Trust Ord,1.14298,,,,
01/09/1994,BlackRock World Mining Trust Ord,1.14298,,,,
01/10/1994,BlackRock World Mining Trust Ord,1.15,,,,
01/11/1994,BlackRock World Mining Trust Ord,1.145,,,,
01/12/1994,BlackRock World Mining Trust Ord,1.115,,,,
01/13/1994,BlackRock World Mining Trust Ord,1.12,,,,
01/14/1994,BlackRock World Mining Trust Ord,1.11354,,,,
01/15/1994,BlackRock World Mining Trust Ord,1.11354,,,,
01/16/1994,BlackRock World Mining Trust Ord,1.11354,,,,
01/17/1994,BlackRock World Mining Trust Ord,1.15,,,,
01/18/1994,BlackRock World Mining Trust Ord,1.19,,,,
01/19/1994,BlackRock World Mining Trust Ord,1.245,,,,
01/20/1994,BlackRock World Mining Trust Ord,1.21,,,,
01/21/1994,BlackRock World Mining Trust Ord,1.1626,,,,
01/22/1994,BlackRock World Mining Trust Ord,1.1626,,,,
01/23/1994,BlackRock World Mining Trust Ord,1.1626,,,,
01/24/1994,BlackRock World Mining Trust Ord,1.165,,,,
01/25/1994,BlackRock World Mining Trust Ord,1.17,,,,
01/26/1994,BlackRock World Mining Trust Ord,1.175,,,,
01/27/1994,BlackRock World Mining Trust Ord,1.17,,,,
01/28/1994,BlackRock World Mining Trust Ord,1.13317,,,,
01/29/1994,BlackRock World Mining Trust Ord,1.13317,,,,
01/30/1994,BlackRock World Mining Trust Ord,1.13317,,,,
01/31/1994,BlackRock World Mining Trust Ord,1.14298,,,,
02/01/1994,BlackRock World Mining Trust Ord,1.165,,,,
02/02/1994,BlackRock World Mining Trust Ord,1.18,,,,
02/03/1994,BlackRock World Mining Trust Ord,1.175,,,,
02/04/1994,BlackRock World Mining Trust Ord,1.15279,,,,
02/05/1994,BlackRock World Mining Trust Ord,1.15279,,,,
02/06/1994,BlackRock World Mining Trust Ord,1.15279,,,,
02/07/1994,BlackRock World Mining Trust Ord,1.14,,,,
02/08/1994,BlackRock World Mining Trust Ord,1.155,,,,
02/09/1994,BlackRock World Mining Trust Ord,1.13,,,,
02/10/1994,BlackRock World Mining Trust Ord,1.09,,,,
02/11/1994,BlackRock World Mining Trust Ord,1.06449,,,,
02/12/1994,BlackRock World Mining Trust Ord,1.06449,,,,
02/13/1994,BlackRock World Mining Trust Ord,1.06449,,,,
02/14/1994,BlackRock World Mining Trust Ord,1.07,,,,
02/15/1994,BlackRock World Mining Trust Ord,1.07,,,,
02/16/1994,BlackRock World Mining Trust Ord,1.09,,,,
02/17/1994,BlackRock World Mining Trust Ord,1.1,,,,
02/18/1994,BlackRock World Mining Trust Ord,1.0743,,,,
02/19/1994,BlackRock World Mining Trust Ord,1.0743,,,,
02/20/1994,BlackRock World Mining Trust Ord,1.0743,,,,
02/21/1994,BlackRock World Mining Trust Ord,1.095,,,,
02/22/1994,BlackRock World Mining Trust Ord,1.1,,,,
02/23/1994,BlackRock World Mining Trust Ord,1.12,,,,
02/24/1994,BlackRock World Mining Trust Ord,1.1,,,,
02/25/1994,BlackRock World Mining Trust Ord,1.08411,,,,
02/26/1994,BlackRock World Mining Trust Ord,1.08411,,,,
02/27/1994,BlackRock World Mining Trust Ord,1.08411,,,,
02/28/1994,BlackRock World Mining Trust Ord,1.08411,,,,
03/01/1994,BlackRock World Mining Trust Ord,1.12,,,,
03/02/1994,BlackRock World Mining Trust Ord,1.12,,,,
03/03/1994,BlackRock World Mining Trust Ord,1.12,,,,
03/04/1994,BlackRock World Mining Trust Ord,1.09392,,,,
03/05/1994,BlackRock World Mining Trust Ord,1.09392,,,,
