Date,Name,Close,High,Low,Open,Volume
08/02/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.605,,,,
08/03/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.485,,,,
08/04/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.335,,,,
08/05/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.275,,,,
08/06/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.275,,,,
08/07/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.275,,,,
08/08/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.075,,,,
08/09/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.145,,,,
08/10/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.115,,,,
08/11/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.765,,,,
08/12/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.555,,,,
08/13/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.555,,,,
08/14/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.555,,,,
08/15/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.675,,,,
08/16/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.6275,,,,
08/17/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.595,,,,
08/18/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.635,,,,
08/19/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.785,,,,
08/20/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.785,,,,
08/21/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.785,,,,
08/22/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.675,,,,
08/23/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.535,,,,
08/24/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.755,,,,
08/25/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.435,,,,
08/26/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.285,,,,
08/27/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.285,,,,
08/28/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.285,,,,
08/29/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.285,,,,
08/30/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.525,,,,
08/31/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.525,,,,
09/01/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.435,,,,
09/02/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.155,,,,
09/03/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.155,,,,
09/04/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.155,,,,
09/05/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.205,,,,
09/06/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.385,,,,
09/07/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.46,,,,
09/08/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.565,,,,
09/09/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.575,,,,
09/10/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.575,,,,
09/11/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.575,,,,
09/12/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.865,,,,
09/13/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.805,,,,
09/14/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.765,,,,
09/15/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.825,,,,
09/16/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.785,,,,
09/17/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.785,,,,
09/18/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.785,,,,
09/19/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.685,,,,
09/20/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.945,,,,
09/21/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.425,,,,
09/22/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.455,,,,
09/23/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.785,,,,
09/24/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.785,,,,
09/25/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.785,,,,
09/26/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.005,,,,
09/27/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.945,,,,
09/28/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.065,,,,
09/29/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.005,,,,
09/30/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.295,,,,
10/01/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.295,,,,
10/02/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.295,,,,
10/03/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.665,,,,
10/04/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.725,,,,
10/05/2005,Invesco EQQQ NASDAQ-100 ETF GBP,22.195,,,,
10/06/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.895,,,,
10/07/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.845,,,,
10/08/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.845,,,,
10/09/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.845,,,,
10/10/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.845,,,,
10/11/2005,Invesco EQQQ NASDAQ-100 ETF GBP,21.775,,,,
