Date,Name,Close,High,Low,Open,Volume
06/13/1996,Fidelity Asian Values Ord,1,,,,
06/14/1996,Fidelity Asian Values Ord,1,,,,
06/15/1996,Fidelity Asian Values Ord,1,,,,
06/16/1996,Fidelity Asian Values Ord,1,,,,
06/17/1996,Fidelity Asian Values Ord,0.935,,,,
06/18/1996,Fidelity Asian Values Ord,0.925,,,,
06/19/1996,Fidelity Asian Values Ord,0.925,,,,
06/20/1996,Fidelity Asian Values Ord,0.92,,,,
06/21/1996,Fidelity Asian Values Ord,0.92,,,,
06/22/1996,Fidelity Asian Values Ord,0.92,,,,
06/23/1996,Fidelity Asian Values Ord,0.92,,,,
06/24/1996,Fidelity Asian Values Ord,0.92,,,,
06/25/1996,Fidelity Asian Values Ord,0.92,,,,
06/26/1996,Fidelity Asian Values Ord,0.92,,,,
06/27/1996,Fidelity Asian Values Ord,0.92,,,,
06/28/1996,Fidelity Asian Values Ord,0.92,,,,
06/29/1996,Fidelity Asian Values Ord,0.92,,,,
06/30/1996,Fidelity Asian Values Ord,0.92,,,,
07/01/1996,Fidelity Asian Values Ord,0.9275,,,,
07/02/1996,Fidelity Asian Values Ord,0.935,,,,
07/03/1996,Fidelity Asian Values Ord,0.93,,,,
07/04/1996,Fidelity Asian Values Ord,0.935,,,,
07/05/1996,Fidelity Asian Values Ord,0.915,,,,
07/06/1996,Fidelity Asian Values Ord,0.915,,,,
07/07/1996,Fidelity Asian Values Ord,0.915,,,,
07/08/1996,Fidelity Asian Values Ord,0.915,,,,
07/09/1996,Fidelity Asian Values Ord,0.915,,,,
07/10/1996,Fidelity Asian Values Ord,0.92,,,,
07/11/1996,Fidelity Asian Values Ord,0.92,,,,
07/12/1996,Fidelity Asian Values Ord,0.92,,,,
07/13/1996,Fidelity Asian Values Ord,0.92,,,,
07/14/1996,Fidelity Asian Values Ord,0.92,,,,
07/15/1996,Fidelity Asian Values Ord,0.92,,,,
07/16/1996,Fidelity Asian Values Ord,0.91,,,,
07/17/1996,Fidelity Asian Values Ord,0.91,,,,
07/18/1996,Fidelity Asian Values Ord,0.9175,,,,
07/19/1996,Fidelity Asian Values Ord,0.925,,,,
07/20/1996,Fidelity Asian Values Ord,0.925,,,,
07/21/1996,Fidelity Asian Values Ord,0.925,,,,
07/22/1996,Fidelity Asian Values Ord,0.92,,,,
07/23/1996,Fidelity Asian Values Ord,0.91,,,,
07/24/1996,Fidelity Asian Values Ord,0.9,,,,
07/25/1996,Fidelity Asian Values Ord,0.9,,,,
07/26/1996,Fidelity Asian Values Ord,0.895,,,,
07/27/1996,Fidelity Asian Values Ord,0.895,,,,
07/28/1996,Fidelity Asian Values Ord,0.895,,,,
07/29/1996,Fidelity Asian Values Ord,0.895,,,,
07/30/1996,Fidelity Asian Values Ord,0.885,,,,
07/31/1996,Fidelity Asian Values Ord,0.885,,,,
08/01/1996,Fidelity Asian Values Ord,0.89,,,,
08/02/1996,Fidelity Asian Values Ord,0.895,,,,
08/03/1996,Fidelity Asian Values Ord,0.895,,,,
08/04/1996,Fidelity Asian Values Ord,0.895,,,,
08/05/1996,Fidelity Asian Values Ord,0.895,,,,
08/06/1996,Fidelity Asian Values Ord,0.895,,,,
08/07/1996,Fidelity Asian Values Ord,0.895,,,,
08/08/1996,Fidelity Asian Values Ord,0.895,,,,
08/09/1996,Fidelity Asian Values Ord,0.8975,,,,
08/10/1996,Fidelity Asian Values Ord,0.8975,,,,
08/11/1996,Fidelity Asian Values Ord,0.8975,,,,
08/12/1996,Fidelity Asian Values Ord,0.91,,,,
08/13/1996,Fidelity Asian Values Ord,0.915,,,,
08/14/1996,Fidelity Asian Values Ord,0.91,,,,
08/15/1996,Fidelity Asian Values Ord,0.91,,,,
08/16/1996,Fidelity Asian Values Ord,0.91,,,,
08/17/1996,Fidelity Asian Values Ord,0.91,,,,
08/18/1996,Fidelity Asian Values Ord,0.91,,,,
08/19/1996,Fidelity Asian Values Ord,0.915,,,,
08/20/1996,Fidelity Asian Values Ord,0.915,,,,
08/21/1996,Fidelity Asian Values Ord,0.92,,,,
08/22/1996,Fidelity Asian Values Ord,0.92,,,,
08/23/1996,Fidelity Asian Values Ord,0.92,,,,
08/24/1996,Fidelity Asian Values Ord,0.92,,,,
08/25/1996,Fidelity Asian Values Ord,0.92,,,,
08/26/1996,Fidelity Asian Values Ord,0.92,,,,
08/27/1996,Fidelity Asian Values Ord,0.915,,,,
08/28/1996,Fidelity Asian Values Ord,0.905,,,,
08/29/1996,Fidelity Asian Values Ord,0.905,,,,
08/30/1996,Fidelity Asian Values Ord,0.92,,,,
08/31/1996,Fidelity Asian Values Ord,0.92,,,,
09/01/1996,Fidelity Asian Values Ord,0.92,,,,
09/02/1996,Fidelity Asian Values Ord,0.9,,,,
09/03/1996,Fidelity Asian Values Ord,0.895,,,,
09/04/1996,Fidelity Asian Values Ord,0.9075,,,,
09/05/1996,Fidelity Asian Values Ord,0.905,,,,
09/06/1996,Fidelity Asian Values Ord,0.91,,,,
09/07/1996,Fidelity Asian Values Ord,0.91,,,,
09/08/1996,Fidelity Asian Values Ord,0.91,,,,
09/09/1996,Fidelity Asian Values Ord,0.9125,,,,
09/10/1996,Fidelity Asian Values Ord,0.9175,,,,
09/11/1996,Fidelity Asian Values Ord,0.9175,,,,
09/12/1996,Fidelity Asian Values Ord,0.9175,,,,
09/13/1996,Fidelity Asian Values Ord,0.9275,,,,
09/14/1996,Fidelity Asian Values Ord,0.9275,,,,
09/15/1996,Fidelity Asian Values Ord,0.9275,,,,
09/16/1996,Fidelity Asian Values Ord,0.935,,,,
09/17/1996,Fidelity Asian Values Ord,0.9375,,,,
09/18/1996,Fidelity Asian Values Ord,0.94,,,,
09/19/1996,Fidelity Asian Values Ord,0.945,,,,
09/20/1996,Fidelity Asian Values Ord,0.9475,,,,
09/21/1996,Fidelity Asian Values Ord,0.9475,,,,
09/22/1996,Fidelity Asian Values Ord,0.9475,,,,
09/23/1996,Fidelity Asian Values Ord,0.945,,,,
09/24/1996,Fidelity Asian Values Ord,0.945,,,,
09/25/1996,Fidelity Asian Values Ord,0.945,,,,
09/26/1996,Fidelity Asian Values Ord,0.945,,,,
09/27/1996,Fidelity Asian Values Ord,0.955,,,,
09/28/1996,Fidelity Asian Values Ord,0.955,,,,
09/29/1996,Fidelity Asian Values Ord,0.955,,,,
09/30/1996,Fidelity Asian Values Ord,0.958,,,,
10/01/1996,Fidelity Asian Values Ord,0.965,,,,
10/02/1996,Fidelity Asian Values Ord,0.9725,,,,
10/03/1996,Fidelity Asian Values Ord,0.975,,,,
10/04/1996,Fidelity Asian Values Ord,0.975,,,,
10/05/1996,Fidelity Asian Values Ord,0.975,,,,
10/06/1996,Fidelity Asian Values Ord,0.975,,,,
10/07/1996,Fidelity Asian Values Ord,0.99,,,,
10/08/1996,Fidelity Asian Values Ord,0.995,,,,
10/09/1996,Fidelity Asian Values Ord,0.9975,,,,
10/10/1996,Fidelity Asian Values Ord,0.995,,,,
10/11/1996,Fidelity Asian Values Ord,0.995,,,,
10/12/1996,Fidelity Asian Values Ord,0.995,,,,
10/13/1996,Fidelity Asian Values Ord,0.995,,,,
10/14/1996,Fidelity Asian Values Ord,0.9975,,,,
10/15/1996,Fidelity Asian Values Ord,1,,,,
10/16/1996,Fidelity Asian Values Ord,0.9975,,,,
10/17/1996,Fidelity Asian Values Ord,0.9975,,,,
10/18/1996,Fidelity Asian Values Ord,0.9975,,,,
10/19/1996,Fidelity Asian Values Ord,0.9975,,,,
10/20/1996,Fidelity Asian Values Ord,0.9975,,,,
10/21/1996,Fidelity Asian Values Ord,0.9975,,,,
10/22/1996,Fidelity Asian Values Ord,0.9925,,,,
10/23/1996,Fidelity Asian Values Ord,0.9925,,,,
10/24/1996,Fidelity Asian Values Ord,0.9925,,,,
