Date,Name,Close,High,Low,Open,Volume
04/19/2010,Fidelity China Special Ord,1.01,,,,
04/20/2010,Fidelity China Special Ord,1.0125,,,,
04/21/2010,Fidelity China Special Ord,1.01,,,,
04/22/2010,Fidelity China Special Ord,1.0025,,,,
04/23/2010,Fidelity China Special Ord,1.005,,,,
04/24/2010,Fidelity China Special Ord,1.005,,,,
04/25/2010,Fidelity China Special Ord,1.005,,,,
04/26/2010,Fidelity China Special Ord,1.005,,,,
04/27/2010,Fidelity China Special Ord,1.0025,,,,
04/28/2010,Fidelity China Special Ord,0.9925,,,,
04/29/2010,Fidelity China Special Ord,0.995,,,,
04/30/2010,Fidelity China Special Ord,0.995,,,,
05/01/2010,Fidelity China Special Ord,0.995,,,,
05/02/2010,Fidelity China Special Ord,0.995,,,,
05/03/2010,Fidelity China Special Ord,0.995,,,,
05/04/2010,Fidelity China Special Ord,0.98,,,,
05/05/2010,Fidelity China Special Ord,0.9725,,,,
05/06/2010,Fidelity China Special Ord,0.955,,,,
05/07/2010,Fidelity China Special Ord,0.9425,,,,
05/08/2010,Fidelity China Special Ord,0.9425,,,,
05/09/2010,Fidelity China Special Ord,0.9425,,,,
05/10/2010,Fidelity China Special Ord,0.9625,,,,
05/11/2010,Fidelity China Special Ord,0.965,,,,
05/12/2010,Fidelity China Special Ord,0.965,,,,
05/13/2010,Fidelity China Special Ord,0.97,,,,
05/14/2010,Fidelity China Special Ord,0.9625,,,,
05/15/2010,Fidelity China Special Ord,0.9625,,,,
05/16/2010,Fidelity China Special Ord,0.9625,,,,
05/17/2010,Fidelity China Special Ord,0.96,,,,
05/18/2010,Fidelity China Special Ord,0.9625,,,,
05/19/2010,Fidelity China Special Ord,0.9475,,,,
05/20/2010,Fidelity China Special Ord,0.9375,,,,
05/21/2010,Fidelity China Special Ord,0.9325,,,,
05/22/2010,Fidelity China Special Ord,0.9325,,,,
05/23/2010,Fidelity China Special Ord,0.9325,,,,
05/24/2010,Fidelity China Special Ord,0.94,,,,
05/25/2010,Fidelity China Special Ord,0.9225,,,,
05/26/2010,Fidelity China Special Ord,0.935,,,,
05/27/2010,Fidelity China Special Ord,0.95,,,,
05/28/2010,Fidelity China Special Ord,0.97,,,,
05/29/2010,Fidelity China Special Ord,0.97,,,,
05/30/2010,Fidelity China Special Ord,0.97,,,,
