Date,Name,Close,High,Low,Open,Volume
10/19/1993,JPMorgan China Growth & Income Ord,0.96,,,,
10/20/1993,JPMorgan China Growth & Income Ord,0.96,,,,
10/21/1993,JPMorgan China Growth & Income Ord,0.97,,,,
10/22/1993,JPMorgan China Growth & Income Ord,0.96,,,,
10/23/1993,JPMorgan China Growth & Income Ord,0.96,,,,
10/24/1993,JPMorgan China Growth & Income Ord,0.96,,,,
10/25/1993,JPMorgan China Growth & Income Ord,0.95,,,,
10/26/1993,JPMorgan China Growth & Income Ord,0.95,,,,
10/27/1993,JPMorgan China Growth & Income Ord,0.94,,,,
10/28/1993,JPMorgan China Growth & Income Ord,0.94,,,,
10/29/1993,JPMorgan China Growth & Income Ord,0.935,,,,
10/30/1993,JPMorgan China Growth & Income Ord,0.935,,,,
10/31/1993,JPMorgan China Growth & Income Ord,0.935,,,,
11/01/1993,JPMorgan China Growth & Income Ord,0.95,,,,
11/02/1993,JPMorgan China Growth & Income Ord,0.95,,,,
11/03/1993,JPMorgan China Growth & Income Ord,0.95,,,,
11/04/1993,JPMorgan China Growth & Income Ord,0.94,,,,
11/05/1993,JPMorgan China Growth & Income Ord,0.91,,,,
11/06/1993,JPMorgan China Growth & Income Ord,0.91,,,,
11/07/1993,JPMorgan China Growth & Income Ord,0.91,,,,
11/08/1993,JPMorgan China Growth & Income Ord,0.915,,,,
11/09/1993,JPMorgan China Growth & Income Ord,0.915,,,,
11/10/1993,JPMorgan China Growth & Income Ord,0.94,,,,
11/11/1993,JPMorgan China Growth & Income Ord,0.97,,,,
11/12/1993,JPMorgan China Growth & Income Ord,0.985,,,,
11/13/1993,JPMorgan China Growth & Income Ord,0.985,,,,
11/14/1993,JPMorgan China Growth & Income Ord,0.985,,,,
11/15/1993,JPMorgan China Growth & Income Ord,0.985,,,,
11/16/1993,JPMorgan China Growth & Income Ord,0.985,,,,
11/17/1993,JPMorgan China Growth & Income Ord,0.985,,,,
11/18/1993,JPMorgan China Growth & Income Ord,1,,,,
11/19/1993,JPMorgan China Growth & Income Ord,1.025,,,,
11/20/1993,JPMorgan China Growth & Income Ord,1.025,,,,
11/21/1993,JPMorgan China Growth & Income Ord,1.025,,,,
11/22/1993,JPMorgan China Growth & Income Ord,1.025,,,,
11/23/1993,JPMorgan China Growth & Income Ord,1.04,,,,
11/24/1993,JPMorgan China Growth & Income Ord,1.07,,,,
11/25/1993,JPMorgan China Growth & Income Ord,1.1,,,,
11/26/1993,JPMorgan China Growth & Income Ord,1.065,,,,
11/27/1993,JPMorgan China Growth & Income Ord,1.065,,,,
11/28/1993,JPMorgan China Growth & Income Ord,1.065,,,,
11/29/1993,JPMorgan China Growth & Income Ord,1.06,,,,
11/30/1993,JPMorgan China Growth & Income Ord,1.065,,,,
12/01/1993,JPMorgan China Growth & Income Ord,1.1,,,,
12/02/1993,JPMorgan China Growth & Income Ord,1.1,,,,
12/03/1993,JPMorgan China Growth & Income Ord,1.1,,,,
12/04/1993,JPMorgan China Growth & Income Ord,1.1,,,,
12/05/1993,JPMorgan China Growth & Income Ord,1.1,,,,
12/06/1993,JPMorgan China Growth & Income Ord,1.13,,,,
12/07/1993,JPMorgan China Growth & Income Ord,1.16,,,,
12/08/1993,JPMorgan China Growth & Income Ord,1.19,,,,
12/09/1993,JPMorgan China Growth & Income Ord,1.22,,,,
12/10/1993,JPMorgan China Growth & Income Ord,1.205,,,,
12/11/1993,JPMorgan China Growth & Income Ord,1.205,,,,
12/12/1993,JPMorgan China Growth & Income Ord,1.205,,,,
12/13/1993,JPMorgan China Growth & Income Ord,1.19,,,,
12/14/1993,JPMorgan China Growth & Income Ord,1.21,,,,
12/15/1993,JPMorgan China Growth & Income Ord,1.21,,,,
12/16/1993,JPMorgan China Growth & Income Ord,1.23,,,,
12/17/1993,JPMorgan China Growth & Income Ord,1.25,,,,
12/18/1993,JPMorgan China Growth & Income Ord,1.25,,,,
12/19/1993,JPMorgan China Growth & Income Ord,1.25,,,,
12/20/1993,JPMorgan China Growth & Income Ord,1.26,,,,
12/21/1993,JPMorgan China Growth & Income Ord,1.24,,,,
12/22/1993,JPMorgan China Growth & Income Ord,1.25,,,,
12/23/1993,JPMorgan China Growth & Income Ord,1.27,,,,
12/24/1993,JPMorgan China Growth & Income Ord,1.27,,,,
12/25/1993,JPMorgan China Growth & Income Ord,1.27,,,,
12/26/1993,JPMorgan China Growth & Income Ord,1.27,,,,
12/27/1993,JPMorgan China Growth & Income Ord,1.27,,,,
12/28/1993,JPMorgan China Growth & Income Ord,1.29,,,,
12/29/1993,JPMorgan China Growth & Income Ord,1.39,,,,
12/30/1993,JPMorgan China Growth & Income Ord,1.4,,,,
12/31/1993,JPMorgan China Growth & Income Ord,1.4,,,,
01/01/1994,JPMorgan China Growth & Income Ord,1.4,,,,
01/02/1994,JPMorgan China Growth & Income Ord,1.4,,,,
01/03/1994,JPMorgan China Growth & Income Ord,1.4,,,,
01/04/1994,JPMorgan China Growth & Income Ord,1.41,,,,
01/05/1994,JPMorgan China Growth & Income Ord,1.45,,,,
01/06/1994,JPMorgan China Growth & Income Ord,1.37,,,,
01/07/1994,JPMorgan China Growth & Income Ord,1.3,,,,
01/08/1994,JPMorgan China Growth & Income Ord,1.3,,,,
01/09/1994,JPMorgan China Growth & Income Ord,1.3,,,,
01/10/1994,JPMorgan China Growth & Income Ord,1.29,,,,
01/11/1994,JPMorgan China Growth & Income Ord,1.245,,,,
01/12/1994,JPMorgan China Growth & Income Ord,1.105,,,,
01/13/1994,JPMorgan China Growth & Income Ord,1.18,,,,
01/14/1994,JPMorgan China Growth & Income Ord,1.21,,,,
01/15/1994,JPMorgan China Growth & Income Ord,1.21,,,,
01/16/1994,JPMorgan China Growth & Income Ord,1.21,,,,
01/17/1994,JPMorgan China Growth & Income Ord,1.2,,,,
01/18/1994,JPMorgan China Growth & Income Ord,1.22,,,,
01/19/1994,JPMorgan China Growth & Income Ord,1.26,,,,
01/20/1994,JPMorgan China Growth & Income Ord,1.24,,,,
01/21/1994,JPMorgan China Growth & Income Ord,1.24,,,,
01/22/1994,JPMorgan China Growth & Income Ord,1.24,,,,
01/23/1994,JPMorgan China Growth & Income Ord,1.24,,,,
01/24/1994,JPMorgan China Growth & Income Ord,1.24,,,,
01/25/1994,JPMorgan China Growth & Income Ord,1.215,,,,
01/26/1994,JPMorgan China Growth & Income Ord,1.19,,,,
01/27/1994,JPMorgan China Growth & Income Ord,1.19,,,,
01/28/1994,JPMorgan China Growth & Income Ord,1.18,,,,
01/29/1994,JPMorgan China Growth & Income Ord,1.18,,,,
01/30/1994,JPMorgan China Growth & Income Ord,1.18,,,,
