Date,Name,Close,High,Low,Open,Volume
09/22/1989,Pacific Horizon Ord,0.5,,,,
09/23/1989,Pacific Horizon Ord,0.5,,,,
09/24/1989,Pacific Horizon Ord,0.5,,,,
09/25/1989,Pacific Horizon Ord,0.48,,,,
09/26/1989,Pacific Horizon Ord,0.49,,,,
09/27/1989,Pacific Horizon Ord,0.47,,,,
09/28/1989,Pacific Horizon Ord,0.48,,,,
09/29/1989,Pacific Horizon Ord,0.48,,,,
09/30/1989,Pacific Horizon Ord,0.48,,,,
10/01/1989,Pacific Horizon Ord,0.48,,,,
10/02/1989,Pacific Horizon Ord,0.47,,,,
10/03/1989,Pacific Horizon Ord,0.48,,,,
10/04/1989,Pacific Horizon Ord,0.48,,,,
10/05/1989,Pacific Horizon Ord,0.48,,,,
10/06/1989,Pacific Horizon Ord,0.46,,,,
10/07/1989,Pacific Horizon Ord,0.46,,,,
10/08/1989,Pacific Horizon Ord,0.46,,,,
10/09/1989,Pacific Horizon Ord,0.48,,,,
10/10/1989,Pacific Horizon Ord,0.48,,,,
10/11/1989,Pacific Horizon Ord,0.48,,,,
10/12/1989,Pacific Horizon Ord,0.48,,,,
10/13/1989,Pacific Horizon Ord,0.48,,,,
10/14/1989,Pacific Horizon Ord,0.48,,,,
10/15/1989,Pacific Horizon Ord,0.48,,,,
10/16/1989,Pacific Horizon Ord,0.42,,,,
10/17/1989,Pacific Horizon Ord,0.48,,,,
10/18/1989,Pacific Horizon Ord,0.47,,,,
10/19/1989,Pacific Horizon Ord,0.48,,,,
10/20/1989,Pacific Horizon Ord,0.47,,,,
10/21/1989,Pacific Horizon Ord,0.47,,,,
10/22/1989,Pacific Horizon Ord,0.47,,,,
10/23/1989,Pacific Horizon Ord,0.47,,,,
10/24/1989,Pacific Horizon Ord,0.46,,,,
10/25/1989,Pacific Horizon Ord,0.46,,,,
10/26/1989,Pacific Horizon Ord,0.45,,,,
10/27/1989,Pacific Horizon Ord,0.46,,,,
10/28/1989,Pacific Horizon Ord,0.46,,,,
10/29/1989,Pacific Horizon Ord,0.46,,,,
10/30/1989,Pacific Horizon Ord,0.46,,,,
10/31/1989,Pacific Horizon Ord,0.46,,,,
11/01/1989,Pacific Horizon Ord,0.44,,,,
11/02/1989,Pacific Horizon Ord,0.45,,,,
11/03/1989,Pacific Horizon Ord,0.45,,,,
11/04/1989,Pacific Horizon Ord,0.45,,,,
11/05/1989,Pacific Horizon Ord,0.45,,,,
11/06/1989,Pacific Horizon Ord,0.46,,,,
11/07/1989,Pacific Horizon Ord,0.47,,,,
11/08/1989,Pacific Horizon Ord,0.48,,,,
11/09/1989,Pacific Horizon Ord,0.47,,,,
11/10/1989,Pacific Horizon Ord,0.49,,,,
11/11/1989,Pacific Horizon Ord,0.49,,,,
11/12/1989,Pacific Horizon Ord,0.49,,,,
11/13/1989,Pacific Horizon Ord,0.48,,,,
11/14/1989,Pacific Horizon Ord,0.49,,,,
11/15/1989,Pacific Horizon Ord,0.49,,,,
11/16/1989,Pacific Horizon Ord,0.48,,,,
11/17/1989,Pacific Horizon Ord,0.48,,,,
11/18/1989,Pacific Horizon Ord,0.48,,,,
11/19/1989,Pacific Horizon Ord,0.48,,,,
11/20/1989,Pacific Horizon Ord,0.48,,,,
11/21/1989,Pacific Horizon Ord,0.49,,,,
11/22/1989,Pacific Horizon Ord,0.5,,,,
11/23/1989,Pacific Horizon Ord,0.5,,,,
11/24/1989,Pacific Horizon Ord,0.5,,,,
11/25/1989,Pacific Horizon Ord,0.5,,,,
11/26/1989,Pacific Horizon Ord,0.5,,,,
11/27/1989,Pacific Horizon Ord,0.5,,,,
11/28/1989,Pacific Horizon Ord,0.5,,,,
11/29/1989,Pacific Horizon Ord,0.5,,,,
11/30/1989,Pacific Horizon Ord,0.5,,,,
12/01/1989,Pacific Horizon Ord,0.49,,,,
12/02/1989,Pacific Horizon Ord,0.49,,,,
12/03/1989,Pacific Horizon Ord,0.49,,,,
12/04/1989,Pacific Horizon Ord,0.49,,,,
12/05/1989,Pacific Horizon Ord,0.49,,,,
12/06/1989,Pacific Horizon Ord,0.47,,,,
12/07/1989,Pacific Horizon Ord,0.48,,,,
12/08/1989,Pacific Horizon Ord,0.47,,,,
12/09/1989,Pacific Horizon Ord,0.47,,,,
12/10/1989,Pacific Horizon Ord,0.47,,,,
12/11/1989,Pacific Horizon Ord,0.47,,,,
12/12/1989,Pacific Horizon Ord,0.47,,,,
12/13/1989,Pacific Horizon Ord,0.47,,,,
12/14/1989,Pacific Horizon Ord,0.47,,,,
12/15/1989,Pacific Horizon Ord,0.49,,,,
12/16/1989,Pacific Horizon Ord,0.49,,,,
12/17/1989,Pacific Horizon Ord,0.49,,,,
12/18/1989,Pacific Horizon Ord,0.48,,,,
12/19/1989,Pacific Horizon Ord,0.47,,,,
12/20/1989,Pacific Horizon Ord,0.47,,,,
12/21/1989,Pacific Horizon Ord,0.47,,,,
12/22/1989,Pacific Horizon Ord,0.47,,,,
