Date,Name,Close,High,Low,Open,Volume
12/12/2006,iShares $ TIPS ETF USD Acc GBP,68.67,,,,,
12/13/2006,iShares $ TIPS ETF USD Acc GBP,68.44,,,,,
12/14/2006,iShares $ TIPS ETF USD Acc GBP,68.59,,,,,
12/15/2006,iShares $ TIPS ETF USD Acc GBP,68.72,,,,,
12/16/2006,iShares $ TIPS ETF USD Acc GBP,68.72,,,,,
12/17/2006,iShares $ TIPS ETF USD Acc GBP,68.72,,,,,
12/18/2006,iShares $ TIPS ETF USD Acc GBP,68.68,,,,,
12/19/2006,iShares $ TIPS ETF USD Acc GBP,67.94,,,,,
12/20/2006,iShares $ TIPS ETF USD Acc GBP,67.84,,,,,
12/21/2006,iShares $ TIPS ETF USD Acc GBP,68.07,,,,,
12/22/2006,iShares $ TIPS ETF USD Acc GBP,67.81,,,,,
12/23/2006,iShares $ TIPS ETF USD Acc GBP,67.81,,,,,
12/24/2006,iShares $ TIPS ETF USD Acc GBP,67.81,,,,,
12/25/2006,iShares $ TIPS ETF USD Acc GBP,67.81,,,,,
12/26/2006,iShares $ TIPS ETF USD Acc GBP,67.81,,,,,
12/27/2006,iShares $ TIPS ETF USD Acc GBP,67.7,,,,,
12/28/2006,iShares $ TIPS ETF USD Acc GBP,67.31,,,,,
12/29/2006,iShares $ TIPS ETF USD Acc GBP,67.45,,,,,
12/30/2006,iShares $ TIPS ETF USD Acc GBP,67.45,,,,,
12/31/2006,iShares $ TIPS ETF USD Acc GBP,67.45,,,,,
01/01/2007,iShares $ TIPS ETF USD Acc GBP,67.45,,,,,
01/02/2007,iShares $ TIPS ETF USD Acc GBP,67.2,,,,,
01/03/2007,iShares $ TIPS ETF USD Acc GBP,68.06,,,,,
01/04/2007,iShares $ TIPS ETF USD Acc GBP,68.43,,,,,
01/05/2007,iShares $ TIPS ETF USD Acc GBP,68.68,,,,,
01/06/2007,iShares $ TIPS ETF USD Acc GBP,68.68,,,,,
01/07/2007,iShares $ TIPS ETF USD Acc GBP,68.68,,,,,
01/08/2007,iShares $ TIPS ETF USD Acc GBP,68.34,,,,,
01/09/2007,iShares $ TIPS ETF USD Acc GBP,68.24,,,,,
01/10/2007,iShares $ TIPS ETF USD Acc GBP,68.42,,,,,
01/11/2007,iShares $ TIPS ETF USD Acc GBP,67.97,,,,,
01/12/2007,iShares $ TIPS ETF USD Acc GBP,67.1,,,,,
01/13/2007,iShares $ TIPS ETF USD Acc GBP,67.1,,,,,
01/14/2007,iShares $ TIPS ETF USD Acc GBP,67.1,,,,,
01/15/2007,iShares $ TIPS ETF USD Acc GBP,66.82,,,,,
01/16/2007,iShares $ TIPS ETF USD Acc GBP,67.02,,,,,
01/17/2007,iShares $ TIPS ETF USD Acc GBP,66.8,,,,,
01/18/2007,iShares $ TIPS ETF USD Acc GBP,66.61,,,,,
01/19/2007,iShares $ TIPS ETF USD Acc GBP,66.62,,,,,
01/20/2007,iShares $ TIPS ETF USD Acc GBP,66.62,,,,,
01/21/2007,iShares $ TIPS ETF USD Acc GBP,66.62,,,,,
01/22/2007,iShares $ TIPS ETF USD Acc GBP,66.79,,,,,
01/23/2007,iShares $ TIPS ETF USD Acc GBP,66.45,,,,,
01/24/2007,iShares $ TIPS ETF USD Acc GBP,67.17,,,,,
01/25/2007,iShares $ TIPS ETF USD Acc GBP,66.95,,,,,
01/26/2007,iShares $ TIPS ETF USD Acc GBP,67.26,,,,,
01/27/2007,iShares $ TIPS ETF USD Acc GBP,67.26,,,,,
01/28/2007,iShares $ TIPS ETF USD Acc GBP,67.26,,,,,
01/29/2007,iShares $ TIPS ETF USD Acc GBP,67.23,,,,,
01/30/2007,iShares $ TIPS ETF USD Acc GBP,67.2,,,,,
01/31/2007,iShares $ TIPS ETF USD Acc GBP,67.32,,,,,
02/01/2007,iShares $ TIPS ETF USD Acc GBP,67.17,,,,,
02/02/2007,iShares $ TIPS ETF USD Acc GBP,67.23,,,,,
02/03/2007,iShares $ TIPS ETF USD Acc GBP,67.23,,,,,
02/04/2007,iShares $ TIPS ETF USD Acc GBP,67.23,,,,,
02/05/2007,iShares $ TIPS ETF USD Acc GBP,67.59,,,,,
02/06/2007,iShares $ TIPS ETF USD Acc GBP,67.21,,,,,
02/07/2007,iShares $ TIPS ETF USD Acc GBP,67.42,,,,,
02/08/2007,iShares $ TIPS ETF USD Acc GBP,67.8,,,,,
02/09/2007,iShares $ TIPS ETF USD Acc GBP,67.91,,,,,
02/10/2007,iShares $ TIPS ETF USD Acc GBP,67.91,,,,,
02/11/2007,iShares $ TIPS ETF USD Acc GBP,67.91,,,,,
02/12/2007,iShares $ TIPS ETF USD Acc GBP,67.84,,,,,
02/13/2007,iShares $ TIPS ETF USD Acc GBP,67.88,,,,,
02/14/2007,iShares $ TIPS ETF USD Acc GBP,67.64,,,,,
02/15/2007,iShares $ TIPS ETF USD Acc GBP,68.02,,,,,
02/16/2007,iShares $ TIPS ETF USD Acc GBP,68.22,,,,,
02/17/2007,iShares $ TIPS ETF USD Acc GBP,68.22,,,,,
02/18/2007,iShares $ TIPS ETF USD Acc GBP,68.22,,,,,
02/19/2007,iShares $ TIPS ETF USD Acc GBP,68.28,,,,,
02/20/2007,iShares $ TIPS ETF USD Acc GBP,68.1,,,,,
02/21/2007,iShares $ TIPS ETF USD Acc GBP,68.29,,,,,
02/22/2007,iShares $ TIPS ETF USD Acc GBP,68.09,,,,,
02/23/2007,iShares $ TIPS ETF USD Acc GBP,68.25,,,,,
02/24/2007,iShares $ TIPS ETF USD Acc GBP,68.25,,,,,
02/25/2007,iShares $ TIPS ETF USD Acc GBP,68.25,,,,,
02/26/2007,iShares $ TIPS ETF USD Acc GBP,68.45,,,,,
02/27/2007,iShares $ TIPS ETF USD Acc GBP,68.64,,,,,
02/28/2007,iShares $ TIPS ETF USD Acc GBP,68.93,,,,,
03/01/2007,iShares $ TIPS ETF USD Acc GBP,69.1,,,,,
03/02/2007,iShares $ TIPS ETF USD Acc GBP,69.74,,,,,
03/03/2007,iShares $ TIPS ETF USD Acc GBP,69.74,,,,,
03/04/2007,iShares $ TIPS ETF USD Acc GBP,69.74,,,,,
03/05/2007,iShares $ TIPS ETF USD Acc GBP,70.58,,,,,
03/06/2007,iShares $ TIPS ETF USD Acc GBP,70.37,,,,,
03/07/2007,iShares $ TIPS ETF USD Acc GBP,70.1,,,,,
03/08/2007,iShares $ TIPS ETF USD Acc GBP,70.16,,,,,
03/09/2007,iShares $ TIPS ETF USD Acc GBP,69.76,,,,,
03/10/2007,iShares $ TIPS ETF USD Acc GBP,69.76,,,,,
03/11/2007,iShares $ TIPS ETF USD Acc GBP,69.76,,,,,
03/12/2007,iShares $ TIPS ETF USD Acc GBP,69.85,,,,,
03/13/2007,iShares $ TIPS ETF USD Acc GBP,70.25,,,,,
03/14/2007,iShares $ TIPS ETF USD Acc GBP,70.26,,,,,
03/15/2007,iShares $ TIPS ETF USD Acc GBP,69.99,,,,,
03/16/2007,iShares $ TIPS ETF USD Acc GBP,69.92,,,,,
03/17/2007,iShares $ TIPS ETF USD Acc GBP,69.92,,,,,
03/18/2007,iShares $ TIPS ETF USD Acc GBP,69.92,,,,,
03/19/2007,iShares $ TIPS ETF USD Acc GBP,69.65,,,,,
03/20/2007,iShares $ TIPS ETF USD Acc GBP,69.23,,,,,
03/21/2007,iShares $ TIPS ETF USD Acc GBP,69.07,,,,,
03/22/2007,iShares $ TIPS ETF USD Acc GBP,69.01,,,,,
03/23/2007,iShares $ TIPS ETF USD Acc GBP,69.15,,,,,
03/24/2007,iShares $ TIPS ETF USD Acc GBP,69.15,,,,,
03/25/2007,iShares $ TIPS ETF USD Acc GBP,69.15,,,,,
03/26/2007,iShares $ TIPS ETF USD Acc GBP,69.1,,,,,
03/27/2007,iShares $ TIPS ETF USD Acc GBP,69.09,,,,,
03/28/2007,iShares $ TIPS ETF USD Acc GBP,69.41,,,,,
03/29/2007,iShares $ TIPS ETF USD Acc GBP,69.09,,,,,
03/30/2007,iShares $ TIPS ETF USD Acc GBP,69.48,,,,,
03/31/2007,iShares $ TIPS ETF USD Acc GBP,69.48,,,,,
04/01/2007,iShares $ TIPS ETF USD Acc GBP,69.48,,,,,
04/02/2007,iShares $ TIPS ETF USD Acc GBP,68.46,,,,,
04/03/2007,iShares $ TIPS ETF USD Acc GBP,68.34,,,,,
04/04/2007,iShares $ TIPS ETF USD Acc GBP,68.48,,,,,
04/05/2007,iShares $ TIPS ETF USD Acc GBP,68.77,,,,,
04/06/2007,iShares $ TIPS ETF USD Acc GBP,68.77,,,,,
04/07/2007,iShares $ TIPS ETF USD Acc GBP,68.77,,,,,
04/08/2007,iShares $ TIPS ETF USD Acc GBP,68.77,,,,,
04/09/2007,iShares $ TIPS ETF USD Acc GBP,68.77,,,,,
04/10/2007,iShares $ TIPS ETF USD Acc GBP,68.58,,,,,
04/11/2007,iShares $ TIPS ETF USD Acc GBP,68.42,,,,,
04/12/2007,iShares $ TIPS ETF USD Acc GBP,68.34,,,,,
04/13/2007,iShares $ TIPS ETF USD Acc GBP,68.02,,,,,
04/14/2007,iShares $ TIPS ETF USD Acc GBP,68.02,,,,,
04/15/2007,iShares $ TIPS ETF USD Acc GBP,68.02,,,,,
04/16/2007,iShares $ TIPS ETF USD Acc GBP,67.65,,,,,
04/17/2007,iShares $ TIPS ETF USD Acc GBP,67.38,,,,,
04/18/2007,iShares $ TIPS ETF USD Acc GBP,67.47,,,,,
04/19/2007,iShares $ TIPS ETF USD Acc GBP,67.6,,,,,
04/20/2007,iShares $ TIPS ETF USD Acc GBP,67.47,,,,,
04/21/2007,iShares $ TIPS ETF USD Acc GBP,67.47,,,,,
04/22/2007,iShares $ TIPS ETF USD Acc GBP,67.47,,,,,
04/23/2007,iShares $ TIPS ETF USD Acc GBP,67.8,,,,,
04/24/2007,iShares $ TIPS ETF USD Acc GBP,67.89,,,,,
04/25/2007,iShares $ TIPS ETF USD Acc GBP,67.9,,,,,
04/26/2007,iShares $ TIPS ETF USD Acc GBP,68.15,,,,,
04/27/2007,iShares $ TIPS ETF USD Acc GBP,68.02,,,,,
04/28/2007,iShares $ TIPS ETF USD Acc GBP,68.02,,,,,
04/29/2007,iShares $ TIPS ETF USD Acc GBP,68.02,,,,,
04/30/2007,iShares $ TIPS ETF USD Acc GBP,68.15,,,,,
05/01/2007,iShares $ TIPS ETF USD Acc GBP,67.99,,,,,
05/02/2007,iShares $ TIPS ETF USD Acc GBP,68.45,,,,,
05/03/2007,iShares $ TIPS ETF USD Acc GBP,68.45,,,,,
05/04/2007,iShares $ TIPS ETF USD Acc GBP,68.4,,,,,
05/05/2007,iShares $ TIPS ETF USD Acc GBP,68.4,,,,,
05/06/2007,iShares $ TIPS ETF USD Acc GBP,68.4,,,,,
05/07/2007,iShares $ TIPS ETF USD Acc GBP,68.4,,,,,
05/08/2007,iShares $ TIPS ETF USD Acc GBP,68.41,,,,,
