Date,Name,Close,High,Low,Open,Volume
09/22/2011,iShares Agribusiness ETF USD Acc GBP,14.705,,,,,
09/23/2011,iShares Agribusiness ETF USD Acc GBP,14.425,,,,,
09/24/2011,iShares Agribusiness ETF USD Acc GBP,14.425,,,,,
09/25/2011,iShares Agribusiness ETF USD Acc GBP,14.425,,,,,
09/26/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
09/27/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
09/28/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
09/29/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
09/30/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/01/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/02/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/03/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/04/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/05/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/06/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/07/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/08/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/09/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/10/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/11/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/12/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/13/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/14/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/15/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/16/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/17/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/18/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/19/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/20/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/21/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/22/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/23/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/24/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/25/2011,iShares Agribusiness ETF USD Acc GBP,14.15,,,,,
10/26/2011,iShares Agribusiness ETF USD Acc GBP,15.31,,,,,
10/27/2011,iShares Agribusiness ETF USD Acc GBP,15.825,,,,,
10/28/2011,iShares Agribusiness ETF USD Acc GBP,16.045,,,,,
10/29/2011,iShares Agribusiness ETF USD Acc GBP,16.045,,,,,
10/30/2011,iShares Agribusiness ETF USD Acc GBP,16.045,,,,,
10/31/2011,iShares Agribusiness ETF USD Acc GBP,15.475,,,,,
11/01/2011,iShares Agribusiness ETF USD Acc GBP,14.95,,,,,
11/02/2011,iShares Agribusiness ETF USD Acc GBP,15.255,,,,,
11/03/2011,iShares Agribusiness ETF USD Acc GBP,15.4,,,,,
11/04/2011,iShares Agribusiness ETF USD Acc GBP,15.39,,,,,
11/05/2011,iShares Agribusiness ETF USD Acc GBP,15.39,,,,,
11/06/2011,iShares Agribusiness ETF USD Acc GBP,15.39,,,,,
11/07/2011,iShares Agribusiness ETF USD Acc GBP,15.38,,,,,
11/08/2011,iShares Agribusiness ETF USD Acc GBP,15.53,,,,,
11/09/2011,iShares Agribusiness ETF USD Acc GBP,15.39,,,,,
11/10/2011,iShares Agribusiness ETF USD Acc GBP,15.18,,,,,
11/11/2011,iShares Agribusiness ETF USD Acc GBP,15.36,,,,,
11/12/2011,iShares Agribusiness ETF USD Acc GBP,15.36,,,,,
11/13/2011,iShares Agribusiness ETF USD Acc GBP,15.36,,,,,
11/14/2011,iShares Agribusiness ETF USD Acc GBP,15.43,,,,,
11/15/2011,iShares Agribusiness ETF USD Acc GBP,15.43,,,,,
11/16/2011,iShares Agribusiness ETF USD Acc GBP,15.5,,,,,
11/17/2011,iShares Agribusiness ETF USD Acc GBP,15.11,,,,,
11/18/2011,iShares Agribusiness ETF USD Acc GBP,15.02,,,,,
11/19/2011,iShares Agribusiness ETF USD Acc GBP,15.02,,,,,
11/20/2011,iShares Agribusiness ETF USD Acc GBP,15.02,,,,,
11/21/2011,iShares Agribusiness ETF USD Acc GBP,14.695,,,,,
11/22/2011,iShares Agribusiness ETF USD Acc GBP,14.715,,,,,
11/23/2011,iShares Agribusiness ETF USD Acc GBP,14.635,,,,,
11/24/2011,iShares Agribusiness ETF USD Acc GBP,14.605,,,,,
11/25/2011,iShares Agribusiness ETF USD Acc GBP,14.61,,,,,
11/26/2011,iShares Agribusiness ETF USD Acc GBP,14.61,,,,,
11/27/2011,iShares Agribusiness ETF USD Acc GBP,14.61,,,,,
11/28/2011,iShares Agribusiness ETF USD Acc GBP,15,,,,,
11/29/2011,iShares Agribusiness ETF USD Acc GBP,14.97,,,,,
