Date,Name,Close,High,Low,Open,Volume
03/20/2007,iShares Global Water ETF USD Dist GBP,13.07,,,,
03/21/2007,iShares Global Water ETF USD Dist GBP,13.11,,,,
03/22/2007,iShares Global Water ETF USD Dist GBP,13.28,,,,
03/23/2007,iShares Global Water ETF USD Dist GBP,13.37,,,,
03/24/2007,iShares Global Water ETF USD Dist GBP,13.37,,,,
03/25/2007,iShares Global Water ETF USD Dist GBP,13.37,,,,
03/26/2007,iShares Global Water ETF USD Dist GBP,13.22,,,,
03/27/2007,iShares Global Water ETF USD Dist GBP,13.26,,,,
03/28/2007,iShares Global Water ETF USD Dist GBP,13.27,,,,
03/29/2007,iShares Global Water ETF USD Dist GBP,13.35,,,,
03/30/2007,iShares Global Water ETF USD Dist GBP,13.42,,,,
03/31/2007,iShares Global Water ETF USD Dist GBP,13.42,,,,
04/01/2007,iShares Global Water ETF USD Dist GBP,13.42,,,,
04/02/2007,iShares Global Water ETF USD Dist GBP,13.26,,,,
04/03/2007,iShares Global Water ETF USD Dist GBP,13.45,,,,
04/04/2007,iShares Global Water ETF USD Dist GBP,13.52,,,,
04/05/2007,iShares Global Water ETF USD Dist GBP,13.59,,,,
04/06/2007,iShares Global Water ETF USD Dist GBP,13.59,,,,
04/07/2007,iShares Global Water ETF USD Dist GBP,13.59,,,,
04/08/2007,iShares Global Water ETF USD Dist GBP,13.59,,,,
04/09/2007,iShares Global Water ETF USD Dist GBP,13.59,,,,
04/10/2007,iShares Global Water ETF USD Dist GBP,13.63,,,,
04/11/2007,iShares Global Water ETF USD Dist GBP,13.52,,,,
04/12/2007,iShares Global Water ETF USD Dist GBP,13.56,,,,
04/13/2007,iShares Global Water ETF USD Dist GBP,13.59,,,,
04/14/2007,iShares Global Water ETF USD Dist GBP,13.59,,,,
04/15/2007,iShares Global Water ETF USD Dist GBP,13.59,,,,
04/16/2007,iShares Global Water ETF USD Dist GBP,13.68,,,,
04/17/2007,iShares Global Water ETF USD Dist GBP,13.59,,,,
04/18/2007,iShares Global Water ETF USD Dist GBP,13.55,,,,
04/19/2007,iShares Global Water ETF USD Dist GBP,13.54,,,,
04/20/2007,iShares Global Water ETF USD Dist GBP,13.63,,,,
04/21/2007,iShares Global Water ETF USD Dist GBP,13.63,,,,
04/22/2007,iShares Global Water ETF USD Dist GBP,13.63,,,,
04/23/2007,iShares Global Water ETF USD Dist GBP,13.65,,,,
