Date,fund,price,Asset_Class
2009-06-23,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,100.0,Equity
2009-06-24,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,100.226997,Equity
2009-06-25,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,102.394902,Equity
2009-06-26,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,101.633142,Equity
2009-06-27,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,101.633142,Equity
2009-06-28,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,101.633142,Equity
2009-06-29,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,102.119104,Equity
2009-06-30,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,101.971874,Equity
2009-07-01,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,102.711331,Equity
2009-07-02,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,100.800779,Equity
2009-07-03,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,100.826524,Equity
2009-07-04,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,100.826524,Equity
2009-07-05,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,100.826524,Equity
2009-07-06,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,101.241379,Equity
2009-07-07,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,100.076017,Equity
2009-07-08,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,99.831543,Equity
2009-07-09,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,99.434414,Equity
2009-07-10,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,99.073095,Equity
2009-07-11,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,99.073095,Equity
2009-07-12,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,99.073095,Equity
2009-07-13,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,101.156757,Equity
2009-07-14,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,101.223359,Equity
2009-07-15,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,103.094611,Equity
2009-07-16,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,103.927047,Equity
2009-07-17,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,104.886679,Equity
2009-07-18,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,104.886679,Equity
2009-07-19,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,104.886679,Equity
2009-07-20,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,105.28219,Equity
2009-07-21,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,106.292465,Equity
2009-07-22,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,106.442956,Equity
2009-07-23,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,107.873075,Equity
2009-07-24,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,108.985272,Equity
2009-07-25,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,108.985272,Equity
2009-07-26,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,108.985272,Equity
2009-07-27,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,108.954356,Equity
2009-07-28,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,108.879744,Equity
2009-07-29,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,108.712471,Equity
2009-07-30,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,109.677775,Equity
2009-07-31,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,109.793588,Equity
2009-08-01,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,109.793588,Equity
2009-08-02,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,109.793588,Equity
2009-08-03,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,109.533411,Equity
2009-08-04,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,109.82531,Equity
2009-08-05,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,108.939361,Equity
2009-08-06,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,109.781594,Equity
2009-08-07,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,111.025145,Equity
2009-08-08,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,111.025145,Equity
2009-08-09,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,111.025145,Equity
2009-08-10,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,111.72947,Equity
2009-08-11,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,110.844591,Equity
2009-08-12,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,111.495666,Equity
2009-08-13,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,112.470049,Equity
2009-08-14,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,112.221046,Equity
2009-08-15,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,112.221046,Equity
2009-08-16,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,112.221046,Equity
2009-08-17,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,110.543562,Equity
2009-08-18,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,110.10734,Equity
2009-08-19,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,110.901572,Equity
2009-08-20,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,112.316451,Equity
2009-08-21,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,113.937408,Equity
2009-08-22,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,113.937408,Equity
2009-08-23,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,113.937408,Equity
2009-08-24,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,115.477316,Equity
2009-08-25,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,116.070808,Equity
2009-08-26,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,116.928212,Equity
2009-08-27,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,117.177925,Equity
2009-08-28,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,117.008304,Equity
2009-08-29,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,117.008304,Equity
2009-08-30,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,117.008304,Equity
2009-08-31,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,117.008304,Equity
2009-09-01,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,114.659855,Equity
2009-09-02,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,113.486579,Equity
2009-09-03,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,113.537088,Equity
2009-09-04,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,114.676107,Equity
2009-09-05,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,114.676107,Equity
2009-09-06,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,114.676107,Equity
2009-09-07,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,115.860845,Equity
2009-09-08,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,115.462517,Equity
2009-09-09,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,116.229025,Equity
2009-09-10,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,116.442717,Equity
2009-09-11,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,116.68167,Equity
2009-09-12,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,116.68167,Equity
2009-09-13,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,116.68167,Equity
2009-09-14,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,117.237006,Equity
2009-09-15,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,118.803171,Equity
2009-09-16,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,120.198611,Equity
2009-09-17,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,120.286435,Equity
2009-09-18,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.897525,Equity
2009-09-19,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,121.897525,Equity
