Date,ASI Global Inflation-Link Bd P1 Acc,Allianz Strategic Bond C Inc,Allianz Technology Trust Ord,Baillie Gifford Global Inc Growth B Acc,BlackRock European Absolute Alpha D Acc,BlackRock Throgmorton Trust Ord,BlackRock World Mining Trust Ord,Fidelity Asian Values Ord,Fidelity China Special Ord,Fidelity Global Technology W-Acc-GBP,Fundsmith Equity I Acc,HarbourVest Global Priv Equity Ord,HgCapital Trust Ord,Invesco EQQQ NASDAQ-100 ETF GBP,JPM Global Macro Opportunities C Net Acc,JPMorgan China Growth & Income Ord,Janus Henderson Mlt-Ast AbsRet I Acc,Jupiter Strategic AbsRt Bd I £ H Acc,JupiterMerian Glb Eq AbsRt I £ H Acc,L&G All Stocks Index Linked Gt Idx I Acc,L&G Battery Value-Chain ETF GBP,Merian Global Strategic Bond I GBP Acc,Montanaro European Smaller Ord,Pacific Horizon Ord,Pictet - Global Envir Opps I dy GBP,Rathbone Ethical Bond I Inc,Rathbone Global Opportunities S Acc,Rathbone Multi Asset Enhanced Gr S Acc,Rathbone Multi Asset Strategic Gr S Acc,RobecoSAM Sustainable Water Eqs I GBP,Royal London Sterl Extra Yld Bd A,Royal London Sustainable Div C Acc,Scottish Mortgage Ord,Stewart Inv APAC Ldrs Sstby B GBP Acc,Threadneedle (Lux) Glb Smlr Coms GBP ZGH,Trojan Fund X Accumulation,VT Argonaut Absolute Return R GBP Acc,Vanguard FTSE Dev Wld ex-UK Eq Idx £ Acc,Vanguard Glb Bd Idx £ H Acc,WisdomTree Physical Gold GBP,iShares Core S&P 500 ETF USD Acc GBP,iShares Global Water ETF USD Dist GBP,iShares S&P SmallCap 600 ETF USD Dist GBP,NASDAQ Composite,S&P 500
04/01/2006,0,0.003733333,0.006644518,,,0.016778523,0.0125,0.031707317,,0.009345794,,,0.000855432,0.018458897,,0.006389776,,,,0.007015742,,-0.001449876,0.001724138,0.025787966,,0.003369754,0.004291846,,,,0.001767435,,0.01144641,0,,,,,,,,,,0.008788884,0.003672692
05/01/2006,0.005277044,0.001793305,-0.00330033,,,0.001650165,-0.006858711,0.007092199,,0.009259259,,,-0.001709402,0.007586934,,0.003174603,,,,0.001019541,,0.00103713,0.005163511,0.008379888,,0.000610625,0.004444443,,,,0.001690803,,-0.004115226,0,,,,,,,,,,0.005924627,1.57E-05
06/01/2006,-0.010498687,0.001325996,0.009933775,,,0,0.004143646,0,,0.009174313,,,0.004280822,0.00167329,,0.009493671,,,,0.002037006,,0.000414422,-0.003424658,0,,0.001830756,0.0062968,,,,0.000146778,,0,0.026737968,,,,,,,,,,0.012626983,0.009399418
09/01/2006,0.009725906,-0.000264848,0.005464481,,,0.003294893,0.010316369,0.007042254,,0.009090909,,,-0.00341006,0.010858217,,0.003134796,,,,-0.002541082,,-0.004763878,0.006872852,0.002770083,,-0.000609137,0.008625063,,,,-0.000220135,,0.006198347,0.005394345,,,,,,,,,,0.005668681,0.003656364
10/01/2006,0,-0.001258361,0,,,-0.001642036,-0.01701838,-0.016317016,,0,,,0.001710864,0.000413138,,0.00625,,,,-0.00050951,,-0.001144642,-0.001706485,-0.008287293,,-0.001625355,-0.000335346,,,,-0.001541284,,-0.009240246,-0.006043787,,,,,,,,,,0.000703038,-0.000356612
11/01/2006,0,0.000994695,0,,,0.008223684,0.016620499,0.002369668,,0,,,0,0.01094363,,0.00621118,,,,0.003738317,,0.003177415,-0.001299145,0.002785515,,0.001221001,0.000838648,,,,0.001911203,,0.004145078,0.002419805,,,,,,,,,,0.004757981,0.003481544
12/01/2006,0,0.000198741,0.006521739,,,0,-0.002724796,0.004728132,,0.009009009,,,0,0.00245098,,0.012345679,,,,0.001523617,,-0.002544265,0.003012461,0.002777778,,-0.000203252,0.007206299,,,,0.001100514,,0.005159959,-0.001176034,,,,,,,,,,-0.006292535,-0.006274239
13/01/2006,0.004378284,0.001987018,0,,,-0.001631321,0.004098361,-0.009411765,,-0.017857142,,,0,-0.011511817,,0,,,,0.003718728,,-0.002082248,0.001706485,0.005540166,,0.002337874,-0.002163059,,,,0.001026017,,0.000513347,-0.000743633,,,,,,,,,,0.00015112,0.001205174
17/01/2006,0.001743677,0.004759387,-0.006479482,,,0.008169935,0.015646259,-0.019002375,,0,,,0,-0.002576523,,-0.012195122,,,,0.011451667,,0.005790297,0.00681431,-0.005509642,,0.006084575,0.018676003,,,,0.004026649,,-0.003591585,0.004589147,,,,,,,,,,-0.006193289,-0.003634588
18/01/2006,0.006962576,0.004144737,-0.023913043,,,-0.006482982,0.004688547,-0.036319613,,-0.027272728,,,-0.001707942,-0.010539368,,0.00617284,,,,0.00899101,,0.000363051,-0.003384095,-0.022160665,,0.004636629,-0.013750203,,,,0.002479218,,-0.005149331,-0.023766899,,,,,,,,,,-0.010010053,-0.003897329
