Name,Symbol,Last Price,Last Price_Currency,Today's price Change - %,Volume
Abbvie Inc,ABBV:NYQ,146.42,USD,0,4127299
Albemarle Corp,ALB:NYQ,194.51,USD,0,2329071
Amazon.com Inc,AMZN:NSQ,110.19,USD,0,78627616
Apple Inc,AAPL:NSQ,173.55499999999998,USD,0,53724501
Baillie Gifford Positive Change Fund B Accumulation,GB00BYVGKV59:GBX,305.6,GBX,-0.65019506,n/a
BHP Group Ltd,BHP:NYQ,59.65,USD,0,3551435
Carrier Global Corp,CARR:NYQ,43.08,USD,0,6608955
Cloudflare Inc,NET:NYQ,49.21,USD,0,6984805
Costco Wholesale Corp,COST:NSQ,499.65999999999997,USD,0,1257622
CrowdStrike Holdings Inc,CRWD:NSQ,133.79999999999998,USD,0,3995550
Deere & Co,DE:NYQ,380.39,USD,0,1014781
Enphase Energy Inc,ENPH:NMQ,161.42,USD,0,2957840
Estee Lauder Companies Inc,EL:NYQ,201.19,USD,0,2230280
Fidelity Funds - Global Technology Fund W-Acc-GBP,LU1033663649:GBP,5.982,GBP,0.52092085,n/a
Halma PLC,HLMA:LSE,2401,GBX,0.67085953878406712,518153
HubSpot Inc,HUBS:NYQ,459.71,USD,0,503189
Invesco EQQQ NASDAQ-100 UCITS ETF,EQQQ:LSE:GBX,26054.18,GBX,0.90697134004647673,10593
iShares $ TIPS 0-5 UCITS ETF GBP Hedged (Dist),TI5G:LSE:GBP,5.018,GBP,-0.019924287706721139,653422
iShares $ TIPS UCITS ETF USD (Acc),ITPS:LSE:GBP,186.0025,GBP,0.43331533477320766,1669
iShares £ Index-Linked Gilts UCITS ETF GBP (Dist),INXG:LSE:GBP,13.7382,GBP,0.52831845455876247,98420
Johnson & Johnson,JNJ:NYQ,161.65,USD,0,6756629
JPMorgan Chase & Co,JPM:NYQ,136.48,USD,0,8133416
Legal & General Global Technology Index Trust I Class Accumulation,GB00B0CNH163:GBX,104.4,GBX,0.19193858,n/a
Linde PLC,LIN:NYQ,368.9,USD,0,1304325
MercadoLibre Inc,MELI:NSQ,1288.9199999999998,USD,0,535080
Microsoft Corp,MSFT:NSQ,312.31,USD,0,30078044
Moderna Inc,MRNA:NSQ,130.82999999999998,USD,0,2842798
Nestle SA,NESN:SWX,114.96000000000001,CHF,0.33164601152034356,3060064
NIO Inc,NIO:NYQ,8.129999999999999,USD,0,47366606
Novo Nordisk A/S,NVO:NYQ,169.41,USD,0,1225870
NVIDIA Corp,NVDA:NSQ,288.84999999999997,USD,0,36934998
Rio Tinto PLC,RIO:LSE,4890.66,GBX,-1.8826361721336171,2423077
Salesforce Inc,CRM:NYQ,204.85,USD,0,6535555
ServiceNow Inc,NOW:NYQ,454.14,USD,0,1537752
Shopify Inc,SHOP:NYQ,63.169999999999995,USD,0,17461237
Taiwan Semiconductor Manufacturing Co Ltd,TSM:NYQ,84.899999999999991,USD,0,7442294
Teladoc Health Inc,TDOC:NYQ,24.77,USD,0,3153711
Tesla Inc,TSLA:NSQ,168.54,USD,0,119840693
Thermo Fisher Scientific Inc,TMO:NYQ,533.5,USD,0,1586150
Vanguard FTSE Developed World ex-U.K. Equity Index Fund GBP Acc,GB00B59G4Q73:GBP,523.4489,GBP,0.25912859,n/a
Visa Inc,V:NYQ,230.82,USD,0,5245220
,,,,,
,,,,,
