Name,Symbol,Last Price,Currency
Abbvie Inc,ABBV:NYQ,159.37,USD
Albemarle Corp,ALB:NYQ,221.04,USD
Allianz Technology Trust PLC,ATT:LSE,230.50,GBX
Amazon.com Inc,AMZN:NSQ,103.29,USD
Apple Inc,AAPL:NSQ,164.90,USD
Baillie Gifford Positive Change Fund B Accumulation,GB00BYVGKV59:GBX,310.30,GBX
BHP Group Ltd,BHP:NYQ,63.41,USD
BlackRock Global Funds - World Mining Fund D4 GBP,LU0827889725:GBP,46.93,GBP
BlackRock Natural Resources Growth & Income Fund D Inc,GB00B46KYQ57:GBP,132.15,GBX
BlackRock Throgmorton Trust plc,THRG:LSE,582.00,GBX
BNY Mellon Investment Funds - Newton Multi-Asset Growth Fund Institutional W Income,GB00B87BSD02:GBX,2.43,GBP
Carrier Global Corp,CARR:NYQ,45.75,USD
Cloudflare Inc,NET:NYQ,61.66,USD
Costco Wholesale Corp,COST:NSQ,496.87,USD
CrowdStrike Holdings Inc,CRWD:NSQ,137.26,USD
Energizer Holdings Inc,ENR:NYQ,34.70,USD
Enphase Energy Inc,ENPH:NMQ,210.28,USD
Estee Lauder Companies Inc,EL:NYQ,246.46,USD
Fidelity China Special Situations PLC,FCSS:LSE,247.50,GBX
Fidelity Funds - Global Technology Fund W-Acc-GBP,LU1033663649:GBP,6.25,GBP
Fundsmith Equity I Acc,GB00B41YBW71:GBP,6.26,GBP
Halma PLC,HLMA:LSE,"2,229.00",GBX
HarbourVest Global Private Equity,HVPE:LSE,"2,050.00",GBX
HgCapital Trust Plc,HGT:LSE,343.00,GBX
HubSpot Inc,HUBS:NYQ,428.75,USD
Invesco EQQQ NASDAQ-100 UCITS ETF,EQQQ:LSE:GBX,"25,840.00",GBX
iShares $ TIPS 0-5 UCITS ETF GBP Hedged (Dist),TI5G:LSE:GBP,5.00,GBP
iShares $ TIPS UCITS ETF USD (Acc),ITPS:LSE:GBP,188.56,GBP
iShares £ Index-Linked Gilts UCITS ETF GBP (Dist),INXG:LSE:GBP,14.47,GBP
Johnson & Johnson,JNJ:NYQ,155.00,USD
JPMorgan Chase & Co,JPM:NYQ,130.31,USD
Legal & General Global Technology Index Trust I Class Accumulation,GB00B0CNH163:GBX,103.70,GBX
Linde PLC,LIN:NYQ,355.44,USD
Lithium Americas Corp,LAC:NYQ,21.76,USD
MercadoLibre Inc,MELI:NSQ,"1,318.06",USD
Microsoft Corp,MSFT:NSQ,288.30,USD
Moderna Inc,MRNA:NSQ,153.58,USD
Nestle SA,NESN:SWX,111.46,CHF
NIO Inc,NIO:NYQ,10.51,USD
Novo Nordisk A/S,NVO:NYQ,159.14,USD
NVIDIA Corp,NVDA:NSQ,277.77,USD
Rio Tinto PLC,RIO:LSE,"5,478.00",GBX
Royal London Sustainable Diversified Trust Class C Acc,GB00B79LTQ12:GBX,215.20,GBX
Salesforce Inc,CRM:NYQ,199.78,USD
Scottish Mortgage Investment Trust plc,SMT:LSE,678.60,GBX
ServiceNow Inc,NOW:NYQ,464.72,USD
Shopify Inc,SHOP:NYQ,47.94,USD
Teladoc Health Inc,TDOC:NYQ,25.90,USD
Tesla Inc,TSLA:NSQ,207.46,USD
Thermo Fisher Scientific Inc,TMO:NYQ,576.37,USD
Vanguard FTSE Developed World ex-U.K. Equity Index Fund GBP Acc,GB00B59G4Q73:GBP,527.11,GBP
Visa Inc,V:NYQ,225.46,USD
,,,
,,,
