Name,Symbol,Last Price,Last Price_Currency,Today's price Change - %,Volume,Chart,1-Year Trailing Total Return
3i Group Plc,III:LSE,1938,GBX,1.8124507486209613,1584272,--,n/a
Abbvie Inc,ABBV:NYQ,137.56,USD,-0.76468042129563,7590596,--,n/a
Albemarle Corp,ALB:NYQ,203.98999999999998,USD,-0.47811874908524088,1743466,--,n/a
Alibaba Group Holding Ltd,BABA:NYQ,80.97,USD,2.7798933739527771,16419963,--,n/a
Amazon.com Inc,AMZN:NSQ,120.11,USD,4.4434782608695649,96779889,--,n/a
Apple Inc,AAPL:NSQ,175.42999999999998,USD,1.4104861552690895,54834975,--,n/a
ASML Holding NV,ASML:NSQ,735.93,USD,3.8744918699186894,2349129,--,n/a
BHP Group Ltd,BHP:NYQ,56.669999999999995,USD,2.9801926222060708,2427538,--,n/a
Cloudflare Inc,NET:NYQ,61.14,USD,5.3592969153886045,7207618,--,n/a
Costco Wholesale Corp,COST:NSQ,507.26,USD,4.2564998458534662,5302638,--,n/a
CrowdStrike Holdings Inc,CRWD:NSQ,154.12,USD,3.014504378049609,5657651,--,n/a
Deere & Co,DE:NYQ,357.21,USD,0.65655996393146532,1413105,--,n/a
Enphase Energy Inc,ENPH:NMQ,165.2,USD,0.37061789902180281,2687321,--,n/a
Estee Lauder Companies Inc,EL:NYQ,194.44,USD,1.747776033490321,2062252,--,n/a
HubSpot Inc,HUBS:NYQ,496.21,USD,1.5284200188239203,467760,--,n/a
Johnson & Johnson,JNJ:NYQ,154.35,USD,-0.03885758694385226,6845396,--,n/a
JPMorgan Chase & Co,JPM:NYQ,136.94,USD,0.9360949362423604,8579941,--,n/a
Linde PLC,LIN:NYQ,356.21,USD,-0.10656496256204478,1805824,--,n/a
LVMH Moet Hennessy Louis Vuitton SE,MC:PAR,843.5,EUR,2.4410978868107733,402885,--,n/a
MercadoLibre Inc,MELI:NSQ,1282.26,USD,2.5881863494171693,409094,--,n/a
Microsoft Corp,MSFT:NSQ,332.89,USD,2.1385616102111036,36630633,--,n/a
Moderna Inc,MRNA:NSQ,126.24,USD,-0.18186131098284491,3644408,--,n/a
Nestle SA,NESN:SWX,112.06,CHF,0.68283917340521572,2077326,--,n/a
NIO Inc,NIO:NYQ,7.6999999999999993,USD,2.1220159151193534,43110480,--,n/a
Novo Nordisk A/S,NVO:NYQ,162.97,USD,0.32627431667077145,963081,--,n/a
NVIDIA Corp,NVDA:NSQ,389.43,USD,2.5355450236966965,71439676,--,n/a
Occidental Petroleum Corp,OXY:NYQ,58.94,USD,0.2210508416935939,9946041,--,n/a
Rio Tinto PLC,RIO:LSE,4925,GBX,3.5098781000420343,3125690,--,n/a
Salesforce Inc,CRM:NYQ,215.44,USD,2.6344623886427523,6933320,--,n/a
ServiceNow Inc,NOW:NYQ,537.45999999999992,USD,1.0681108729173625,2134611,--,n/a
Shopify Inc,SHOP:NYQ,59.26,USD,2.6858430081441642,13645001,--,n/a
Teladoc Health Inc,TDOC:NYQ,22.68,USD,-0.87412587412587106,2876085,--,n/a
Tesla Inc,TSLA:NSQ,193.17,USD,4.7162140185395938,162061496,--,n/a
Thermo Fisher Scientific Inc,TMO:NYQ,522.02,USD,0.26505838967424622,1603685,--,n/a
Visa Inc,V:NYQ,225.01,USD,0.72969827200286308,5067460,--,n/a

